miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	25339	8629.952840	N
hsa-let-7a-2	50743	17282.043370	Y
hsa-let-7a-3	25551	8702.155768	N
hsa-let-7b	56542	19257.065925	N
hsa-let-7c	24881	8473.967268	Y
hsa-let-7d	1091	371.572617	N
hsa-let-7e	2633	896.746747	N
hsa-let-7f-1	7337	2498.834365	N
hsa-let-7f-2	7408	2523.015535	N
hsa-let-7g	1112	378.724794	N
hsa-let-7i	1984	675.710424	N
hsa-mir-100	50494	17197.238987	Y
hsa-mir-101-1	10958	3732.074005	N
hsa-mir-101-2	11193	3812.110270	N
hsa-mir-103a-1	49587	16888.333063	Y
hsa-mir-103a-2	49933	17006.173691	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	2	0.681160	N
hsa-mir-105-2	2	0.681160	N
hsa-mir-106a	100	34.057985	Y
hsa-mir-106b	1048	356.927684	N
hsa-mir-107	382	130.101503	Y
hsa-mir-10a	123909	42200.908735	N
hsa-mir-10b	490921	167197.800944	N
hsa-mir-1-1	174	59.260894	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	14	4.768118	N
hsa-mir-1181	1	0.340580	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	0	0.000000	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	0	0.000000	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	216	73.565248	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	1	0.340580	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	7	2.384059	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	1.021740	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	0	0.000000	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	10	3.405799	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	78	26.565228	N
hsa-mir-1248	3	1.021740	N
hsa-mir-1249	5	1.702899	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	0	0.000000	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	1	0.340580	N
hsa-mir-1255a	1	0.340580	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	9	3.065219	N
hsa-mir-125a	2323	791.166993	N
hsa-mir-125b-1	1449	493.500204	N
hsa-mir-125b-2	1532	521.768331	N
hsa-mir-126	12349	4205.820578	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	2	0.681160	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	7	2.384059	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	48	16.347833	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	1236	420.956696	N
hsa-mir-1270	3	1.021740	N
hsa-mir-1271	8	2.724639	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	0	0.000000	N
hsa-mir-1275	0	0.000000	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	1	0.340580	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	130	44.275381	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	101	34.398565	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	1	0.340580	N
hsa-mir-1284	0	0.000000	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	143	48.702919	N
hsa-mir-1288	1	0.340580	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	0	0.000000	N
hsa-mir-129-1	3	1.021740	N
hsa-mir-1292	1	0.340580	N
hsa-mir-129-2	1	0.340580	N
hsa-mir-1293	0	0.000000	N
hsa-mir-1294	0	0.000000	N
hsa-mir-1295a	1	0.340580	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	22	7.492757	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	25	8.514496	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	3	1.021740	N
hsa-mir-1305	0	0.000000	N
hsa-mir-1306	16	5.449278	N
hsa-mir-1307	2139	728.500301	N
hsa-mir-130a	204	69.478290	N
hsa-mir-130b	21	7.152177	N
hsa-mir-132	95	32.355086	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	0	0.000000	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	342	116.478309	Y
hsa-mir-133a-2	307	104.558014	Y
hsa-mir-133b	66	22.478270	Y
hsa-mir-134	672	228.869660	N
hsa-mir-1343	4	1.362319	N
hsa-mir-135a-1	0	0.000000	N
hsa-mir-135a-2	0	0.000000	N
hsa-mir-135b	0	0.000000	N
hsa-mir-136	30	10.217396	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.340580	N
hsa-mir-138-2	0	0.000000	N
hsa-mir-139	1271	432.876990	N
hsa-mir-140	10019	3412.269525	N
hsa-mir-141	181	61.644953	N
hsa-mir-142	2438	830.333676	N
hsa-mir-143	773303	263371.420378	N
hsa-mir-144	5536	1885.450054	N
hsa-mir-145	41274	14057.092763	N
hsa-mir-1468	26	8.855076	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	97	33.036246	N
hsa-mir-146b	280	95.362358	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	1	0.340580	N
hsa-mir-148a	30413	10358.055003	N
hsa-mir-148b	220	74.927567	N
hsa-mir-149	112	38.144943	N
hsa-mir-150	1014	345.347969	N
hsa-mir-151a	3495	1190.326579	N
hsa-mir-151b	4	1.362319	N
hsa-mir-152	675	229.891399	N
hsa-mir-153-1	1	0.340580	N
hsa-mir-153-2	9	3.065219	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	2	0.681160	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	9	3.065219	N
hsa-mir-155	166	56.536255	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	403	137.253680	N
hsa-mir-15b	383	130.442083	N
hsa-mir-16-1	824	280.637797	N
hsa-mir-16-2	924	314.695782	N
hsa-mir-17	2326	792.188733	Y
hsa-mir-181a-1	1123	382.471172	N
hsa-mir-181a-2	2616	890.956890	N
hsa-mir-181b-1	180	61.304373	N
hsa-mir-181b-2	166	56.536255	N
hsa-mir-181c	85	28.949287	N
hsa-mir-181d	13	4.427538	N
hsa-mir-182	31462	10715.323266	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	8773	2987.907031	N
hsa-mir-184	3	1.021740	N
hsa-mir-185	387	131.804402	N
hsa-mir-186	884	301.072588	N
hsa-mir-187	44	14.985513	N
hsa-mir-188	2	0.681160	N
hsa-mir-18a	28	9.536236	N
hsa-mir-18b	1	0.340580	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	32	10.898555	N
hsa-mir-190b	1	0.340580	N
hsa-mir-191	863	293.920411	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1056	359.652322	Y
hsa-mir-193a	2287	778.906119	N
hsa-mir-193b	324	110.347872	N
hsa-mir-194-1	249	84.804383	N
hsa-mir-194-2	270	91.956560	N
hsa-mir-195	113	38.485523	N
hsa-mir-196a-1	37	12.601454	N
hsa-mir-196a-2	42	14.304354	N
hsa-mir-196b	407	138.615999	N
hsa-mir-197	744	253.391409	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	35	11.920295	N
hsa-mir-198	1	0.340580	N
hsa-mir-199a-1	5074	1728.102163	Y
hsa-mir-199a-2	8935	3043.080967	Y
hsa-mir-199b	12132	4131.914750	Y
hsa-mir-19a	58	19.753631	N
hsa-mir-19b-1	133	45.297120	N
hsa-mir-19b-2	111	37.804363	N
hsa-mir-200a	85	28.949287	N
hsa-mir-200b	76	25.884069	N
hsa-mir-200c	1922	654.594473	N
hsa-mir-202	3	1.021740	N
hsa-mir-203a	1174	399.840745	N
hsa-mir-203b	8	2.724639	N
hsa-mir-204	70	23.840590	N
hsa-mir-205	174	59.260894	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	7	2.384059	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	796	271.101561	N
hsa-mir-20b	184	62.666693	N
hsa-mir-21	52408	17849.108822	N
hsa-mir-210	244	83.101484	N
hsa-mir-211	0	0.000000	N
hsa-mir-2110	1	0.340580	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	0	0.000000	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	1	0.340580	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	1	0.340580	N
hsa-mir-214	50	17.028993	N
hsa-mir-215	48	16.347833	Y
hsa-mir-216a	7	2.384059	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	645	219.674004	N
hsa-mir-218-1	64	21.797110	N
hsa-mir-218-2	62	21.115951	N
hsa-mir-219a-1	8	2.724639	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	0	0.000000	N
hsa-mir-22	343021	116826.041008	N
hsa-mir-221	154	52.449297	N
hsa-mir-222	55	18.731892	N
hsa-mir-223	541	184.253699	N
hsa-mir-224	264	89.913081	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	0	0.000000	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	128	43.594221	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	16554	5637.958850	Y
hsa-mir-23b	8948	3047.508505	Y
hsa-mir-23c	1	0.340580	N
hsa-mir-24-1	1889	643.355338	N
hsa-mir-24-2	1940	660.724911	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	34423	11723.780205	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	1741	592.949520	N
hsa-mir-26a-2	1741	592.949520	N
hsa-mir-26b	1556	529.942248	N
hsa-mir-27a	3082	1049.667100	Y
hsa-mir-27b	5323	1812.906546	Y
hsa-mir-28	19225	6547.647632	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	5	1.702899	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	5	1.702899	N
hsa-mir-29a	7805	2658.225736	N
hsa-mir-29b-1	849	289.152293	Y
hsa-mir-29b-2	554	188.681237	N
hsa-mir-29c	5732	1952.203705	Y
hsa-mir-300	0	0.000000	N
hsa-mir-301a	21	7.152177	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	0	0.000000	N
hsa-mir-3065	17	5.789857	N
hsa-mir-3074	26	8.855076	N
hsa-mir-30a	161887	55135.450310	Y
hsa-mir-30b	1228	418.232057	Y
hsa-mir-30c-1	2260	769.710463	Y
hsa-mir-30c-2	2382	811.261205	Y
hsa-mir-30d	13651	4649.255544	N
hsa-mir-30e	46031	15677.231113	Y
hsa-mir-31	1	0.340580	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	0	0.000000	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	0	0.000000	N
hsa-mir-3127	13	4.427538	N
hsa-mir-3128	1	0.340580	N
hsa-mir-3129	1	0.340580	N
hsa-mir-3130-1	4	1.362319	N
hsa-mir-3130-2	4	1.362319	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	2	0.681160	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	3	1.021740	N
hsa-mir-3151	0	0.000000	N
hsa-mir-3152	0	0.000000	N
hsa-mir-3153	0	0.000000	N
hsa-mir-3154	1	0.340580	N
hsa-mir-3155a	0	0.000000	N
hsa-mir-3155b	0	0.000000	N
hsa-mir-3156-1	0	0.000000	N
hsa-mir-3156-2	0	0.000000	N
hsa-mir-3156-3	0	0.000000	N
hsa-mir-3157	2	0.681160	N
hsa-mir-3158-1	0	0.000000	N
hsa-mir-3158-2	0	0.000000	N
hsa-mir-3159	0	0.000000	N
hsa-mir-3160-1	0	0.000000	N
hsa-mir-3160-2	0	0.000000	N
hsa-mir-3161	1	0.340580	N
hsa-mir-3162	0	0.000000	N
hsa-mir-3163	0	0.000000	N
hsa-mir-3164	1	0.340580	N
hsa-mir-3165	0	0.000000	N
hsa-mir-3166	0	0.000000	N
hsa-mir-3167	0	0.000000	N
hsa-mir-3168	0	0.000000	N
hsa-mir-3169	0	0.000000	N
hsa-mir-3170	5	1.702899	N
hsa-mir-3171	0	0.000000	N
hsa-mir-3173	1	0.340580	N
hsa-mir-3174	0	0.000000	N
hsa-mir-3175	0	0.000000	N
hsa-mir-3176	0	0.000000	N
hsa-mir-3177	0	0.000000	N
hsa-mir-3178	0	0.000000	N
hsa-mir-3179-1	0	0.000000	N
hsa-mir-3179-2	0	0.000000	N
hsa-mir-3179-3	0	0.000000	N
hsa-mir-3179-4	0	0.000000	N
hsa-mir-3180-1	0	0.000000	N
hsa-mir-3180-2	0	0.000000	N
hsa-mir-3180-3	0	0.000000	N
hsa-mir-3180-4	0	0.000000	N
hsa-mir-3180-5	0	0.000000	N
hsa-mir-3181	0	0.000000	N
hsa-mir-3182	0	0.000000	N
hsa-mir-3183	0	0.000000	N
hsa-mir-3184	0	0.000000	N
hsa-mir-3185	0	0.000000	N
hsa-mir-3186	0	0.000000	N
hsa-mir-3187	1	0.340580	N
hsa-mir-3188	0	0.000000	N
hsa-mir-3189	0	0.000000	N
hsa-mir-3190	2	0.681160	N
hsa-mir-3191	0	0.000000	N
hsa-mir-3192	0	0.000000	N
hsa-mir-3193	1	0.340580	N
hsa-mir-3194	0	0.000000	N
hsa-mir-3195	0	0.000000	N
hsa-mir-3196	0	0.000000	N
hsa-mir-3197	0	0.000000	N
hsa-mir-3198-1	0	0.000000	N
hsa-mir-3198-2	0	0.000000	N
hsa-mir-3199-1	3	1.021740	N
hsa-mir-3199-2	8	2.724639	N
hsa-mir-32	20	6.811597	N
hsa-mir-3200	12	4.086958	N
hsa-mir-3201	0	0.000000	N
hsa-mir-3202-1	0	0.000000	N
hsa-mir-3202-2	0	0.000000	N
hsa-mir-320a	4260	1450.870164	Y
hsa-mir-320b-1	14	4.768118	Y
hsa-mir-320b-2	14	4.768118	Y
hsa-mir-320c-1	0	0.000000	N
hsa-mir-320c-2	1	0.340580	N
hsa-mir-320d-1	0	0.000000	N
hsa-mir-320d-2	0	0.000000	N
hsa-mir-320e	1	0.340580	N
hsa-mir-323a	4	1.362319	N
hsa-mir-323b	5	1.702899	N
hsa-mir-324	77	26.224649	N
hsa-mir-325	0	0.000000	N
hsa-mir-326	27	9.195656	N
hsa-mir-328	146	49.724658	N
hsa-mir-329-1	1	0.340580	N
hsa-mir-329-2	0	0.000000	N
hsa-mir-330	51	17.369572	N
hsa-mir-331	51	17.369572	N
hsa-mir-335	374	127.376864	N
hsa-mir-337	132	44.956540	N
hsa-mir-338	4061	1383.094774	N
hsa-mir-339	165	56.195675	N
hsa-mir-33a	7	2.384059	N
hsa-mir-33b	0	0.000000	N
hsa-mir-340	26	8.855076	N
hsa-mir-342	215	73.224668	N
hsa-mir-345	19	6.471017	N
hsa-mir-346	1	0.340580	N
hsa-mir-34a	209	71.181189	N
hsa-mir-34b	4	1.362319	N
hsa-mir-34c	10	3.405799	N
hsa-mir-3529	0	0.000000	N
hsa-mir-3591	0	0.000000	N
hsa-mir-3605	4	1.362319	N
hsa-mir-3606	0	0.000000	N
hsa-mir-3607	50	17.028993	N
hsa-mir-3609	0	0.000000	N
hsa-mir-361	823	280.297217	N
hsa-mir-3610	0	0.000000	N
hsa-mir-3611	0	0.000000	N
hsa-mir-3612	2	0.681160	N
hsa-mir-3613	15	5.108698	N
hsa-mir-3614	5	1.702899	N
hsa-mir-3615	4	1.362319	N
hsa-mir-3616	0	0.000000	N
hsa-mir-3617	0	0.000000	N
hsa-mir-3618	0	0.000000	N
hsa-mir-3619	0	0.000000	N
hsa-mir-362	31	10.557975	N
hsa-mir-3620	1	0.340580	N
hsa-mir-3621	0	0.000000	N
hsa-mir-3622a	1	0.340580	N
hsa-mir-3622b	0	0.000000	N
hsa-mir-363	53	18.050732	N
hsa-mir-3646	0	0.000000	N
hsa-mir-3648-1	0	0.000000	N
hsa-mir-3648-2	0	0.000000	N
hsa-mir-3649	0	0.000000	N
hsa-mir-3650	0	0.000000	N
hsa-mir-3651	2	0.681160	N
hsa-mir-3652	0	0.000000	N
hsa-mir-3653	14	4.768118	N
hsa-mir-3654	0	0.000000	N
hsa-mir-3655	0	0.000000	N
hsa-mir-3656	0	0.000000	N
hsa-mir-3657	0	0.000000	N
hsa-mir-3658	0	0.000000	N
hsa-mir-3659	0	0.000000	N
hsa-mir-365a	806	274.507360	Y
hsa-mir-365b	804	273.826200	Y
hsa-mir-3660	0	0.000000	N
hsa-mir-3661	0	0.000000	N
hsa-mir-3662	0	0.000000	N
hsa-mir-3663	0	0.000000	N
hsa-mir-3664	0	0.000000	N
hsa-mir-3665	0	0.000000	N
hsa-mir-3666	0	0.000000	N
hsa-mir-3667	0	0.000000	N
hsa-mir-3668	0	0.000000	N
hsa-mir-367	0	0.000000	N
hsa-mir-3670-1	0	0.000000	N
hsa-mir-3670-2	0	0.000000	N
hsa-mir-3670-3	0	0.000000	N
hsa-mir-3670-4	0	0.000000	N
hsa-mir-3671	0	0.000000	N
hsa-mir-3672	0	0.000000	N
hsa-mir-3674	0	0.000000	N
hsa-mir-3675	0	0.000000	N
hsa-mir-3677	14	4.768118	N
hsa-mir-3678	1	0.340580	N
hsa-mir-3679	0	0.000000	N
hsa-mir-3680-1	0	0.000000	N
hsa-mir-3680-2	1	0.340580	N
hsa-mir-3681	0	0.000000	N
hsa-mir-3682	1	0.340580	N
hsa-mir-3683	0	0.000000	N
hsa-mir-3684	1	0.340580	N
hsa-mir-3685	0	0.000000	N
hsa-mir-3686	0	0.000000	N
hsa-mir-3687-1	0	0.000000	N
hsa-mir-3687-2	0	0.000000	N
hsa-mir-3688-1	0	0.000000	N
hsa-mir-3688-2	1	0.340580	N
hsa-mir-3689a	0	0.000000	N
hsa-mir-3689b	0	0.000000	N
hsa-mir-3689c	0	0.000000	N
hsa-mir-3689d-1	0	0.000000	N
hsa-mir-3689d-2	0	0.000000	N
hsa-mir-3689e	0	0.000000	N
hsa-mir-3689f	0	0.000000	N
hsa-mir-369	18	6.130437	N
hsa-mir-3690-1	1	0.340580	N
hsa-mir-3690-2	0	0.000000	N
hsa-mir-3691	2	0.681160	N
hsa-mir-3692	0	0.000000	N
hsa-mir-370	19	6.471017	N
hsa-mir-3713	0	0.000000	N
hsa-mir-3714	0	0.000000	N
hsa-mir-371a	0	0.000000	N
hsa-mir-371b	0	0.000000	N
hsa-mir-372	1	0.340580	N
hsa-mir-373	0	0.000000	N
hsa-mir-374a	1256	427.768293	N
hsa-mir-374b	154	52.449297	N
hsa-mir-374c	0	0.000000	N
hsa-mir-375	1174	399.840745	N
