miRNA_ID	read_count	reads_per_million_miRNA_mapped	cross-mapped
hsa-let-7a-1	89791	13714.502340	N
hsa-let-7a-2	89498	13669.750092	N
hsa-let-7a-3	90077	13758.185423	N
hsa-let-7b	136916	20912.282996	N
hsa-let-7c	20429	3120.285645	N
hsa-let-7d	2162	330.219666	N
hsa-let-7e	10556	1612.302867	N
hsa-let-7f-1	25095	3832.961391	N
hsa-let-7f-2	25892	3954.693617	N
hsa-let-7g	2056	314.029433	N
hsa-let-7i	2310	352.824898	N
hsa-mir-100	20094	3069.118397	N
hsa-mir-101-1	31465	4805.902776	N
hsa-mir-101-2	31836	4862.568593	N
hsa-mir-103a-1	147534	22534.055621	Y
hsa-mir-103a-2	148181	22632.877140	Y
hsa-mir-103b-1	0	0.000000	N
hsa-mir-103b-2	0	0.000000	N
hsa-mir-105-1	0	0.000000	N
hsa-mir-105-2	2	0.305476	N
hsa-mir-106a	113	17.259400	Y
hsa-mir-106b	1574	240.409692	N
hsa-mir-107	556	84.922356	Y
hsa-mir-10a	154859	23652.861845	N
hsa-mir-10b	416078	63550.942799	N
hsa-mir-1-1	8	1.221904	N
hsa-mir-1178	0	0.000000	N
hsa-mir-1179	0	0.000000	N
hsa-mir-1180	83	12.677258	N
hsa-mir-1181	0	0.000000	N
hsa-mir-1182	0	0.000000	N
hsa-mir-1183	0	0.000000	N
hsa-mir-1184-1	0	0.000000	N
hsa-mir-1184-2	0	0.000000	N
hsa-mir-1184-3	0	0.000000	N
hsa-mir-1185-1	0	0.000000	N
hsa-mir-1185-2	1	0.152738	N
hsa-mir-1193	0	0.000000	N
hsa-mir-1197	1	0.152738	N
hsa-mir-1199	0	0.000000	N
hsa-mir-1-2	4	0.610952	N
hsa-mir-1200	0	0.000000	N
hsa-mir-1202	0	0.000000	N
hsa-mir-1203	0	0.000000	N
hsa-mir-1204	0	0.000000	N
hsa-mir-1205	0	0.000000	N
hsa-mir-1206	0	0.000000	N
hsa-mir-1207	0	0.000000	N
hsa-mir-1208	0	0.000000	N
hsa-mir-122	0	0.000000	N
hsa-mir-1224	0	0.000000	N
hsa-mir-1225	0	0.000000	N
hsa-mir-1226	3	0.458214	N
hsa-mir-1227	0	0.000000	N
hsa-mir-1228	3	0.458214	N
hsa-mir-1229	0	0.000000	N
hsa-mir-1231	0	0.000000	N
hsa-mir-1233-1	0	0.000000	N
hsa-mir-1233-2	0	0.000000	N
hsa-mir-1234	0	0.000000	N
hsa-mir-1236	0	0.000000	N
hsa-mir-1237	0	0.000000	N
hsa-mir-1238	0	0.000000	N
hsa-mir-124-1	0	0.000000	N
hsa-mir-124-2	0	0.000000	N
hsa-mir-1243	1	0.152738	N
hsa-mir-124-3	0	0.000000	N
hsa-mir-1244-1	0	0.000000	N
hsa-mir-1244-2	0	0.000000	N
hsa-mir-1244-3	0	0.000000	N
hsa-mir-1244-4	0	0.000000	N
hsa-mir-1245a	25	3.818451	N
hsa-mir-1245b	0	0.000000	N
hsa-mir-1246	0	0.000000	N
hsa-mir-1247	68	10.386187	N
hsa-mir-1248	4	0.610952	N
hsa-mir-1249	22	3.360237	N
hsa-mir-1250	0	0.000000	N
hsa-mir-1251	0	0.000000	N
hsa-mir-1252	1	0.152738	N
hsa-mir-1253	0	0.000000	N
hsa-mir-1254-1	0	0.000000	N
hsa-mir-1254-2	0	0.000000	N
hsa-mir-1255a	0	0.000000	N
hsa-mir-1255b-1	0	0.000000	N
hsa-mir-1255b-2	0	0.000000	N
hsa-mir-1256	0	0.000000	N
hsa-mir-1257	0	0.000000	N
hsa-mir-1258	2	0.305476	N
hsa-mir-125a	6731	1028.079822	N
hsa-mir-125b-1	2868	438.052730	N
hsa-mir-125b-2	2969	453.479274	N
hsa-mir-126	5524	843.724994	N
hsa-mir-1260a	0	0.000000	N
hsa-mir-1260b	0	0.000000	N
hsa-mir-1261	0	0.000000	N
hsa-mir-1262	1	0.152738	N
hsa-mir-1263	0	0.000000	N
hsa-mir-1264	0	0.000000	N
hsa-mir-1265	0	0.000000	N
hsa-mir-1266	22	3.360237	N
hsa-mir-1267	0	0.000000	N
hsa-mir-1268a	0	0.000000	N
hsa-mir-1268b	0	0.000000	N
hsa-mir-1269a	0	0.000000	N
hsa-mir-1269b	0	0.000000	N
hsa-mir-127	5558	848.918088	N
hsa-mir-1270	12	1.832857	N
hsa-mir-1271	10	1.527381	N
hsa-mir-1272	0	0.000000	N
hsa-mir-1273a	0	0.000000	N
hsa-mir-1273c	0	0.000000	N
hsa-mir-1273d	0	0.000000	N
hsa-mir-1273e	0	0.000000	N
hsa-mir-1273f	0	0.000000	N
hsa-mir-1273g	0	0.000000	N
hsa-mir-1273h	1	0.152738	N
hsa-mir-1275	1	0.152738	N
hsa-mir-1276	0	0.000000	N
hsa-mir-1277	5	0.763690	N
hsa-mir-1278	0	0.000000	N
hsa-mir-1279	0	0.000000	N
hsa-mir-1281	0	0.000000	N
hsa-mir-128-1	243	37.115346	N
hsa-mir-1282	0	0.000000	N
hsa-mir-128-2	121	18.481304	N
hsa-mir-1283-1	0	0.000000	N
hsa-mir-1283-2	0	0.000000	N
hsa-mir-1284	1	0.152738	N
hsa-mir-1285-1	0	0.000000	N
hsa-mir-1285-2	0	0.000000	N
hsa-mir-1286	0	0.000000	N
hsa-mir-1287	104	15.884757	N
hsa-mir-1288	1	0.152738	N
hsa-mir-1289-1	0	0.000000	N
hsa-mir-1289-2	0	0.000000	N
hsa-mir-1290	0	0.000000	N
hsa-mir-1291	4	0.610952	N
hsa-mir-129-1	1	0.152738	N
hsa-mir-1292	3	0.458214	N
hsa-mir-129-2	0	0.000000	N
hsa-mir-1293	1	0.152738	N
hsa-mir-1294	2	0.305476	N
hsa-mir-1295a	3	0.458214	N
hsa-mir-1295b	0	0.000000	N
hsa-mir-1296	39	5.956784	N
hsa-mir-1297	0	0.000000	N
hsa-mir-1298	0	0.000000	N
hsa-mir-1299	0	0.000000	N
hsa-mir-1301	19	2.902023	N
hsa-mir-1302-1	0	0.000000	N
hsa-mir-1302-10	0	0.000000	N
hsa-mir-1302-11	0	0.000000	N
hsa-mir-1302-2	0	0.000000	N
hsa-mir-1302-3	0	0.000000	N
hsa-mir-1302-4	0	0.000000	N
hsa-mir-1302-5	0	0.000000	N
hsa-mir-1302-6	0	0.000000	N
hsa-mir-1302-7	0	0.000000	N
hsa-mir-1302-8	0	0.000000	N
hsa-mir-1302-9	0	0.000000	N
hsa-mir-1303	0	0.000000	N
hsa-mir-1304	1	0.152738	N
hsa-mir-1305	2	0.305476	N
hsa-mir-1306	19	2.902023	N
hsa-mir-1307	5125	782.782512	N
hsa-mir-130a	695	106.152945	N
hsa-mir-130b	43	6.567736	N
hsa-mir-132	240	36.657132	N
hsa-mir-1321	0	0.000000	N
hsa-mir-1322	0	0.000000	N
hsa-mir-1323	1	0.152738	N
hsa-mir-1324	0	0.000000	N
hsa-mir-133a-1	4	0.610952	N
hsa-mir-133a-2	3	0.458214	N
hsa-mir-133b	0	0.000000	N
hsa-mir-134	1431	218.568151	N
hsa-mir-1343	0	0.000000	N
hsa-mir-135a-1	1	0.152738	N
hsa-mir-135a-2	2	0.305476	N
hsa-mir-135b	14	2.138333	N
hsa-mir-136	290	44.294035	N
hsa-mir-137	0	0.000000	N
hsa-mir-138-1	1	0.152738	N
hsa-mir-138-2	3	0.458214	N
hsa-mir-139	95	14.510115	N
hsa-mir-140	3711	566.810907	N
hsa-mir-141	3915	597.969470	N
hsa-mir-142	4768	728.255027	N
hsa-mir-143	121689	18586.540692	N
hsa-mir-144	135	20.619637	N
hsa-mir-145	2995	457.450463	N
hsa-mir-1468	21	3.207499	N
hsa-mir-1469	0	0.000000	N
hsa-mir-146a	385	58.804150	N
hsa-mir-146b	2744	419.113212	N
hsa-mir-1470	0	0.000000	N
hsa-mir-1471	0	0.000000	N
hsa-mir-147a	0	0.000000	N
hsa-mir-147b	3	0.458214	N
hsa-mir-148a	144983	22144.420853	N
hsa-mir-148b	386	58.956888	N
hsa-mir-149	400	61.095220	N
hsa-mir-150	1226	187.256851	N
hsa-mir-151a	8954	1367.616509	N
hsa-mir-151b	16	2.443809	N
hsa-mir-152	1629	248.810285	N
hsa-mir-153-1	3	0.458214	N
hsa-mir-153-2	67	10.233449	N
hsa-mir-1537	0	0.000000	N
hsa-mir-1538	0	0.000000	N
hsa-mir-1539	0	0.000000	N
hsa-mir-154	32	4.887618	N
hsa-mir-155	836	127.689011	N
hsa-mir-1587	0	0.000000	N
hsa-mir-15a	1070	163.429715	N
hsa-mir-15b	632	96.530448	N
hsa-mir-16-1	770	117.608299	N
hsa-mir-16-2	843	128.758177	N
hsa-mir-17	5850	893.517599	Y
hsa-mir-181a-1	7906	1207.547031	N
hsa-mir-181a-2	9894	1511.190277	N
hsa-mir-181b-1	1033	157.778407	N
hsa-mir-181b-2	947	144.642934	N
hsa-mir-181c	1955	298.602890	N
hsa-mir-181d	478	73.008788	N
hsa-mir-182	135372	20676.455445	N
hsa-mir-1825	0	0.000000	N
hsa-mir-1827	0	0.000000	N
hsa-mir-183	37668	5753.336906	N
hsa-mir-184	44	6.720474	N
hsa-mir-185	216	32.991419	N
hsa-mir-186	956	146.017577	N
hsa-mir-187	29	4.429403	N
hsa-mir-188	4	0.610952	N
hsa-mir-18a	24	3.665713	N
hsa-mir-18b	0	0.000000	N
hsa-mir-1908	0	0.000000	N
hsa-mir-1909	0	0.000000	N
hsa-mir-190a	16	2.443809	N
hsa-mir-190b	24	3.665713	N
hsa-mir-191	2788	425.833686	N
hsa-mir-1910	0	0.000000	N
hsa-mir-1911	0	0.000000	N
hsa-mir-1912	0	0.000000	N
hsa-mir-1913	0	0.000000	N
hsa-mir-1914	0	0.000000	N
hsa-mir-1915	0	0.000000	N
hsa-mir-192	1942	296.617295	Y
hsa-mir-193a	1393	212.764105	N
hsa-mir-193b	508	77.590930	N
hsa-mir-194-1	296	45.210463	N
hsa-mir-194-2	318	48.570700	N
hsa-mir-195	226	34.518800	N
hsa-mir-196a-1	724	110.582349	N
hsa-mir-196a-2	902	137.769722	N
hsa-mir-196b	1436	219.331841	N
hsa-mir-197	1367	208.792916	N
hsa-mir-1972-1	0	0.000000	N
hsa-mir-1972-2	0	0.000000	N
hsa-mir-1973	0	0.000000	N
hsa-mir-1976	25	3.818451	N
hsa-mir-198	0	0.000000	N
hsa-mir-199a-1	30643	4680.352098	Y
hsa-mir-199a-2	50726	7747.790377	Y
hsa-mir-199b	64000	9775.235266	Y
hsa-mir-19a	78	11.913568	N
hsa-mir-19b-1	330	50.403557	N
hsa-mir-19b-2	308	47.043320	N
hsa-mir-200a	3626	553.828173	N
hsa-mir-200b	2717	414.989285	N
hsa-mir-200c	27396	4184.411646	N
hsa-mir-202	9	1.374642	N
hsa-mir-203a	49578	7572.447094	N
hsa-mir-203b	226	34.518800	N
hsa-mir-204	9	1.374642	N
hsa-mir-205	7346	1122.013723	N
hsa-mir-2052	0	0.000000	N
hsa-mir-2053	0	0.000000	N
hsa-mir-2054	0	0.000000	N
hsa-mir-206	1	0.152738	N
hsa-mir-208a	0	0.000000	N
hsa-mir-208b	0	0.000000	N
hsa-mir-20a	2050	313.113005	N
hsa-mir-20b	118	18.023090	N
hsa-mir-21	2561076	391173.756792	N
hsa-mir-210	2132	325.637525	N
hsa-mir-211	2	0.305476	N
hsa-mir-2110	4	0.610952	N
hsa-mir-2113	0	0.000000	N
hsa-mir-2114	1	0.152738	N
hsa-mir-2115	0	0.000000	N
hsa-mir-2116	3	0.458214	N
hsa-mir-2117	0	0.000000	N
hsa-mir-212	8	1.221904	N
hsa-mir-214	329	50.250819	N
hsa-mir-215	6	0.916428	Y
hsa-mir-216a	0	0.000000	N
hsa-mir-216b	0	0.000000	N
hsa-mir-217	41	6.262260	N
hsa-mir-218-1	76	11.608092	N
hsa-mir-218-2	78	11.913568	N
hsa-mir-219a-1	8	1.221904	N
hsa-mir-219a-2	0	0.000000	N
hsa-mir-219b	2	0.305476	N
hsa-mir-22	513954	78500.332282	N
hsa-mir-221	437	66.746528	N
hsa-mir-222	115	17.564876	N
hsa-mir-223	257	39.253679	N
hsa-mir-224	344	52.541890	N
hsa-mir-2276	0	0.000000	N
hsa-mir-2277	3	0.458214	N
hsa-mir-2278	0	0.000000	N
hsa-mir-2355	239	36.504394	N
hsa-mir-2392	0	0.000000	N
hsa-mir-23a	25224	3852.664599	Y
hsa-mir-23b	5687	868.621296	Y
hsa-mir-23c	3	0.458214	N
hsa-mir-24-1	2088	318.917051	N
hsa-mir-24-2	2153	328.845024	N
hsa-mir-2467	0	0.000000	N
hsa-mir-25	38586	5893.550437	N
hsa-mir-2681	0	0.000000	N
hsa-mir-2682	0	0.000000	N
hsa-mir-26a-1	3968	606.064587	N
hsa-mir-26a-2	3967	605.911848	N
hsa-mir-26b	3180	485.707002	N
hsa-mir-27a	13047	1992.773352	Y
hsa-mir-27b	8586	1311.408906	Y
hsa-mir-28	14829	2264.952559	N
hsa-mir-2861	0	0.000000	N
hsa-mir-2909	0	0.000000	N
hsa-mir-296	12	1.832857	N
hsa-mir-297	0	0.000000	N
hsa-mir-298	0	0.000000	N
hsa-mir-299	17	2.596547	N
hsa-mir-29a	15820	2416.315967	N
hsa-mir-29b-1	590	90.115450	N
hsa-mir-29b-2	728	111.193301	N
hsa-mir-29c	3977	607.439229	N
hsa-mir-300	0	0.000000	N
hsa-mir-301a	43	6.567736	N
hsa-mir-301b	0	0.000000	N
hsa-mir-302a	0	0.000000	N
hsa-mir-302b	0	0.000000	N
hsa-mir-302c	0	0.000000	N
hsa-mir-302d	0	0.000000	N
hsa-mir-302e	0	0.000000	N
hsa-mir-302f	0	0.000000	N
hsa-mir-3064	1	0.152738	N
hsa-mir-3065	16	2.443809	N
hsa-mir-3074	31	4.734880	N
hsa-mir-30a	648429	99039.781695	Y
hsa-mir-30b	1852	282.870871	N
hsa-mir-30c-1	2076	317.084194	N
hsa-mir-30c-2	2851	435.456184	N
hsa-mir-30d	35124	5364.771305	N
hsa-mir-30e	79236	12102.352212	Y
hsa-mir-31	66	10.080711	N
hsa-mir-3115	0	0.000000	N
hsa-mir-3116-1	0	0.000000	N
hsa-mir-3116-2	0	0.000000	N
hsa-mir-3117	5	0.763690	N
hsa-mir-3118-1	0	0.000000	N
hsa-mir-3118-2	0	0.000000	N
hsa-mir-3118-3	0	0.000000	N
hsa-mir-3118-4	0	0.000000	N
hsa-mir-3119-1	0	0.000000	N
hsa-mir-3119-2	0	0.000000	N
hsa-mir-3120	0	0.000000	N
hsa-mir-3121	0	0.000000	N
hsa-mir-3122	0	0.000000	N
hsa-mir-3123	0	0.000000	N
hsa-mir-3124	0	0.000000	N
hsa-mir-3125	0	0.000000	N
hsa-mir-3126	1	0.152738	N
hsa-mir-3127	6	0.916428	N
hsa-mir-3128	0	0.000000	N
hsa-mir-3129	2	0.305476	N
hsa-mir-3130-1	1	0.152738	N
hsa-mir-3130-2	5	0.763690	N
hsa-mir-3131	0	0.000000	N
hsa-mir-3132	0	0.000000	N
hsa-mir-3133	0	0.000000	N
hsa-mir-3134	0	0.000000	N
hsa-mir-3135a	0	0.000000	N
hsa-mir-3135b	0	0.000000	N
hsa-mir-3136	0	0.000000	N
hsa-mir-3137	0	0.000000	N
hsa-mir-3138	0	0.000000	N
hsa-mir-3139	0	0.000000	N
hsa-mir-3140	0	0.000000	N
hsa-mir-3141	0	0.000000	N
hsa-mir-3142	0	0.000000	N
hsa-mir-3143	0	0.000000	N
hsa-mir-3144	0	0.000000	N
hsa-mir-3145	0	0.000000	N
hsa-mir-3146	0	0.000000	N
hsa-mir-3147	0	0.000000	N
hsa-mir-3148	0	0.000000	N
hsa-mir-3149	0	0.000000	N
hsa-mir-3150a	0	0.000000	N
hsa-mir-3150b	0	0.000000	N
