id	filename	md5	size	state
10e6da1e-3c5c-4090-92d0-2ba0603d175e	mirnas.quantification.txt	272626cff244a0ec4ef30230942c5d12	50184	submitted
ead7fe92-55e2-44d4-ad5e-55068d050e73	mirnas.quantification.txt	9a8df1d581f86d1a03cdbeb64d2ad98a	50391	submitted
306d7a5d-444c-4e10-bffc-e7efc6db7549	mirnas.quantification.txt	ba0e870ff53dbe0300c5143904b684a6	50246	submitted
fdcd5f36-9232-40f7-9da1-d9b4f579281c	mirnas.quantification.txt	acefb67c516efa4d391998ca47118c29	50074	submitted
d71eb0fe-0acb-4b20-8b02-4a191bf98406	mirnas.quantification.txt	483b1af10fa5432663744afd80bce955	50111	submitted
c6024020-3c60-4c76-b927-1c5a7fa93134	mirnas.quantification.txt	cbc7cb1b549186c658dcfc9e7fc6f28a	50288	submitted
c3b6f74a-1351-43c5-915d-10805636ec86	mirnas.quantification.txt	729e07766047968f2f1f07b3f5bd84f9	50149	submitted
de9117dd-7e81-470e-b828-d2e43ddf78b0	mirnas.quantification.txt	019a2e69484cba520605292a51da7be6	50299	submitted
bf875014-f87a-4559-9721-81a0a1ee8f3e	mirnas.quantification.txt	5a40de1bd62569747a09c9fb8eeb557e	50144	submitted
ebbbc9ce-689f-4fcd-9fa1-6455f55158e6	mirnas.quantification.txt	67163321d24acbc35d73df0eced38258	50426	submitted
f6a9e5ca-f508-4211-af6f-8f09df3616e7	mirnas.quantification.txt	935229395bfa8a06a2f24b7fd46e29f9	50290	submitted
cc6b512e-7331-44cd-a574-a66c8251ca88	mirnas.quantification.txt	40c90a52bdde27b1b98f6d625e190338	50211	submitted
5524303d-49e8-4409-ad10-efead3d8a696	mirnas.quantification.txt	a82c051447d7f6028380a1b8a2f169de	50401	submitted
3b4c0b21-8487-4239-8a5f-6912de160bcb	mirnas.quantification.txt	782218f2a323f5c2f25d68cd275d5a67	50170	submitted
baafafc0-4720-4f98-a463-bdf0e43cb3cf	mirnas.quantification.txt	62ac0075c18f2268e241c2eacc376814	50139	submitted
a1f87512-a39d-4761-923e-a41400db3c20	mirnas.quantification.txt	b553fb598c92df84eee36a6418b777a7	50195	submitted
b7d34943-4303-44a1-b7a5-bb6dc561eb33	mirnas.quantification.txt	657bb2881a01116ab0c8bd49a817796f	50261	submitted
865bff50-cc6f-40b6-9a4e-6a1739bcce19	mirnas.quantification.txt	d81f6237b84744f811b9a691a74a628a	50203	submitted
5bcd5eaa-3d55-4de0-ae39-426ded62d91f	mirnas.quantification.txt	c95e548a43d2885066a4a8039ed43b0f	50369	submitted
21a5ecd5-d46e-4be9-888c-ea31f85825e6	mirnas.quantification.txt	239aac22d9cf7cd93eafafa35a04575b	50225	submitted
aebf68b3-a28b-458d-a229-6ecc0bd0c0e3	mirnas.quantification.txt	c8072d97864fb566d624794de2fe9627	50181	submitted
2b7ff545-f8d7-4cdd-ae3e-3a07cc2d050f	mirnas.quantification.txt	4038d2f33a8ea20bd57e8754d69656d6	50273	submitted
a75813e8-dc74-4142-a3ad-9ae8df88baba	mirnas.quantification.txt	bdaf1049f838d93613d8a59e200afde6	50258	submitted
b06e2ea7-4a71-4a9a-8d63-ec0aebff5c0d	mirnas.quantification.txt	6d53b9e0325f3e6b37e6abec2e672453	50083	submitted
0466bb7d-21c8-46a7-92c2-01eb605fdc97	mirnas.quantification.txt	7e061397174f9df12637c9352e680aff	50274	submitted
d946d1fb-d854-40a3-a291-fa067843f6cc	mirnas.quantification.txt	bee7683721d827341e360289ab30d1b7	50351	submitted
2899a962-7012-4c6a-a832-4bd327f080b5	mirnas.quantification.txt	430984aa98a8ffe6376d101c4aa5dd4a	50259	submitted
b828a247-67d8-4147-bdad-9324b3460257	mirnas.quantification.txt	1f2e57b065eef05ba2c3f9e34d452d7c	50321	submitted
8e1f74bd-a1a2-43e2-8751-2418c5ee99d5	mirnas.quantification.txt	9ba8a7d6755632527ce8d121bd74f42c	50468	submitted
a22c529d-981d-48f4-a638-2c0fd5c0c27b	mirnas.quantification.txt	eea82ffa906a5cb4e74b4496ffcb0b14	50172	submitted
