"x"
"CPB1"	2.42404489888676
"LOC118430"	2.36228041181306
"SCGB1D2"	2.35981167100973
"PIP"	2.30603479866687
"TFF1"	2.30082332111823
"SCGB2A2"	2.26003030233211
"CALML5"	2.03435590037973
"LTF"	1.99216129409479
"CEACAM6"	1.96998484647127
"S100A7"	1.96633150061173
"HLA-DRB3"	1.92966014065765
"CLIC6"	1.92154801243636
"S100A8"	1.89531147060827
"ESR1"	1.86579152230702
"HLA-DRB5"	1.8163937722666
"HLA-DRB1"	1.77697081407664
"LOC115281"	1.76485440977669
"LOC399717"	1.74219573345703
"NAT1"	1.71993710624786
"BCMP11"	1.70609959005938
"MYBPC1"	1.69271538050018
"BEX1"	1.68461308479464
"S100P"	1.6809768495187
"CEACAM5"	1.66790166264204
"TCN1"	1.65822984937243
"HLA-A"	1.64857879339071
"TNNT1"	1.64671402353711
"SLPI"	1.64134551065979
"MMP1"	1.63731425361734
"KRT15"	1.63616210972409
"CA12"	1.63002708551801
"EEF1A2"	1.62437018581436
"MGC24047"	1.61951837334101
"APOD"	1.61864627191327
"PROM1"	1.60958456619806
"GFRA1"	1.60615169876999
"C4orf7"	1.60043449304268
"B7-H4"	1.59510813192548
"SERPINA5"	1.59177063339798
"LOC377544"	1.57715451123093
"TFF3"	1.57446912431716
"S100A9"	1.56637463421134
"SFRP1"	1.56572733356553
"FABP4"	1.56536498686097
"SCGB2A1"	1.56393594292225
"FLJ22774"	1.55550797195978
"TSPAN-1"	1.55140775384093
"NY-BR-1"	1.5474579888909
"GABRP"	1.54421673044821
"CXCL9"	1.54004724622134
"AREG"	1.53902952944102
"SERPINA3"	1.53102195830263
"KRTHB1"	1.51976081841423
"CLECSF1"	1.51811924944081
"PACAP"	1.51368051572521
"GRIA2"	1.51014619019595
"LOC374572"	1.50973543257193
"KRT17"	1.50532801727974
"SCUBE2"	1.49185213877361
"FOXA1"	1.49029707670978
"IGJ"	1.48250451858137
"DHRS2"	1.48076539179234
"SLC39A6"	1.4706389586524
"SERHL"	1.46963808290803
"AGR2"	1.4627212081635
"ACTG2"	1.45574929451568
"FAM3B"	1.45086885879545
"KRT6B"	1.45069468405801
"CHAD"	1.44952223839049
"ALDH3B2"	1.44606466688495
"FABP7"	1.44226431978778
"MLPH"	1.44177786538741
"SCGB3A1"	1.43977284865695
"MAOB"	1.42476323876761
"HMGCS2"	1.42089580523406
"CNTNAP2"	1.41361406737627
"UGT2B28"	1.40656579709105
"MMP7"	1.40550041569109
"MMP11"	1.40353907976678
"UGT2B11"	1.40326709723375
"GATA3"	1.3983607943157
"LOC256394"	1.39146352912202
"AZGP1"	1.39034589973637
"CXCL10"	1.38871149284334
"DCD"	1.38536756793006
"CRABP1"	1.38259563985029
"CYP4Z1"	1.37653983149388
"CART"	1.37332017490504
"BXMAS2-10"	1.37070297523766
"RARRES1"	1.36222586070531
"MIA"	1.35694107680144
"SAA1"	1.35512105398522
"SYT13"	1.35281161154677
"SPP1"	1.34961092882587
"FLJ12650"	1.34740576544008
"LOC391392"	1.33979242192631
"COMP"	1.33940241736689
"TAT"	1.33660041755583
"MMP9"	1.33597443432766
"CALML3"	1.33374614662889
"G1P2"	1.33332535409053
"BGN"	1.33201491234402
"CITED4"	1.33137933397285
"UBD"	1.33088848192405
"MGC26847"	1.32901307847194
"ASPN"	1.32799351355438
"AKR1C2"	1.3242050997408
"CYP4B1"	1.31839950371679
"FOSB"	1.31548800653874
"RPESP"	1.31528853771991
"BF"	1.31311769448931
"C4B"	1.31176811315161
"LYZ"	1.30886767557989
"COL1A1"	1.30813592674151
"LOC374699"	1.30594210966613
"UGT2B7"	1.30584547513628
"BCAS1"	1.30273681053743
"ATP6V1B1"	1.29941231170536
"HLA-DRB4"	1.29818318745701
"CP"	1.29331452775662
"TPSB1"	1.28978835601913
"CAPZA1"	1.28646924344233
"KRT7"	1.28035475533464
"IRX2"	1.27980454116995
"CAB2"	1.27320693457593
"PIGR"	1.27242520472048
"PTN"	1.27220090975564
"CXCL14"	1.26605523111272
"IFI27"	1.26323105421777
"LOC389816"	1.26137235609317
"LOC124220"	1.25470124990058
"TFAP2B"	1.25456600612696
"SEC14L2"	1.24229260777282
"SERPINA1"	1.23989151588191
"KCNK15"	1.23726884507827
"S100A14"	1.23634587631258
"MUC1"	1.2359517024575
"TUBB4"	1.22788676364755
"FLJ39501"	1.22535655227541
"PDZK1"	1.22513445263759
"RBP1"	1.22428061563392
"HIST1H1C"	1.22313987406595
"LOC91170"	1.22292886309474
"NMA"	1.22030732652103
"CA2"	1.21939363230267
"C4A"	1.21908513647562
"NDP"	1.21899430006981
"ACOX2"	1.21854549027003
"CILP"	1.21393365990619
"CDC20"	1.21393350764364
"CRIP1"	1.21220452130845
"SOX10"	1.20925416424832
"MGP"	1.20816798180154
"MRPS30"	1.20790708468717
"CCL18"	1.20700093544148
"MYH11"	1.20480162775037
"APM2"	1.20294184456925
"KIAA1324"	1.20151124565189
"C14orf66"	1.2007389756784
"RAI3"	1.19838553336744
"FCGBP"	1.19806159523481
"G1P3"	1.19480272400327
"MX1"	1.19380524919341
"OSF-2"	1.1928821807306
"CXCL13"	1.18457946611173
"CCL5"	1.18037589240065
"IMUP"	1.17729780301709
"PEG3"	1.17499946993873
"CTHRC1"	1.17261216463198
"SCNN1A"	1.17238170101634
"FOS"	1.17190297049346
"MGC39616"	1.17029245972619
"KRT14"	1.16957992912779
"INDO"	1.1690443179016
"ADH1B"	1.1683565923791
"SLC40A1"	1.16802499681688
"UGT2B10"	1.16685449674545
