X8823 X2253 X7476 X89780 X2322 X51384 X3576 X3918 X29119 X7042 X2353 X2247 X7849 X64399 X3908 X2252 X83439 X51176 X3655 X7043 X8313 X3725 X2122 X2034 X8503 X5154 X5155 X861 X4088 X581 X867 X3716 X7187 X207 X6774 X4790 X1399 X369 X8453 X998
TCGA-BH-A0HW 8.59374407326902 7.84847445582232 9.56573244823851 7.78735125713374 16.0437380787298 7.63977236941787 14.1567049648157 15.1575868308328 10.9844961929396 13.514613735161 18.8978594680386 11.8864055910653 13.5441222301606 8.62854208291569 11.5394417970275 10.645835016372 14.2942577812233 14.9191755758519 18.0502487801583 17.3279313892943 15.6998140693836 18.6542858391382 13.8719401347522 18.7888524931981 15.8308541278585 15.8730010441 20.0838928703009 17.4028388094264 18.3036201361152 18.0953146778443 15.2235143765567 18.7663603753061 16.6834462497819 18.4167874344729 19.6535565507085 16.8850108061581 19.5466757606321 18.331240019648 17.499309888816 20.6445514637321
TCGA-BH-A18S 9.32483798067032 3 6.3934673108857 8.91643221711535 17.0391316616705 8.35945537146852 14.7751102327261 14.5291827727089 8.98995187900818 14.7732775894864 20.9973575716865 19.988728916443 14.7835271754723 6.03773341333049 13.8744451567606 14.5042713800932 18.0777963221428 14.7295128672926 18.0071164664093 18.1300104641248 14.9687768845204 21.3823486568548 13.7140751979141 18.6467592160377 16.2760020529295 15.9721521579235 17.7858311546198 17.713537742537 17.162522558822 17.7168606653546 15.7058222318393 19.0936354575711 15.0363446993208 18.1862390560455 20.2776606024238 18.1574505269796 18.9179314270204 18.6463032225399 17.7044347005166 20.823002516576
TCGA-D8-A27E 10.1249580521655 7.81573156675942 3 7.75465990483311 11.5919130225913 6.66522497850507 11.6554011508767 16.4149431767486 9.04487567117146 14.6723128796645 20.0831282804438 18.4305609007611 7.04000700692006 7.71428898223903 14.5281757443944 14.2491281743146 16.8507235422753 14.7308776570575 17.4278152769511 19.3908776623031 14.2890227806668 18.3937961861512 14.9333940389167 18.7326897389894 16.9767240317885 16.2715779717999 17.3654876380546 18.148264043239 17.6219226361042 16.9483340451444 16.4460101247711 19.1737158127811 17.3558735784609 18.5321073220957 20.3029927473939 19.2518439363393 18.7394453788671 18.6679147148628 18.109984604963 20.6415872725747
TCGA-E2-A1IH 15.7333988608696 3 9.02953553913038 9.18496721001026 14.4838824395249 11.1541476112564 15.5091803457617 15.967115020821 10.9679655898469 14.9161742562538 23.0481686368442 15.1289137340186 11.6808764675143 10.2032659076742 16.9125441423304 16.2629305560199 16.6105378061521 17.2204580401004 18.5811111782096 18.8361761458189 14.8040693362752 20.4413878672822 15.8562680010012 19.7398587767361 17.9096075515413 16.6803444331749 18.138964206621 18.6738138776993 16.6874256978532 18.0095627030346 16.289564653508 19.5158625260681 15.8542978072971 17.3602928694928 19.8619049129524 17.7942723811789 18.4569275799096 18.7109053641984 18.0553684508905 21.1578112018232
TCGA-A8-A091 10.8854205018966 3 3 9.8216895878793 12.2568469224589 8.23484738774027 11.9285175614193 13.2478496567958 10.1071014099365 14.1183296696177 18.3345810451335 13.1921938005879 15.9276298519632 8.72731060148243 15.9340514951698 13.4154446083606 14.868156317266 16.1602263965895 18.2376767457171 20.2404454352911 17.3806529392756 18.3082396440509 14.7238456432439 18.6884870804013 15.2118354678718 16.7160316493222 20.1624191244623 17.216028738539 18.5225017898271 17.9547890803024 16.7016662266489 19.1365518211792 17.6937281870007 19.3178210873771 19.1434934898034 18.3281965946207 19.385184065338 18.0722485195471 17.2979764808521 20.5138327914091
TCGA-A2-A04W 12.2933922852138 3 3 11.9791070064703 10.741684472355 3 20.0244987909059 17.0413000461569 7.38477317863279 16.9034900592731 21.6365970577499 12.5771543229141 15.4813206946307 13.0483618179988 16.4577442485127 15.1651312617743 18.1778967683434 16.7582188907999 18.0942216104064 19.010317094902 14.9706018224509 22.9478837629941 14.5710812618054 19.7279585044503 18.9201465665699 16.4612103376547 18.1398317305305 18.854914913536 17.3204144362304 18.2570238668573 15.6801960284529 19.9511843450078 15.4862176008895 19.5896859301675 18.5200341535785 17.1182760353805 18.8378395382324 18.9061160302836 17.4433774014231 20.9733775013518
TCGA-D8-A1X5 10.1571994580143 3 3 3 10.7270019625176 7.24251196330433 15.0940111516177 15.5283208591116 8.23844932379836 15.3058547528572 21.5075786674122 12.433317804552 15.3529603741349 3 16.3750100735604 14.6935066327776 14.8311196259639 16.5438562562198 18.2282399782466 17.9703441495016 15.9227929631551 21.2250648844587 14.187624756022 18.0322857241323 16.1835519711617 16.2466644922092 17.0967602707767 17.5351372251966 17.3416617453133 17.8744157994974 15.8099905159098 18.8268565241886 16.1003084548561 19.0189462649585 18.4261838744241 18.4086499475883 18.2725608990126 19.4853199520721 17.9896507715312 20.7080683125066
TCGA-BH-A5J0 13.9461133596158 3 10.3661096716536 11.5891990018992 12.9126691223185 8.29920698898049 15.5637739969433 16.6434311083386 8.3338260284152 15.5943108521282 20.3477930431526 13.5744559281355 15.057501380821 8.98155371443824 15.946181663001 15.2043853434049 16.0875821925944 16.4846111790924 18.0993011731575 19.2801689753025 14.6265515795471 19.7661812681364 14.3703258490494 18.0663848684545 18.1206605555517 16.4705824525854 18.4815393606005 17.7675279803258 17.3701373432831 19.9771414684664 14.9564014934014 18.6131191122864 16.3544657564322 19.0236391298485 18.7903180015116 17.6948565851991 17.8504444767208 19.5904687249062 18.0955707500765 20.8522805440737
TCGA-A2-A1G1 7.49650065650349 7.72085214031306 6.13315006301641 6.715904938688 13.0986737985599 10.1588508245844 17.2008594267406 18.8269659769731 7.89565841244511 17.8087300274958 17.6000178059001 12.7525986064819 14.7959052265128 7.78306238771247 15.3032764197837 14.5329510879324 18.7782691220926 16.0178237258511 18.2760038884253 18.4605863999047 13.7517175631948 18.3174994233671 14.7091500037915 18.5041994243117 19.1266812649443 16.242391147592 17.7660915687337 18.2362747550623 16.1193822381825 17.7795448653649 17.9187220209275 19.8383159455715 17.2897052207128 17.1106440614316 20.4511369642476 18.4475508823095 19.2674524007347 18.6617080955551 18.7189625428123 21.0779968015772
TCGA-A8-A097 11.7991976676671 7.62995085948226 10.3961097149444 8.85419043435113 11.0955002525144 8.38853326953553 13.6428445416687 18.6531316616867 8.31887463382344 17.2304596044593 20.5366344912603 13.4596651017157 14.8211195491772 8.49745254061007 16.3516915875835 15.1269566546945 15.5207751048912 15.9787411404238 17.4008191802056 18.5620105255995 15.3424455557049 19.450637940338 15.3054747281117 19.0594454431755 16.4665599907942 16.7250263090982 18.7314530139285 18.0375443571881 17.7721707973365 19.1066369946176 16.2610715766491 19.4368844871914 16.1424107030727 17.4784527432378 19.9416395265126 18.04200707275 18.8053164767202 18.9314429462857 17.3681935883093 20.5599770190111
