X9370 X4656 X50674 X2167 X148738 X5346 X6327 X3785 X3172 X2657 X4825 X8913 X130399 X1287 X55800 X6329 X80031 X57556 X3786 X7026 X2494 X6478 X782 X375790 X6196 X784 X3280 X4088 X6195 X1175 X79718 X207 X1741 X9440 X5306 X998
TCGA-A2-A0YF 16.6182555065647 7.59121410688256 7.73641195962749 19.5102418377582 7.01418719497261 17.5495255242858 8.9447657808068 3 5.54319545243444 7.61569230604412 9.98684225290086 9.40311691599782 14.8793720403167 16.4642183952543 9.81900435516144 12.4486541753543 13.6110952317834 14.5356234288937 14.7908405679186 18.9119213278755 13.2134342454837 20.6772426037389 12.988975700712 17.4428018107747 16.5930321663377 15.3492170439492 20.8561224897994 18.1721028094136 17.6951434614443 19.6355002785233 18.5542685089527 18.0185261957053 18.0337883188325 15.4741859559613 18.6951144941713 20.5280865315022
TCGA-E2-A15J 12.0164283092772 8.95866105910873 3 13.8737447597029 7.39734735857759 12.7530156486615 6.17384922852643 11.1129735915015 3 8.66754239691545 11.2478634815507 9.37257731726307 9.36369644042987 17.3610996312114 8.15295436109893 9.10906644702396 12.0958042365844 17.7974408948053 13.9937753994795 18.5552113039254 12.6965532431317 21.7222053911287 13.4356079729653 18.8293365332826 16.2250000880152 16.7772523036656 18.7923433722303 16.8020381451372 18.3808626461566 19.750269307529 19.9443555202681 18.5312275084215 17.9321033790731 16.2262465670846 19.0948697339561 20.330341691305
TCGA-BH-A0BW 10.9995399578773 3 3 13.3764959066533 8.31612159347567 11.7070365149917 7.04670059385628 6.16450526589325 6.74121883376285 8.21543785726987 9.69476838661977 9.55716491572654 13.737944445756 17.7639549530124 8.74332481432569 9.99024212250047 12.9652327612656 14.9927682069452 13.2033624300079 18.7341688072134 12.6162241908205 17.9081409583072 14.4111799365249 20.5770798732531 14.0639920186181 14.8158270683855 18.4961186471234 17.0873356974741 18.2578293786463 19.0254484139719 18.5804899240622 17.329316385854 17.7993730319926 16.4103480205451 18.331087194319 20.658558015139
TCGA-A1-A0SJ 19.2312820635441 8.02750595199272 3 21.1595438770466 3 19.1756924940576 11.185965233591 10.0071196092218 8.91813931553197 13.6059703428978 11.9256535035444 8.51668966354873 13.7473621763973 16.2068555201771 12.3763156086336 14.0667286102361 13.1489375673918 15.5754407715396 14.9921837792876 18.3271159866873 14.140193755612 19.8649813765841 13.8769179303295 20.3020444897777 17.4222568246115 15.9774429982953 19.4487986052937 18.1926075078411 17.0778013311643 19.611175603926 18.8056144681071 18.5311892274098 17.6755986447614 16.0423324297656 18.5804013125861 21.3092771012199
TCGA-A2-A0EY 15.776993546364 3 10.660851341402 17.5735036809965 7.3804950009293 16.2062860845372 11.2394261231375 6.72257702432003 3 8.96636675556169 12.2980955823458 9.96195851763872 10.5455692087766 15.9168201635693 10.2504747970844 10.9829202715499 12.2541553757617 15.7078754404 12.8610035945191 17.8319610794152 13.9867777849048 20.0033758309937 16.2243745024161 19.0110495451045 17.2339014244139 17.3059152451108 18.2434387145816 16.2625404775747 17.72485931993 20.7944147975748 18.5532346525892 19.2309569015164 17.3221605032577 15.9424081247396 19.1127864964608 20.4976186838905
TCGA-A8-A07R 8.46935754038536 3 7.90856918173062 9.44056784592648 8.71321477217127 10.311340470324 7.82935134064537 11.1598454193678 8.93336377409902 12.1426288430061 10.4034463031769 8.9709516937821 11.3332817196779 16.0004257840331 8.28515406292607 13.3859315467889 11.3766812887008 13.7003059921362 11.5530938639018 19.1943654546551 11.3372076834307 19.9891021003377 15.0135837831988 18.229961789422 15.240222635053 17.2987046694765 18.9626766841219 15.4476796721325 17.8129590262148 20.7190109911441 20.3935220302117 18.0658274149146 17.1508000996956 16.8198379552975 18.7602770802582 21.148523721311
TCGA-BH-A18G 9.89464181010366 3 11.0481886478122 10.0329681430529 3 11.1683345179711 8.98368326115789 3 3 11.9556248219817 13.3704136984765 12.1571521924511 11.06265246993 16.0414123450548 9.85820977858365 12.4386993564645 11.3170190917441 14.4552145056598 13.3943473706222 18.4394639275309 11.9099434855217 18.5457771840741 13.8965346022027 18.3748261030427 14.437838965208 17.3220488445977 19.1734291020461 15.517652202628 17.2695389613876 20.0403554537955 18.2502114984317 18.5717770303022 18.4441663669033 16.08245520169 20.0013498292428 20.912522624948
TCGA-BH-A0BR 16.4817131509095 8.24236726221203 10.6838679888465 20.1101200546337 3 15.9701916657645 11.799684444055 6.98894332065582 8.30422899262249 8.93118212269806 12.6177512423173 10.1898359532355 10.5292591511495 16.9879531761829 10.7091309271071 11.8407569021519 13.2425296083232 14.610126910906 14.3986084282485 17.9979489284216 13.264687108914 17.5823500785637 13.5595995906741 20.1909789347391 17.5932526488793 17.2518730645655 19.8828164283359 17.4847274152936 18.5575414925017 19.8781768232893 19.2635653066318 19.7099842218528 18.8009248601317 15.5410991210375 19.2414986253126 20.9936830807148
TCGA-A8-A06N 9.47794869757058 3 3 11.3830513546086 7.69703178333035 13.0345706724308 5.58128728239273 4.83088702675352 3 10.2831982578267 3 6.31809214131753 10.8747858298997 14.8507530671643 3 11.5066256530111 10.4147476650392 12.8003095074228 11.8799845322284 13.8025147935339 14.0666211398189 20.3350450928112 14.5456584112304 18.3057795872229 14.0318612542869 15.9285496272822 17.5667445136862 17.9348245473138 16.145734704516 18.9661009589645 18.2977718904174 18.0875463279419 18.456421036708 15.4337500560937 17.8276645753019 20.8758095179843
TCGA-AO-A03M 14.6142587227844 11.0040366013813 3 16.9385383985896 14.0296304995797 14.4598906969895 11.2566939447384 3 7.35293687623725 9.26150315496305 14.8472004288989 10.6334675259553 10.8141747037097 15.3701019464749 11.781814963617 9.03579889987623 12.4387925758199 14.498368169356 11.2283680026609 19.0548197500998 13.4133907277107 19.8060865505683 12.6112674077147 21.307029120525 16.898299515365 17.6070360232368 19.9406618603906 16.8767999398671 17.7076176098702 20.4318903619224 18.7571072162502 19.4720719041049 17.855255386705 16.2232586706615 18.9800522840223 21.5063930168774
