X8354 X5473 X3456 X3046 X5196 X3045 X6403 X7066 X22915 X2151 X5265 X64805 X3043 X7042 X10125 X11136 X2159 X7043 X5136 X58494 X11069 X2149 X2 X7450 X10335 X54331 X5153 X5575 X408 X2791 X83700 X161882 X5175 X10461 X4846 X8503 X5154 X351 X91768 X3717 X5155 X5770 X6915 X3705 X221037 X64837 X5590 X27154 X207 X5576 X3799 X5908 X801 X998 X5566
TCGA-C8-A130 9.90620045823574 3 3 11.8921002017326 3 8.55555427330777 15.1122117359643 14.1981638511438 13.8154165339195 17.2162440465305 16.4792198637885 12.2427506610016 16.2868021097768 14.7743684963872 15.6917009716578 14.2684940469472 13.5458829539937 18.1732314128646 14.0177362808171 16.188657018397 15.0019858561833 18.693657639278 21.4638636681875 18.9260542633647 16.2941511969542 15.6931072196799 14.4605089948037 16.5239026735287 17.4231972613926 17.7659120162051 16.8123699189353 14.4763995942941 19.2057462928834 14.9412806901412 16.3336239215395 17.3047774983855 16.7601010048874 20.7535811378894 16.2171117738677 15.0601039018569 18.4476019312204 18.6248997513282 15.1241931917937 18.7954264233741 16.7437300473432 18.1091093275253 15.9478243079557 17.3123628916481 18.7746904024251 17.4141353464249 19.1457226058474 15.8848922227625 20.3660937969976 20.6866352665589 19.3135360539366
TCGA-A8-A0AD 10.1657727633766 10.9477030992986 10.1027052189244 3 3 3 13.2606743114364 15.4115541860421 12.787520795682 15.1010653920054 18.1517959786106 16.8050228367673 15.6242498110441 16.0685485610832 16.9705230359067 9.51194974812631 12.9599381554388 20.1964610189202 12.623740069911 15.0526710189871 16.768074863299 18.1393489251781 20.7049399671488 17.841923540453 15.669730290879 16.2536436464815 13.9329108795839 16.0189203783188 17.9437346853448 16.6691064624656 16.644449765146 13.9489584604605 18.7596023738164 17.2769368601149 14.1640984100414 18.4944693814345 15.7767490275024 22.1329411809543 17.234150340686 16.405907922419 17.9723569984787 18.9286675131753 13.784220489445 19.0920295380531 17.1844051129316 17.4134072697212 15.9500941539799 18.4607938835626 18.4882995219545 18.5009033782872 19.5764012178247 16.567742166187 19.6650003230071 21.3547348980437 18.4846746560628
TCGA-A2-A0YL 9.67373057093797 3 3 10.0802068468533 3 8.3263683642229 16.9112284399663 12.3957352251513 17.0015752564257 19.8600306519615 17.3307736369229 14.9337930775013 15.7467164473485 18.224421458387 14.7605780910513 10.4675000633444 14.3208735538331 19.1288598560336 15.1429426781282 17.0458709207568 15.8100276579352 20.2480514558465 22.2803445963573 19.0866293637698 16.905173906119 16.104452905235 13.677027788388 16.7605539474322 17.5446058541681 17.8662781911967 17.9178849264793 14.1237662252318 19.4447263437439 15.7160462495049 15.6171338783919 18.2985765182075 17.1594101969269 22.4019726525306 17.3451929826697 17.1420404471113 17.772875965803 18.5447624682879 14.2792092528791 18.5209861142039 17.9467799630067 16.425790236167 15.9822900536383 18.0013131059506 18.0181170059042 17.6959511531517 19.6437469714388 15.8737158093823 19.5861731652433 20.6929653694686 18.4920909571929
TCGA-A8-A09G 9.58616003542462 3 3 3 3 8.24017649023165 15.1435793787048 10.81677618148 13.8493737141697 17.3809204809935 17.494813935225 13.4822210489543 14.6658662527913 12.8076772415114 15.0898984129483 11.7222050902458 12.4463233967798 17.2946599236395 14.071509034436 15.0883520565081 16.2523857006476 18.3338148224468 20.8914356480007 18.7685343827355 15.3181147362203 15.6207993839265 13.9595012745323 15.7508052702237 17.2215905910747 16.4700211057517 15.6151243026134 13.5422576043788 18.6357863221716 15.5457045572403 14.9747608928315 18.1869477228992 15.2657772360087 22.4247612577892 17.3428419408158 16.9650865201504 17.8097518709602 18.8008215903398 13.588757273851 18.7502296075756 17.4313987725246 17.3081403106787 15.7808798539666 18.4728959475399 19.6438168403384 19.0645350061441 20.5520354430781 15.9670595915188 20.2627500592258 21.0351775169529 18.1983227049013
TCGA-A2-A25E 3 3 10.1419623009744 3 3 8.27835555134284 14.7630715555839 12.8511288102303 15.5935802776998 18.861747090269 16.8710438750726 12.6826360596905 16.5698139045592 14.3725613237604 15.7391809136728 12.996439867843 12.0008486231356 18.4218573049018 13.1997064075238 15.7232711564805 14.2290897423505 19.2227505943406 21.0443005521454 17.4686870198479 15.8746654652772 15.4439410231683 13.2757476038088 16.1662234880544 17.5406776634051 17.1300147257891 16.5204212798983 13.2332052602146 18.505583907706 15.2972284454334 14.3654335265725 16.9523170916353 16.2428354045154 21.3914393169293 16.3657080990463 15.6849218381564 18.8006318000626 20.4690944421502 13.8798519580879 17.6437623828203 16.962831855684 17.109063685919 15.431096482491 18.0880445365752 17.1616170311389 17.6598883300102 20.4146844452436 16.6861844960012 19.7726044896768 21.5523779972326 18.6980769058058
TCGA-LL-A73Y 3 9.98045726157454 3 8.62239315845321 9.23170802500014 3 16.7995194112294 11.0126864181779 12.931318769775 18.6216280035682 17.3216290699848 14.0505873371525 15.0806615626579 16.4229199129533 15.3549363096478 11.2827212250154 14.1561855167622 18.1707805491656 14.3210401618411 16.1416074686701 14.8756880805872 19.5254763191692 21.1211593504983 18.4426038878143 15.9099285286773 16.5208784390719 14.1964497020509 16.4538033107946 16.3366034465189 17.8273483679995 17.2817276598642 13.6362877246513 18.9234833557069 14.7919071430009 15.9353238158693 15.8155023179107 17.3279457848076 22.3919876451743 15.7124449593192 16.2325224058178 19.5134804895979 18.4839929026689 15.3610128624352 16.6502280543793 17.7709459746061 16.3788463695224 16.2123329658008 17.9719345237238 17.7983356389775 17.6793010703685 19.4866834984593 15.6357170114912 19.8654380842994 20.1407730405734 18.4368980162612
TCGA-AR-A1AK 3 3 12.3094784789867 9.74977304506254 3 10.5494395668799 17.2240933998303 15.215022400787 16.9867168714329 18.6848167937797 19.1317990046442 13.6656003924887 16.2428355139745 15.3327067995217 16.7381838133693 12.0617125657427 15.0218654005979 18.6974062842729 14.3437149645977 16.6855579191355 14.8258662312052 19.6768699833971 22.0651993858 19.8430655331175 16.2083370622156 16.2973890571548 14.3614156067075 16.2897451911184 17.1258708995356 18.006767297466 16.9377945266401 13.8382961460192 19.971849871553 16.8897910963991 16.0953390399412 16.8977320278779 16.4760358515997 21.4330186340164 17.2920260433911 16.7013802935894 18.0085995149941 21.0586150713882 14.8195103394119 18.9865138688203 17.518159565322 18.5307960573483 15.1717304109047 17.5326139478662 17.8797688545459 17.8564998471057 19.9615100561919 15.936859439566 19.5713693449748 20.370380582035 19.1321712210009
TCGA-LL-A740 3 10.8178715952564 8.98474962113938 3 11.060273338309 12.4651300128003 14.9283440612912 12.935928446218 13.2124177299624 17.9808847565625 17.8859049167003 13.019305263171 17.3692068080641 17.095422511914 12.7210895410706 10.8314496868629 13.6156209231534 18.4125173286 14.6217518586414 15.6106966471953 15.1594303092179 19.306701306271 20.9222479670784 18.1898532397195 16.3543015844979 15.9148628073892 13.9986845180526 15.7875718417597 18.309055083663 17.9037054683041 17.1250058633242 14.8596525409142 18.7989461317586 16.4743230886343 16.0669129072501 17.9359030307546 17.3230310765196 21.6150119338875 16.5867842956976 15.4726529686069 18.6347521760891 18.298169763976 15.2035210495728 18.0724005260419 17.1001664376334 17.3674898092307 16.7353593319956 17.5913901842053 18.9771189358539 18.4054958885003 19.4043503358303 16.0916468021749 20.1788145643735 21.2429470396243 18.279773402801
TCGA-A7-A425 3 10.6230689606361 3 3 10.2834547509991 3 16.1969820588991 14.8952214486639 15.7696877285987 17.2877222066947 17.9263279464492 15.3598916654858 19.9308266874732 13.4309052745147 12.4485461958889 11.4220785297018 15.9030906759764 18.2339867675433 13.4031694055608 15.9324039166982 14.3966149017444 18.374957596749 20.9981870609062 19.7915867596486 15.6547181718645 15.8176343087685 15.6385787351894 17.1774874870685 17.6226854330842 18.2331393986663 16.6209970946801 17.410398641266 19.289202685981 15.9234885146496 16.025908961788 17.2821791463227 16.3420877675697 20.5871907577256 17.3503357731406 15.5301384519205 18.1724404706472 18.9340416354541 15.194560079488 19.0402064253347 15.8703877279847 18.1369647879458 15.5241057516493 18.1287209968098 18.9202761873885 17.6932213560824 18.8952339033799 15.531930516819 19.2354793129539 19.9852919436949 18.4199934561384
TCGA-AN-A0XO 9.53671259457362 3 3 13.3915712244404 8.98858103240754 3 10.7636544850103 17.0642516231085 11.5081355254321 17.1558188560961 19.8410843916697 10.1612421465355 11.3271629038948 17.3877351003373 12.465132540771 11.6723488800475 13.8730940258244 18.0348621101605 13.3538083444669 15.2472632455023 14.4711971450199 18.6081085535375 21.0135732389332 18.2803749454052 16.3166436424824 15.1389362534704 13.1367176948574 15.8995880050486 16.8765467309796 16.9902553312611 17.106443544935 14.1315959562803 17.7516140204269 13.6718592092652 14.5447487643667 18.6805400990956 16.7481416212631 22.6692886561504 16.848471278298 15.7686892573675 17.9008774671938 18.9026508119691 14.0880636103992 18.6307478289717 16.9614274713015 16.8943122281201 16.476785675626 18.1783693497758 19.2170342049203 18.5289924392934 19.7486487645775 16.1353526802543 19.8554745057299 21.0451301777587 18.5581792941473
