X5709 X51160 X5688 X23198 X1175 X3981 X8480 X9818 X51497 X5437 X5702 X5693 X5683 X5903 X6749 X6884 X375 X55746 X905 X6908 X2959 X7520
TCGA-C8-A130 20.8036610523984 18.3893635193454 22.2300477013008 18.7035779872788 20.8105398256737 15.2432666056577 17.6253929954434 17.2006733933716 17.4946897939851 19.0735283256139 20.4797828759142 21.211102245599 15.725175096276 17.2166980225712 20.0568056308977 18.9532707398115 22.3078488458357 17.867620114761 16.7047134124786 17.6716961930898 17.73370414689 20.4520256468821
TCGA-A8-A0AD 19.6343813537784 18.5474632845086 20.3349730529437 18.5576201398693 19.8676143999018 15.7114242896139 17.338715831456 16.4794409100797 17.6526908014584 18.0812856043972 19.8393306410909 19.8226692235721 15.1669144819555 19.1125077645901 19.2057793486884 18.8923161994217 21.6627802258338 18.2974615972921 17.0322099246288 17.2657796869503 18.0160547307635 20.7943092100021
TCGA-A2-A0YL 18.1916571939851 18.6088374490341 19.900033627225 17.915509100501 19.4387421134382 15.5360697826151 17.2654160733818 16.521312488043 18.2415196646247 17.9622682098431 19.490893588987 19.9640851767095 14.4981920843498 18.6162587289987 19.2329574806865 18.329100220855 21.4077050247956 18.5782404576696 17.0229052503985 17.3125527868348 18.1514926064464 20.9203445622095
TCGA-A8-A09G 20.6499233585373 18.7150838321533 20.9771563509859 19.2589307239396 19.583097521942 15.6630584340164 17.1261664214094 16.5484364257592 18.2698168518206 17.6792064832358 19.921966065852 20.6239076031616 15.0516859971808 18.5139557091935 19.1125100795376 19.5948406119101 22.4524568584778 18.5684049286536 17.0180269756138 17.2863337586936 17.3378883800565 20.2355311634319
TCGA-A2-A25E 20.2506526100803 19.4438078170391 21.4348866959286 18.4226955754956 19.9174908962255 17.0176982256702 18.4083373733953 16.6836979609322 19.3843763204242 18.6157700112365 19.7499390548598 21.3052738641537 15.7404470233015 18.3656843357088 19.1909406920155 18.5606146083319 22.4418039724475 18.0332109551747 17.1298383842281 17.2237275497355 18.3616782290006 21.088575937084
TCGA-LL-A73Y 18.5310815183731 20.0497269880346 20.6755392574367 17.6311089054653 19.6090134816186 16.7906611157203 17.4818082404964 16.6657953435062 18.2450949934404 18.1596368005684 20.2507060736826 19.9397236065629 14.6871090402364 18.3888789476993 18.8623072444269 19.0343957909728 21.9445075278522 18.122060671805 17.4935812411546 17.6612517926477 18.4488721811952 20.9518004024057
TCGA-AR-A1AK 19.9143641730516 19.478999646973 21.0644744649502 17.9431399665092 19.5574273366025 15.6976076662679 17.982382064376 16.220789594362 18.6150107692839 18.1241350736611 19.7563138321045 20.0647574451195 14.6129693745407 17.993922180851 19.0284407872361 18.0242317838741 21.8776261135792 18.2046882183564 16.4901696845617 17.4199952977399 18.0216338522157 20.2939418644146
TCGA-LL-A740 19.3895826114214 19.1809490622456 21.246914237825 18.2197524287812 20.8401032323004 16.0851809544767 16.8439968415873 16.5862806936736 19.0788107994291 18.3767438252056 20.2551634973836 21.0417944426728 15.4077832739787 18.6256736980887 18.9096700727884 19.4469300882917 21.8473152974275 17.3357313515837 16.3799793316732 16.877849322893 18.2787451351868 20.4018455345615
TCGA-A7-A425 19.2707864016784 19.9161371755944 20.8923544031104 17.5387356113539 20.6377895306404 15.4250397323737 17.3508829035792 16.0388401194247 18.6340183022558 18.3195661833704 20.5171650705446 20.172141250524 14.9321560986645 16.7510272288476 18.9764758324227 18.1996681297767 22.6696382053867 18.2482423558995 16.0356465324572 17.7604740799647 17.7228291756678 19.9626426626464
TCGA-AN-A0XO 19.3455886319534 19.1270579881039 20.6711464707771 18.0076334397547 20.240047303536 15.8297767517801 17.6385135319319 17.1787450628037 18.4568818585133 19.2047905189894 19.9152225008482 20.1346032596191 14.6711980717947 17.918592472807 19.3467188391063 18.6895378379174 22.6301763935787 18.9886374330487 17.0169849720866 17.3660318087695 17.6188543143709 20.8237120013528
TCGA-AC-A3W7 18.3787394495435 19.6714690217461 20.2294791568769 17.9510937810612 19.6747347054004 15.9283422962043 16.9834781741336 16.8375798655092 18.1475054286225 18.2286737810325 19.8850824401995 19.791703524737 14.656225903449 17.5701826481041 18.9216321460246 18.5993770727582 22.1438533964198 18.1010920965337 16.9242653301183 17.4351266304275 17.672621790357 20.0907229139708
TCGA-BH-A0H5 19.2476221186001 18.7998076357671 20.4921208730162 17.8758696269124 19.905531215841 16.2859790098071 17.1351691365072 16.7061924832642 18.2278413415384 17.8295225374251 19.9104032200407 20.0323712524736 14.8688041118123 18.0378883877179 19.2271557707399 18.6558948507381 21.6841135573249 18.1935480660939 16.5725409849897 17.2775730099268 18.274041566144 20.7375521439962
TCGA-C8-A1HL 20.6199715266452 19.040273562101 20.7126829192348 18.1220458032093 20.7099249304741 15.8178127544538 17.5497264479468 17.018322040302 18.5064730413272 19.2358083300969 20.3987328047363 20.8078605507581 15.886549742769 17.579692007909 18.4941914882628 19.1805366433864 23.135602229104 18.0687038686542 17.3466304353116 17.631048482884 18.1493305407933 21.0483953195151
TCGA-A2-A0YF 19.2059635215506 18.7710885214373 20.0441150909388 18.6858671172958 19.6355002785233 15.7315142737353 17.4918572907763 17.4237927937063 18.0515038904562 18.277373003919 19.0364007300816 19.6998274652793 15.594792042893 18.1954701003413 18.9014986730577 18.5639740596387 21.2846072503951 17.549294854581 17.0895314469478 17.4787730931523 18.6983270699662 20.9428211360583
TCGA-E2-A15J 19.2788038512636 19.5426461088115 20.3696128571222 18.3858871045482 19.750269307529 16.7187136859061 17.3482588898225 17.1097870918095 18.1388065377667 18.639943612091 19.5832287460712 20.7034643732202 14.7554598720183 18.0131078644483 19.7479921161349 18.6963311016806 22.3672107268539 18.8884988886537 16.6832857832011 17.3606121613193 18.1022391997839 20.8599777146733
TCGA-BH-A0BW 20.3461935063579 18.7614861884889 21.6573194860338 19.973745458748 19.0254484139719 16.6800490845056 17.1897602523918 17.1851087244566 18.4550896931114 17.6327816090786 19.9873013729846 19.9634567580889 15.0331890341422 18.5486905905722 19.4305540465286 19.2904543569011 21.4179073205548 17.6072406970694 16.9320279317459 16.8558047198266 18.071611883972 20.7059512178844
TCGA-A1-A0SJ 19.7644085824822 19.6044994979114 22.9160342088933 17.7447967163343 19.611175603926 15.7396511285952 19.2905725298797 17.2862095329984 19.2100840206002 17.6889542228015 19.9830388765798 20.3180812837594 15.4428626189581 17.9091688948553 18.7910395392008 17.9884262273553 22.7448096267184 18.5036660278698 16.5682081735194 17.458919138028 18.3215692778838 20.7751468469613
TCGA-A2-A0EY 20.4479732456347 19.7111105320587 21.022511690889 19.4655631141478 20.7944147975748 17.1584488715304 17.4194501951141 17.5093939270201 18.7708763085393 18.7070381842531 19.6387920595696 21.6948661543143 15.321980126255 17.6151709978967 19.5866257327383 18.5916835351755 22.3336809202204 18.0979324727507 16.7601033825843 17.6944158191926 17.5615912075403 20.9520655106081
TCGA-A8-A07R 19.9542414271209 19.2202168854887 22.1891330764662 19.6309280524436 20.7190109911441 17.3712867641678 18.4374509484598 16.3083772150173 19.1524102884933 20.1579158843929 20.1686779989719 21.0830297591591 15.2808078675902 18.4115070758459 20.736869998939 19.312041127753 23.2914008180418 19.367531739583 15.7365411038578 16.6790162489485 17.644207171779 21.2013561321085
