X4852 X7200 X5473 X4161 X5196 X6366 X2925 X4160 X8484 X2532 X6363 X6360 X185 X6019 X6869 X2587 X2151 X3576 X1524 X554 X1910 X187 X2149 X351
TCGA-A8-A0AD 9.01412425072591 13.2475970844437 10.9477030992986 9.48851955408794 3 12.9883565602439 11.8351001964681 9.73508132768494 3 13.6572694943784 13.4079011088791 3 14.4060909796246 14.1046302927641 10.641898363981 7.57050058508774 15.1010653920054 14.5336448307076 18.8116160273897 11.3047419853859 14.9902364744758 16.2445780048448 18.1393489251781 22.1329411809543
TCGA-A2-A0YL 9.51136874772423 10.7214774666373 3 8.998938923588 3 20.4734202325996 19.4763673810912 3 8.20597613705272 18.7010052669861 19.1638889842726 11.386013805331 15.992286989425 14.3088231177892 14.6625036357203 5.33178253608893 19.8600306519615 14.7465164621492 16.9363672920447 14.0399137584287 16.1224020882186 18.1758187973491 20.2480514558465 22.4019726525306
TCGA-A8-A09G 3 3 3 8.91190088861803 3 17.0641736099851 9.93720615934584 3 3 16.4184735247732 18.872691911182 8.5177150624981 11.8506984950314 10.2657219596327 11.9274678876072 6.10243175796887 17.3809204809935 12.3531788964509 15.7132402375187 12.5248626990087 15.6972409149885 18.1546469083075 18.3338148224468 22.4247612577892
TCGA-A2-A25E 3 13.7871964121792 3 9.52762599857527 3 18.076366759513 15.5696874558952 3 3 16.4698462941924 18.3727646188214 8.55607330949705 19.139804259911 13.9966649287069 11.9222871152341 3 18.861747090269 15.3904426994944 13.5353953120295 12.2596066797072 15.4217398544538 17.9196142934222 19.2227505943406 21.3914393169293
TCGA-LL-A73Y 15.5926473706893 9.83557514090845 9.98045726157454 3 9.23170802500014 18.9522069844384 10.3533535842425 10.0812353288041 8.31140988056828 17.777962828891 19.7841934890562 8.71042146449718 13.7643894753778 13.1767554063581 12.5217412804079 3 18.6216280035682 13.7924366752316 14.9818097020036 12.8834287540713 16.5706697327234 18.5474675734514 19.5254763191692 22.3919876451743
TCGA-AR-A1AK 3 14.7323458531324 3 8.26595349717547 3 18.6358664639843 18.3477943507567 11.218891382543 3 19.6038589535233 19.8269983109599 11.4152959060047 19.8335979955249 14.7828176600698 15.5334593083337 3 18.6848167937797 13.7295212727369 18.1001898468934 14.0564509110276 16.5949775914389 18.6815488831697 19.6768699833971 21.4330186340164
TCGA-LL-A740 12.5635906689341 9.36109460203522 10.8178715952564 11.154405641715 11.060273338309 19.1174912762487 10.6094246695939 8.05033661658474 9.54763236675096 16.5659751939074 17.1234188287873 9.54065922254016 13.4047545056384 10.7174276426977 10.9839140259793 6.51057167426321 17.9808847565625 16.528949566831 16.4350174971188 12.2310846011843 15.6262357858093 18.6684138245663 19.306701306271 21.6150119338875
TCGA-A7-A425 10.259917956964 12.5646487985517 10.6230689606361 3 10.2834547509991 18.753603317273 16.3539569794196 3 3 19.9545945240469 18.9428669456493 13.0311664295478 14.5172035057842 14.5509299050213 14.565357334529 6.86955481703946 17.2877222066947 12.4510780630581 17.0563764631495 15.8891303830058 15.5429926832069 17.7233895336794 18.374957596749 20.5871907577256
TCGA-AN-A0XO 3 8.86420158786354 3 7.88734966610768 8.98858103240754 15.3526105430369 19.3477784592086 3 8.07146679219746 12.0245478725438 14.029268136423 9.77109735874478 15.7070438117396 15.7238286594319 11.2272706748953 3 17.1558188560961 14.1622212886599 14.3289908619475 10.2599772235193 14.5674489002004 16.4275991872249 18.6081085535375 22.6692886561504
TCGA-AC-A3W7 8.37300812776226 11.0478161986794 10.2971909914762 7.86874670460301 3 18.0863350320131 16.5097168629565 7.54578160727748 9.60847660771531 18.5261096578556 17.5344005786427 11.9431375072808 13.976088879333 11.7753406517526 13.7717005859933 5.20681128382618 18.4760842801038 13.8290184757027 16.9370396649631 14.6691244517013 14.4327603583372 18.2464403973784 18.9051848995798 21.7792399467003
TCGA-BH-A0H5 9.72968040833726 17.5410913372258 3 8.23556704320507 3 19.9728490525032 14.7159602583339 12.1114450498042 3 19.0537050383738 22.5083257157331 10.6096556608989 14.6449779644507 13.972046304433 14.6242122362715 7.61490376207265 17.9857149287427 11.6635527682103 15.0586789775719 13.7258591028472 16.7102327868012 16.5041170690735 19.1513697418374 21.428136163544
TCGA-C8-A1HL 3 22.3426157113743 11.2045150134562 3 3 15.6372478092327 13.1840561919949 3 9.93214229968757 15.7002362207361 14.7804945452247 10.3372181161923 12.9188643940812 12.7784245341279 10.4313227299427 3 18.8808703151759 14.0753881626266 13.7694186662062 12.0631406232274 16.3517391465454 19.6609579235722 19.7850110463093 21.4372204087651
TCGA-A2-A0YF 3 17.8195148684228 10.2203836030155 12.2030728555795 3 15.1387275579592 12.0040436965313 3 3 17.1940053151495 16.2406014835384 10.6683668016519 20.8758332917423 14.569675886192 13.5483058686804 3 16.4315063468731 14.731708376323 19.1480109623032 12.1564941117942 16.0411459104129 18.091643378495 18.4316016708606 21.0291357183451
TCGA-E2-A15J 3 9.16804417190836 3 3 3 12.1229764199224 14.9657495056804 7.86104796548015 3 14.1595456268917 14.3377554699079 7.79735865270892 18.4603607479733 12.282812738284 10.7305227810064 6.33323911893376 14.6399486583809 16.4439659607769 15.9968969222737 7.45648390710685 14.3763186242159 16.3382794028086 16.9049464984517 21.8078922747815
TCGA-BH-A0BW 3 8.54632187811261 9.99450071557706 3 9.24567558241126 16.8031179006803 12.507483845449 3 8.32521011981196 16.0901530969426 17.0381821011611 7.75134146864372 10.5161568415123 12.7907552224005 13.231740459023 3 16.0546941792952 15.5089293067925 14.1137527135534 10.3503348898162 16.9942602699178 16.6110263752398 17.7805198818299 23.3324932068115
TCGA-A1-A0SJ 8.74019801114965 13.0709565033196 12.2505058398203 3 3 19.1059557533549 13.454755534961 9.45928928100177 3 19.3039636779089 19.2813117926319 12.1866207918225 15.7269176519507 14.218223190365 14.4009098006583 3 18.1811582062326 14.5793896911744 13.7364271639058 14.3559486696954 17.892192360306 17.0811356169427 19.2895941291452 23.1089707287237
TCGA-A2-A0EY 3 11.2503654236303 10.0243328290737 3 10.8478406931963 17.0821329210765 11.832465223585 7.84396346680395 8.3545332361926 17.7308946664575 18.9714093992576 10.7336169224507 12.4055189321065 12.9317002482393 14.845960085347 3 16.5197419027295 14.2753099018801 14.4736398148822 12.6952015882578 14.3279432735076 18.4307162622984 18.2224696232333 21.0958759574007
TCGA-A8-A07R 3 9.35390258666476 3 3 3 14.1353143760772 12.129809859327 3 3 9.58275074930051 11.2738426632317 7.5794390343769 10.9870690861852 15.223999503821 15.9702010476316 5.28664969492638 15.1463546165425 13.3455282543329 11.811094043993 10.1725427605361 13.9078763247317 13.3017178379319 17.1823616583709 21.6478544850968
TCGA-BH-A18G 3 3 3 3 10.2401622810275 10.6245727645329 10.5630047718154 3 10.301990938639 3 11.4562977301163 8.72828213835821 13.3784600073062 3 3 3 14.065943618944 16.7692905828396 16.3749397884578 8.38057099756574 14.5175885663533 14.8010185385694 17.1072138167711 22.7258147608319
TCGA-BH-A0BR 3 3 10.8904275036533 9.43165962275049 3 17.8453507151278 12.5133655674576 3 3 16.9058825673725 17.6265408422129 10.0241140717463 14.1158114822597 3 13.7209566823617 6.57719392027021 17.2891536537603 15.0398884209689 14.1060416819141 11.9086292051512 14.8991937838801 18.5978982242306 19.6902029528658 22.5154581837953
TCGA-A8-A06N 3 14.8363764905033 11.8066643273692 9.79446825144471 9.60232716835793 3 16.2432349384556 3 3 11.7887826918502 10.8154173754386 3 22.0906012176172 15.3073191454367 8.65078434093556 3 10.7328884565426 12.5835623105604 14.6199660662912 8.32377299848614 15.4576443994552 16.1228245136972 17.9823889091639 21.6399690206221
TCGA-AO-A03M 3 8.20619531517566 9.64905081758075 3 9.89021212359982 18.9900424381314 16.7990566018135 8.44767186033996 7.98647209865016 17.7635408873404 19.2417204428227 3 12.6579285562064 14.8524035850721 13.8980247426057 3 18.5992721213978 12.2157424569983 15.0852104433686 12.6385955396914 14.8109003169639 17.3218948029063 18.9157502258793 21.3827072319951
TCGA-A8-A09X 3 9.78079759997817 3 3 10.4871029249619 17.5310915778924 13.3898445129037 3 9.55667820569639 17.1489086792955 18.9182126386816 10.9550849214964 11.9105988751752 9.99409604083752 12.8685971211064 7.06130329220839 16.5247407770173 13.8526098684497 14.5964995527538 12.5500910287462 14.893682240357 19.1583204402611 18.4829682685267 21.3087544053636
TCGA-E2-A1LS 12.1824160143551 8.11927694862896 9.56055472797366 3 9.80157463088506 13.1764862887411 11.1185510213489 11.912774441094 8.87559879433357 15.1964591909588 17.2956538061324 9.27752211051476 10.9691544688135 13.7525466240038 12.5856516515258 8.06253059849567 17.1858684730204 13.0867522312584 15.2896527065079 12.2981242940252 16.5362631962312 16.8937416894167 17.9301826625567 25.0005181835954
TCGA-AC-A5XS 3 10.2726638726584 3 3 10.6599485412069 19.1493035883234 15.3956849702768 3 11.7184580216632 20.8397807274512 20.1310057366091 12.2129138394838 15.5661896697887 14.3534412001973 13.605638498578 8.18612964254348 18.2737254721603 14.454945112527 16.2281243045403 15.0254612706439 16.2595988533394 18.5388814150336 18.8399415491077 20.9156125366169
TCGA-AC-A23E 10.4303522634995 11.1317024910629 8.81311254452682 11.7134948231865 3 8.45064406183344 14.977793359015 11.740151364655 3 10.5583340035238 12.3698723477591 7.5631915172081 16.7812059059785 17.0342434983947 11.5427984103564 7.58515909504072 16.1712638884788 16.5104457588445 18.0840101082706 8.75742809661638 16.290301931727 16.3968712989966 18.8168701334378 22.2370355084655
TCGA-A8-A06Y 3 9.82158586289313 3 3 3 10.4998075517655 19.8995797790174 3 3 14.3770653735789 12.9656287949017 3 13.4050142283542 15.3817138365645 11.9421732711214 6.5565282649601 15.6876729359939 12.2538058822349 13.9460446814719 12.8845808390747 15.782209192334 17.5832245120502 17.394069054508 22.2241478795346
TCGA-BH-A0H3 3 11.3519195468064 9.82827633507087 3 10.0696987304443 20.074486383709 18.8964505068881 8.62469126438261 3 19.2148806274233 18.9435034382033 10.994240309383 15.9846707170038 13.4381235799063 13.8725081278461 7.05652578998541 18.9621039717311 15.5769959659994 16.7517915657324 14.1631629572973 15.7606729442464 18.8062374662294 19.3885971379485 22.5351191943043
TCGA-AR-A2LJ 10.5196666429236 13.9333137573325 3 3 10.5432286987815 20.6720053500302 11.9506222935687 3 11.4093095418035 20.1143301157225 20.5552790184531 11.4692020063813 14.7449658471307 14.4770799283177 14.0730205714598 5.68710694671308 17.6228200882272 13.4818517059664 16.6696521133271 15.8937668209642 15.7838325617131 17.9427334597389 18.2733643306803 21.1464434971342
TCGA-A8-A06U 10.8136969700572 14.4599007074544 3 9.30635106302034 3 17.2120455867821 18.0319040075209 7.99802251037948 3 15.2363887889003 17.1921853098305 3 15.1943740584868 13.1938687977027 11.898111992535 3 16.6113104868904 14.3742194462696 14.5402556583345 10.5386330657305 14.8667934701333 17.0775309668879 17.7438037053139 20.7385687594261
TCGA-D8-A1X6 3 13.2405481440493 3 13.1290031640973 3 11.5756842851251 14.1312394176731 7.46633271816331 3 14.356600312644 14.4312080951741 9.930374286515 17.4644450843517 16.8669518415265 9.98711112626904 5.14211703274692 15.7506735922942 12.0826488214114 19.0535790297155 11.2309815128953 13.9087554398697 17.1901214981637 17.3803492441109 20.8897970048146
TCGA-A7-A6VY 3 7.56677900162141 11.2991255534883 8.12988948611518 3 16.6688602853655 10.136027964297 9.35493353176831 3 11.5055575481445 14.7357047152498 7.74120179236124 12.1523363915163 14.1797534090529 12.6214482748784 5.42212284694366 14.2888427385506 18.686044211665 12.9600528356615 11.8576099293573 12.7790159483699 15.5667359006651 17.3199537838372 22.7439305967144
TCGA-E2-A15O 3 13.927420335389 9.22430844927085 3 3 15.8904049265987 17.3161466311016 3 3 16.1818224309348 17.2091082096279 9.51927419115839 11.5702958913085 15.1088030468009 11.4866813506786 3 16.9793722597584 15.730634103131 14.4735850472143 11.9584271954588 13.5955402688338 17.3617310054923 18.2794652666132 21.5374333030529
TCGA-A2-A0CY 3 15.9507326580782 3 3 3 3 13.19541271493 9.61310515599536 11.4503495876533 3 9.71251593871116 8.56312191577392 8.56717653601348 12.7897778973683 12.0990697967829 3 12.314047939931 20.0627217173531 11.1702652037896 12.7636126626979 13.2387312047439 15.6518061534283 15.754222117604 22.6009700876558
TCGA-OL-A6VO 10.5706922832324 8.49271603154465 3 12.0465495373335 3 15.3400298326927 9.10261464879422 3 9.25300891337995 15.5892538054401 19.0551318694215 7.69861318385858 10.7403242280963 11.6789555997415 13.4381079251641 6.24118429609777 13.3115605528127 16.9717411320289 12.1006773646188 12.1471937694792 13.4140730944954 17.3543362034984 16.6020146597475 21.0607477485617
TCGA-A2-A0CL 8.66862198735056 12.2400348647619 10.0164213303592 3 9.26747918814635 20.0921630345135 19.6195117574106 3 8.34675571746415 18.8672550392045 21.5439247903338 9.32195914144977 13.6307925633809 13.5945599743475 13.8687406034538 6.31013659782048 19.6039813633834 13.8445968854571 15.2700559447713 13.2227480295303 16.6527806298466 17.9153725309232 20.6378372890135 20.8918768157304
TCGA-AR-A0TQ 3 23.088499527235 3 8.7755341694532 3 18.0498391891599 12.0117911024682 8.44657070764371 10.9449694752376 18.2844758631775 19.6095759481822 10.5248717103155 13.3065697810849 15.4682839066006 13.786534543138 7.65101070208736 18.9951502587484 14.4242162250472 13.6114597131099 13.6220735839397 15.8978602944692 18.3515308520341 19.1805053128111 21.9359025501213
TCGA-E2-A573 15.3142352098171 10.3619981549354 12.9381773536187 3 9.49573709430218 19.8176139131143 11.3936868734805 9.03801768968172 11.1320070517511 15.9817351415226 19.663203322031 3 11.9112195683448 13.2069696590487 12.0193213966076 3 14.0836829129885 16.1408561353806 14.6707551999123 12.5034705897185 12.8872752714984 17.9928044207252 17.142378960772 22.2326441193269
TCGA-A2-A0CW 11.5388085681437 14.0957791805715 3 9.44732469574723 3 15.3718069747156 14.3757777107945 7.57185691121163 3 16.1026681730462 17.477627724277 7.50868254370125 12.5996221534824 12.6490698986994 11.7721448582124 3 17.0145012913813 11.5883550227712 13.0216456024736 11.9494838621348 14.2201231554953 17.4829804031707 17.4795235761544 20.4389206511542
TCGA-AC-A3EH 8.6947180091119 7.62356714051441 3 3 3 18.4334215925271 17.7997340628912 3 3 17.2597020189646 14.3047656055168 8.7721083307234 14.6629406666304 13.282598001807 11.8976115923516 3 18.3270964266926 12.4091496692268 16.7265861776859 12.713820881577 13.4421081931321 17.031546261567 18.2682834795768 22.5336407588473
