X8823 X2253 X2264 X8395 X2247 X2252 X29895 X3655 X80310 X9459 X22800 X2149 X8503 X5154 X5155 X5499 X6548 X5829 X10163 X10152 X1399 X369 X998
TCGA-BH-A0H5 9.47608952655981 3 16.5018683425517 15.6032361740651 15.0098517120757 15.3364078547957 11.2471961142014 18.8052675221473 16.7724715037753 18.7757912080065 16.6503350832996 19.1513697418374 18.0713140081785 15.8084800782531 17.4335980057387 20.3372993226339 18.2549481697365 18.1887081953467 19.7371914933954 15.6994446029395 18.7858458215311 18.9177154323129 20.9732023944122
TCGA-C8-A1HL 10.9988163524618 8.67075621489069 13.9364961320681 15.5810252586224 13.8141927100315 14.740514096925 10.9742072574366 19.2960005078211 17.1133452573653 16.3368758793501 15.1823325605028 19.7850110463093 18.0463770265701 17.6076738622403 18.7382319122991 22.0042329598534 18.4273695723799 18.7841027969267 18.9315939318157 15.9997675641779 18.3234018486431 18.7362977275138 21.1516257761699
TCGA-A2-A0YF 10.2362188312497 8.68160053427282 15.2057006410358 16.5153218512461 13.3712826520105 13.6651337326612 9.990906408919 19.5879461071131 16.7811152461209 17.4669547964292 15.6850149424736 18.4316016708606 16.8894284879694 15.7214791950331 18.0698587297607 20.5913693707682 17.8499274210061 17.7229791461702 18.7571186392652 16.0479036773529 18.7103635801785 18.9791453839167 20.5280865315022
TCGA-E2-A15J 12.9957923735342 3 14.3998505761096 14.3155033418939 11.1493410770767 13.0422351132601 10.9754159721452 16.21327863914 15.8593713591385 17.5763668359409 16.4955962192478 16.9049464984517 18.1480861108403 15.9324371935282 17.5404985646571 20.1334172487022 18.4849388781707 18.0345390070548 19.7363073819827 15.8706009650674 18.8819354737256 18.8179916071712 20.330341691305
TCGA-BH-A0BW 10.3703990271831 3 13.900612920955 15.3229005610139 17.735109483243 12.6487264574101 10.9278463719409 19.9385484199221 17.86728923201 17.5122076364565 17.7190884378771 17.7805198818299 17.3229257035192 16.4902177334695 17.7160887833753 19.7167703092467 17.495588847945 19.1349917120659 19.1667296951925 16.1770258688271 19.1598674980874 18.3401501054929 20.658558015139
TCGA-A1-A0SJ 10.2035090348691 3 15.3915477631712 12.9980049270801 15.8186226512217 15.2368627054418 12.0197600003681 18.4056578067459 17.5921739229065 18.591971988634 17.4601798748627 19.2895941291452 16.9069696267214 16.806482235425 18.6550398220397 19.9783805724465 18.2029185088673 17.5818103188823 19.5148444271278 16.0413878286254 19.4846695781263 18.2268521225554 21.3092771012199
TCGA-A2-A0EY 12.3325579722855 3 16.8796457158932 16.3371988258489 13.2937134735027 14.9746180790667 12.0701388728374 17.9763398662776 15.2114299727398 16.4068358187489 15.9164846069263 18.2224696232333 16.9441919508511 14.8025971198061 17.7442180194982 20.5182418162607 17.9040414216195 18.2505108563908 19.0612295971731 15.222558262098 19.030100102825 19.3579082384159 20.4976186838905
TCGA-A8-A07R 9.93152754065144 8.85679469180239 16.7262995310471 12.4998536341978 16.9710480621781 13.9303611062304 9.17805161135776 21.5009853735298 14.8460913618902 15.937304830453 17.3072057925487 17.1823616583709 16.9366279223237 15.2810493409471 17.8416726280216 20.7661221611752 18.1572819100116 18.4320988710731 19.5059916103621 15.8580322720681 19.7870123810117 19.193082477587 21.148523721311
TCGA-BH-A18G 11.3700719309095 3 14.5357506862539 15.9126829041226 14.7264068569745 14.2283692825638 13.3421102366345 20.8666797348049 15.4873912935789 16.5973282252667 17.9064642543331 17.1072138167711 16.7711849824727 17.2013701094684 17.7532762132952 20.8348468793234 17.9744045247575 18.2207850744285 19.0634343631929 15.1065642605879 18.3560763163167 18.0158150151057 20.912522624948
TCGA-BH-A0BR 14.2020580224695 3 14.9449080328493 13.8400307036538 13.4485163518738 15.652491651383 12.5619775830102 18.5420392832425 16.4488503053329 16.9681772445144 15.8794772573126 19.6902029528658 19.0014146822174 16.6043943350741 18.0213078367865 20.4701525385145 19.0190955609289 19.2111620933491 20.312457270149 15.6079485237865 18.1571150380174 18.6532548596773 20.9936830807148
TCGA-A8-A06N 3 7.43957404708683 19.5026986152666 10.0324450073457 10.9385841079683 8.33136008190792 10.7047443695898 17.4328228137806 15.0482498897232 17.8283207089167 15.7234371056094 17.9823889091639 16.3238364013209 14.3655310696567 18.7902993430601 20.0524986666517 19.1032192779989 16.9296534638268 19.2198365225144 16.0536857204236 19.8059733484683 19.3968427616226 20.8758095179843
TCGA-AO-A03M 8.46127672857128 3 17.1292732352965 13.7421328373815 14.1886775656569 14.0993988764406 12.2387262619826 17.9420174058772 16.1413738123561 16.9259632920554 16.8212747211786 18.9157502258793 17.4533482123208 16.8720431232377 19.349839911488 20.3770270010143 18.7870249636137 19.4572346615155 19.6063941475628 16.1259944639595 19.4875129084207 18.6070964920907 21.5063930168774
TCGA-A8-A09X 12.2015708758438 3 21.2464685635718 14.0689693016526 12.1837460257375 15.0199497519354 11.1793971230561 17.2170420555777 16.6072583561773 17.1719302165108 16.3605510992713 18.4829682685267 17.3103732544935 16.4022373867429 17.5505486749649 20.6424976267198 17.459584038012 19.1871005036111 19.1561352387884 14.708756194117 18.8397444338072 18.7668144998564 20.9747585832718
TCGA-E2-A1LS 8.37395406327461 3 12.3766138847416 17.3631134201463 15.0495161296877 13.0419463570395 14.9217335306867 21.5283487075933 17.4175344580809 19.9113824707331 17.8047853838523 17.9301826625567 16.1513140861844 16.7593930168521 17.0540542085437 19.7555339883835 17.6443246934716 17.4787809426002 20.1756419609959 16.3136145786548 19.2647597443856 17.8551719493162 20.8420045878725
TCGA-AC-A5XS 12.7282157194057 3 15.1538558910435 16.7228498380481 15.2396367044282 14.2355382459897 10.3569975581143 18.0254728626632 16.644823820363 16.4160070542502 16.0831775967913 18.8399415491077 17.7545293694007 16.3150439740775 18.2335075040016 20.9077429813934 17.7923036683313 18.1808898253779 18.4205761462722 15.0707014210556 17.811894494204 19.1613806502543 20.2702162948183
TCGA-AC-A23E 13.1366419182592 3 14.1716893835288 12.8141236465883 13.8612044098167 17.1790060724939 11.315487635698 19.5218026423879 17.655423741141 16.7558971112145 16.3436618929767 18.8168701334378 17.0623786655485 16.98372979892 17.9477140731012 19.7892370834061 18.6608374227864 17.528330268056 19.9687681653775 16.0985185101777 18.951174132728 18.9791514607783 21.1093398152091
TCGA-A8-A06Y 3 9.32244262989332 13.5220737775609 9.10088187885297 19.2278330494147 11.2720725102263 13.0243101964403 17.360100242762 18.2132049316913 15.7529683167103 16.9283864946251 17.394069054508 17.7557298448163 15.9969222119558 16.8775635060624 20.1051275076488 18.5216356841199 19.0645008935666 18.8278528113112 15.6964577893447 18.0089801857735 19.125944871732 20.1343750132456
TCGA-BH-A0H3 14.0854710139128 3 13.7330882669787 13.2920068278834 14.7138551998576 16.0356310439408 10.982400426559 18.5783832288005 18.1274391244018 18.1796788612508 16.4611892105601 19.3885971379485 17.9444463297509 16.8037023055768 17.6890198487294 19.4328587685118 18.5442389047687 18.1554522553102 19.7680006367382 16.4523836783004 18.8046702074184 18.4878560846383 20.8854298074233
TCGA-AR-A2LJ 12.3357896454662 8.35526001819436 17.3803580085204 13.1977515025622 14.0429102207833 15.15302319579 13.691150722696 16.6072671793916 16.9259738434043 17.8023482066232 16.1903227912891 18.2733643306803 18.2930164563181 16.4218778451092 17.7978949218036 21.1299936346227 18.496507007094 18.1882694581915 19.2772933688183 15.617845281044 18.107880102157 19.397646418546 20.8804196980243
TCGA-A8-A06U 11.2926137752378 3 15.0501543462247 10.9811551034984 17.3271363237564 12.1460445100932 11.1165035645457 18.5955367283606 15.4538975835323 15.6965317631982 16.1103095736226 17.7438037053139 17.6916671797441 15.8201593015092 16.8925655959527 20.6549997121887 18.7794212628416 18.9186561632513 18.9039365849059 15.5272355939134 18.8633292037503 19.6097885475039 20.9581039335807
TCGA-D8-A1X6 9.43029516921871 3 13.2662616182959 10.5460429362465 11.467258778884 14.4676612435254 12.4352417467068 16.5044607627396 15.3241029086342 19.0928552712136 12.3045640132388 17.3803492441109 18.7680261357404 15.1569332072174 17.9240034534215 19.8121657992823 18.2760207583831 18.301959195815 19.5864522658003 15.7540439161264 18.8582454320748 18.5547477068819 20.6700866150636
TCGA-A7-A6VY 10.5810680611727 8.04450084871105 13.5753984264264 13.5490685807937 16.0323570898238 12.9839968964473 14.4144065370765 18.9095416850355 15.2878133586811 16.4745769523889 16.2802357032649 17.3199537838372 17.2435328723051 17.6700389154478 17.6597135487692 20.9599798654921 17.6459631495724 18.8211926570912 19.1577595918831 15.3477376643665 18.4443823658102 18.8715100672283 19.9987179782398
TCGA-E2-A15O 10.5908963712212 3 13.0355105449659 13.4682383752027 13.7030089867436 13.2909578278821 13.2603036797723 18.7755593439696 14.9637648387486 17.9417419769584 16.788017270596 18.2794652666132 18.4338071834729 16.3150382896272 16.9835471232778 21.9523439272144 17.9731561227654 18.2044189955191 18.3944097562319 16.3090415262303 18.2407368310638 18.5922675096579 19.7409939501579
TCGA-A2-A0CY 10.6195686334453 10.4394629057197 16.2701159062817 13.3596348090764 12.409472122323 13.3952953186879 14.6647674853099 16.5399448319998 16.216362218287 14.6937937551184 17.4996331968416 15.754222117604 17.5625845080791 15.1519028452227 20.3144067968674 21.2668192566138 18.0958739649399 18.6872846244547 19.4887019965026 16.2804967233925 18.609303021335 19.4613530076489 20.9845937352628
TCGA-OL-A6VO 8.74896950326973 3 14.9803441409528 12.2571689391304 12.5315763332828 13.6052286312926 11.0947883092696 20.5133601010972 13.8913911513529 15.8983809771118 17.5694549271902 16.6020146597475 16.9014910574795 14.6440139499673 16.4462588767367 20.7533114032148 17.6251885600179 16.8154654890606 19.8178328349377 15.6064759705765 18.5199480433202 18.6342514403919 20.9304623143099
TCGA-A2-A0CL 8.82446960672111 10.3634505503713 17.6278771035809 13.537032257679 15.1600877340183 16.2096457682953 10.687980995298 18.1444607985474 17.392051482432 18.3542213896125 15.3035404201979 20.6378372890135 16.8624939817736 16.4279236413577 18.7336346968273 20.6748885457357 18.3811182738504 18.7816604384034 19.4841237771625 15.9430409862321 18.7771573159487 18.7975969246184 20.6490138333588
TCGA-AR-A0TQ 10.6043834392889 3 19.6190379520128 14.6430341084144 13.833005439269 14.8517215587799 11.5760295644221 17.9303856840261 16.0153347935802 16.6437976586328 16.5821374203328 19.1805053128111 17.3938696707535 15.9742630571476 19.9801696006553 20.5580251726141 18.5750445682326 19.5688070618119 19.0519061959149 16.2311744319835 18.8769249373176 18.3449726207499 20.6393680035503
TCGA-E2-A573 10.0408139219835 12.6578709200339 15.2978271760042 13.584432652392 14.7573489040261 15.1851372764537 10.9179771023386 18.9965710561601 14.2598987725687 16.0779596399911 17.3209535941208 17.142378960772 17.4539269825157 16.4370448813521 17.7069523738586 20.753293765308 17.5399670056792 17.938938508076 19.2444284736073 15.896981806359 18.1994612552401 18.6370955779744 20.7932650791447
TCGA-A2-A0CW 3 3 17.016978193307 15.2362119502281 11.1635170967714 13.7070202524877 12.7296186943426 17.4174098286896 15.2384952547612 16.3055326564604 16.0265508998625 17.4795235761544 17.1398768366084 16.3452367967385 18.8912066740465 21.0375480099261 18.073556044845 18.8936197454892 17.584199576467 15.0085078913587 18.4785051792098 18.3247092520588 20.0973579292257
TCGA-AC-A3EH 11.5297468573128 9.08082226365799 18.105507072415 10.84106067758 12.3444531796621 12.6221788631787 12.8466535932437 16.1978241941578 15.062647917244 15.9747670762927 15.8582403323084 18.2682834795768 17.4152215581469 15.5767905530826 17.8953613446699 20.6265926629101 18.5579115823424 18.8748075872635 18.7138940344827 16.0682619805495 18.9849010193107 19.4606679999026 19.7622220279
TCGA-A2-A3XX 8.80623457929921 9.0363208720361 16.4599072879301 14.2386334548205 12.268367398284 13.9828450134357 11.6659593562775 18.4797195712547 15.6697657411853 18.1142126408549 16.1307373132231 17.7523398859676 17.3849275402235 16.2405380465419 17.7034105240429 20.2664520676186 17.7486012192646 17.3714584889037 19.1830149859298 15.4006823140091 18.4104551427059 18.8380305061803 20.5447161187265
TCGA-AO-A1KQ 12.5911211183267 3 15.2340622039551 10.0247656721031 12.1862413304882 14.9487671156976 12.8291641562412 17.0219090276893 15.7949518382958 15.949912166835 15.2022431746816 18.0416990352058 16.5634463738192 15.6195522477613 18.4710202076639 21.0918219100776 17.7725371698092 18.0568177099776 18.495122379623 15.9897869099501 18.3534732948246 18.766620801932 20.3750215550077
TCGA-BH-A0HN 8.40841410392621 8.63727111672841 14.1563297287751 10.7122200217825 10.5917100722997 8.71136204134512 12.9357688184353 17.2821333844972 16.8062381926236 14.6686202215838 16.3283857372716 16.2227928992674 17.4362158358674 16.3308985466073 16.9031593657736 20.6029481385155 19.531843536343 18.1664468993409 18.4654909490016 15.5539769635702 18.3450909662527 19.3161294601715 20.4506761285252
TCGA-AR-A1AR 11.5945458002687 9.51865309293238 12.9784409317934 12.2035187626544 14.0678483935565 16.8000909434258 9.84176942957691 17.1126123830139 16.8351994370499 17.8221193539644 18.5417059107071 18.6636450787079 18.425875509565 15.5473075989812 16.7851008849732 20.0100417027356 17.5143586110413 17.3902155828774 20.103203537114 16.1845728225167 18.8542776183458 18.510073941296 21.3301153764817
TCGA-AO-A0JD 7.95005746124034 10.1467814178749 12.7473520713865 11.4603925481609 13.8256557366287 12.6601759479674 10.0586945664408 16.8459503213498 15.1361425221487 17.3704069590902 17.0935204894454 17.2766170032875 17.2274771150798 15.4575735592623 16.3158755740585 22.2183887017211 18.5259406139373 17.9175252176947 19.1622259941184 15.6689024398291 18.5761885870435 18.7594084766572 21.0312941321423
TCGA-A7-A0CG 10.9286227179823 3 16.7669246921005 15.8471251617036 17.1102232709326 16.2558357785955 11.9453063926842 19.2379237914928 18.3009191501705 17.748210020494 16.4101065042585 19.3503331020908 17.8303744196356 16.5861670184811 17.2963530235879 20.2304402490555 18.5434874565189 17.9363519325166 19.907752658187 16.0640434390371 18.7076274118424 18.8139285944399 21.0541740025224
TCGA-A2-A0T4 14.3830022467698 3 13.8650041553652 13.1258882727628 14.98137325238 15.5215200060032 12.6433535315286 18.799447345002 18.0871963814653 18.3250919712807 16.0128587648074 18.9331803709463 17.2301564826369 16.4568005034076 17.7018901914459 20.8431312544846 18.0013032010139 18.1658325046167 18.9966181891641 16.2970763878828 18.4826327085717 18.6665741386838 20.7014038616473
TCGA-B6-A400 8.5378890334075 9.75387791276638 16.4532221689495 12.2370647511191 15.7658653835323 13.7941115458776 15.5264291067331 17.6024258470221 14.9913017787943 16.9292019188992 17.3953758925015 18.5292824414147 15.2489289033795 17.9650827870971 19.2474934874774 20.9084359511355 17.6885535013855 17.9963226657205 18.7647464913287 15.9260614896969 18.7532134893263 18.9320623784376 20.3337896789481
TCGA-E2-A576 11.0562836396413 10.485522388151 14.7445092403114 11.479296013483 12.9753618726041 12.1877647961931 12.9751137062127 17.1022220785802 15.7771680520578 17.1796833654194 15.4167829080288 17.4402711523201 17.9607068532711 16.3177884639578 17.4256012942683 21.2463190416259 17.8328490508988 18.4679415592152 18.2126720960355 15.6946358194932 18.0694175452248 19.6401235700539 20.0368980262468
TCGA-BH-A0WA 8.78443556379819 3 16.6001215855264 13.2496891967149 16.5961311863802 15.4094374283844 13.5287065383103 20.6137715556206 15.769351916649 16.5245135187463 18.0633654841794 17.6028661865136 17.1304389578441 16.9169685784388 19.3642090447427 20.3103582307931 18.1961610281758 18.7292096473877 19.8186619055929 16.0537981357967 19.5820636667652 18.111572840831 20.6970299984215
TCGA-A1-A0SN 10.0197327120006 3 14.9642947533311 15.1828105999873 13.1892836794102 13.2603766833333 12.2492721946483 17.2396275117814 16.6606329920252 16.7284226782248 15.9343265831752 19.5635566470167 17.451730637664 16.0888316309037 17.5987138183535 21.0389842014115 18.3160255381652 19.4181660711707 19.3246076491716 15.6120979916422 18.2281868784814 18.3757438594841 20.6940996356762
TCGA-A2-A0T3 11.0745640317216 7.89310900140829 12.8694104706479 12.2459964477127 14.0804768954487 13.8881449366801 11.3443973833441 19.9657432785864 15.8707225490798 17.9952932167154 15.9239505138483 18.9032080326184 15.0439470916533 16.4261138978065 18.0780339556155 19.5218725852876 17.0027409320924 17.1512171042486 19.3869951572738 16.6322914785934 19.4359103089128 18.6920167453883 21.0082414867163
TCGA-BH-A0AZ 14.9507066536772 3 13.470487858074 12.4182665021676 14.6900477708459 15.5324497825072 12.5264948538676 19.085132376727 18.8355962678153 17.0362336036004 16.4886016766905 20.2262694758158 16.6672751004678 17.3696284068506 18.5830153674516 20.3982637428555 18.2925799986244 18.4138307935111 19.4250631502915 16.3021972106802 18.8152364260033 18.680817369998 20.7146584092848
TCGA-A7-A4SE 11.6788647916338 10.7461018756119 15.5413613193863 14.6026988140887 13.9360024281871 15.4876137388028 15.4234858584983 17.1413515559804 15.9712273017079 15.7272534257264 16.7162625118335 18.1894400119495 15.8912667071757 16.9159826362294 20.1052896018333 20.3059961555022 17.4493394844147 18.2628242964734 19.1664878807982 16.7065275001149 18.5417738834855 18.748827527465 19.2246259479432
