X63928 X89869 X114 X111 X6790 X995 X196883 X891 X6196 X6195 X5499 X818 X801 X5566
TCGA-E2-A573 3 8.03648943013811 6.32805141719669 11.7959336086137 19.1760827619544 16.5712752502201 14.5480859973649 19.423113287057 16.2561538973606 17.4930362862464 20.753293765308 16.9306677987436 19.7760657603883 18.5281322944382
TCGA-A2-A0CW 9.59407263850609 3 3 17.6029678463056 19.2612390538581 17.1868186176112 13.6317543412549 20.1561482423085 16.0713212338225 16.7167970457263 21.0375480099261 17.6480638079443 19.6365097798822 18.3013220307418
TCGA-AC-A3EH 3 7.83874812806574 9.3125050199229 18.6229248514066 16.3064301702117 14.1407862085439 13.7654797352106 18.1794400412565 15.5217484216689 17.6021498369389 20.6265926629101 17.3397978576934 19.6091110193218 19.5091956568429
TCGA-A2-A3XX 11.1624464002222 3 12.0996876806679 15.4685612658706 18.3632550430044 16.11220431719 15.7136624537832 19.3860903374726 16.8248437969866 18.1953360088284 20.2664520676186 17.640435438739 19.4170235752294 17.9034920319361
TCGA-AO-A1KQ 9.34049032039207 10.047654631176 8.44767438500349 10.4922566134228 18.3890025515156 15.9178596437604 14.2957416742637 19.7413471715449 14.8658676594732 17.4160496516808 21.0918219100776 16.8451489331446 20.0512055041684 18.7693786328085
TCGA-BH-A0HN 3 3 6.64145401190871 17.1051434270427 15.9043297252482 14.5008407433968 13.7291791654178 17.7443563927674 15.9619090364989 18.6354628416933 20.6029481385155 16.5164951791165 19.7670421533723 19.4761093887164
TCGA-AR-A1AR 10.8329773199151 14.2427356053147 7.08817332465661 12.8378555470621 17.9348323801181 16.2154161846766 14.2537010580708 19.775734813899 16.0285012398956 17.1237547268032 20.0100417027356 16.3761293217258 20.1468398468278 18.9522142566076
TCGA-AO-A0JD 9.39020959709957 8.88919507867057 3 14.1237627368865 18.6016923037048 16.6688525745374 12.8044861659564 20.9001087910428 16.1251034212456 16.963947926496 22.2183887017211 15.8021056740871 20.5286485062345 18.9020681094902
TCGA-A7-A0CG 10.7217604047535 9.48587084875701 3 16.3032308865505 16.4195518689791 15.0153941476364 14.8814328984315 17.9984047427163 17.0377417499935 17.5178261959374 20.2304402490555 16.8446939880297 19.9042487730672 18.4738667904532
TCGA-A2-A0T4 9.34702505254602 3 3 14.2139112599284 17.7191712408183 15.9628419235588 15.2746812971366 19.318684097588 16.7198698631398 16.6935626555941 20.8431312544846 16.697729102389 20.3209127011912 18.8292338610481
TCGA-B6-A400 8.0218925343193 3 8.49315540929047 12.7033244016829 19.2298129712479 16.7663352505302 14.288969764369 19.3750544476729 15.628964746117 18.107355929814 20.9084359511355 16.6929940712078 19.6202466705065 18.6131557552085
TCGA-E2-A576 3 3 3 13.0467259820726 17.4412534950281 16.3473982488991 15.8382999071511 19.3832798204167 15.8268755612288 17.3063277262529 21.2463190416259 15.7917226233054 20.0536032830871 17.8491698775314
TCGA-BH-A0WA 10.2379022613725 8.34105369584927 7.95230084196111 13.9016742377439 17.9128980945731 15.2870134120197 13.8912785646576 18.4803019159447 16.0466660334964 18.3736454267514 20.3103582307931 17.1254867292801 19.5932896117636 18.7608797867333
TCGA-A1-A0SN 3 3 6.02295120314648 17.3160574171597 18.7230198615099 17.0449794761416 14.1691934749709 20.1198562050767 16.6122021332547 17.1709334197874 21.0389842014115 16.7066005327582 20.0265217599383 18.5144760967853
TCGA-A2-A0T3 3 9.58688957280334 5.95575978016336 12.9324848451623 19.3764295212384 16.1151788886186 16.0190830437758 19.4907171047864 15.8196732400465 16.7304690187422 19.5218725852876 16.1180083003613 20.0230206832786 18.4962927130006
TCGA-BH-A0AZ 3 9.82362953683638 6.5404040043093 14.2340895098003 15.9522739717336 14.9642417474699 15.2153701264692 17.5276848638942 17.5761924068268 17.8293719107152 20.3982637428555 16.6566316940704 19.8618005264811 19.0779567155965
TCGA-A7-A4SE 3 8.49969120159704 8.27503783126371 12.9867724304201 18.8143410684774 15.7755156271409 15.3607815454163 19.5576285561944 17.076578957123 16.9344453486361 20.3059961555022 16.9220161391573 19.4848380604999 18.5556392564578
TCGA-AQ-A1H2 3 3 5.74220567714289 16.7979215847431 15.7144257571599 13.9773896775296 13.1714689145427 17.6331399029213 15.4790528444885 17.0530259872765 20.8013237637135 16.4217538433595 19.985588951069 19.5465378389453
TCGA-A2-A1G6 9.96706809764003 12.3425387557127 7.87478415470122 15.9146319566499 14.5719665529795 10.8864920504122 15.4505806047402 16.6674554045487 17.2897953701025 17.477478371332 19.537747144043 16.7186154963561 19.4210359002865 18.6142472477604
TCGA-A7-A13H 8.70727581445409 10.2958227402609 3 17.5643853425904 15.6107023860037 13.1667369794412 15.9234741641665 16.9415082165836 17.2725361752992 18.5128606100511 20.2878451200174 17.0677085979988 19.1487092439129 18.4386971042641
