X8342 X8359 X8290 X3018 X8337 X723790 X8468 X8370 X50511 X8338 X8334 X79682 X55839 X4001 X401541 X10735 X5928 X8467
TCGA-AR-A1AK 3 3 9.69835203095316 9.47362037023892 3 3 7.39483793671251 10.8968325482397 11.6950189738655 16.053214259532 18.1419043810145 17.4747131065006 14.902287148807 18.379320780308 14.3733207053844 18.3158736175791 18.682653861179 18.3791068805127
TCGA-LL-A740 10.1448836229146 10.4312812278932 15.7986099147878 3 11.6113318491184 3 3 13.5362679225366 10.137757796425 14.8562468572168 20.1119511354284 17.4211919445306 16.1121346856953 17.9964426284697 13.9311373450695 17.8112071666592 18.5851514417959 18.2566489655058
TCGA-A7-A425 10.944789205594 3 3 3 9.42875135482638 10.9637706971761 9.26178296236649 12.9260109946544 9.9435142301026 16.6867079198089 19.4890407388369 16.3920054414913 15.6544075051411 18.7514023090409 14.2526574970292 17.4669825933122 18.1005149792548 17.4673673748703
TCGA-AN-A0XO 10.6376990994299 9.93055708232545 9.31245824484546 10.0778115755166 3 3 7.02577962188662 13.706542632708 10.2179457819533 14.3521928587996 20.7234343644489 16.7663340302192 15.1382135097906 18.6413156279776 15.5325462024446 18.777572027346 19.1301032452349 18.7642558134094
TCGA-AC-A3W7 9.62586115372749 3 9.29344429965387 3 3 3 3 11.2231084885756 10.8732028157036 14.5779675268262 20.1941035857481 16.994570504241 14.6417653630394 17.5241045197764 14.3243108864975 17.8794592777872 18.4139822445231 17.9132442375922
TCGA-BH-A0H5 3 3 9.66744969386597 3 3 3 7.36513065561734 11.7803831067756 11.4717519933105 14.8630272025485 21.6704537887089 16.4509845338768 15.2742236013438 18.2597326484875 14.3666394783692 18.5096180365719 18.8965027718987 18.6915883314814
TCGA-C8-A1HL 10.5306293596061 13.3970835262837 3 9.97100776817389 3 3 3 14.2009017635198 10.0122750041551 15.9155741307467 21.1455621248362 18.4265010677581 17.7468166404774 19.8269834146164 13.6470253819068 18.162452602443 19.03070900801 18.3105242638524
TCGA-A2-A0YF 3 9.83480547888098 3 8.99334837901569 3 3 6.93532817198992 10.7004537844705 11.63466076902 13.8932594310473 20.1036264071508 17.3386735165424 15.2107999025021 18.4691885855259 15.0717533961993 19.0551391448657 18.8014246408044 18.6723476411659
TCGA-E2-A15J 9.95076652734462 3 9.61757836737065 3 3 9.39045310729377 3 13.5943896288472 10.4257223813274 14.153934479263 20.6737672335081 16.3000309630373 14.7620680752045 17.7692893322782 17.0298948226638 18.441950530276 19.2686363121607 18.5475814619842
TCGA-BH-A0BW 10.8973580670897 10.189457232893 3 10.3369017926719 10.3730086439042 11.6509118053561 7.27191198899934 13.236549842883 11.1522321085318 14.3817138691403 19.8051030066473 17.9042491165484 17.5383151179857 18.6496005679822 13.9662035015394 18.8502257396195 19.1326175089697 19.2169199600303
TCGA-A1-A0SJ 3 10.2838950303477 3 3 3 3 3 12.7756752735404 9.83983252578949 14.9530433119682 17.7000813868009 17.8924025579983 16.0048380443683 18.7937853845628 13.396155346355 18.8121021064168 19.2266291615223 19.3159659672938
TCGA-A2-A0EY 9.93321339259369 10.2193188456774 10.5926075940373 9.37549765284661 3 3 7.30043644280125 9.63614052940376 12.1184149961188 11.8907193123198 17.3591280798785 15.6572626089919 15.412048186082 17.0615361130926 15.3487367300748 18.0674454131233 18.3865542334881 18.0697086303027
TCGA-A8-A07R 3 11.5892930940314 9.39335459951141 3 9.20500961952198 3 7.10278184523111 10.2295383343773 11.3418799170051 14.8489680168563 17.5406918593796 15.9480236833857 16.4653494226419 19.5562606473701 14.5659940244254 18.7574208294443 19.4745239495012 19.3225256632726
TCGA-BH-A18G 3 3 3 12.9184556492772 3 3 3 13.2405977216061 9.58138533045911 16.1837455207204 19.364089182785 18.5325798240581 16.7767200359878 18.8648661093541 12.5170613294571 18.1559757675622 19.1382981221309 18.2781771005657
TCGA-BH-A0BR 3 3 10.877426624482 11.2339426659527 3 3 7.57336706090549 12.3023315288725 9.89062968087855 14.4222943428843 19.3346730930391 17.3287549891508 16.4129456484162 18.2626014483887 15.534959257629 18.0855890565056 19.2897170890247 20.3087537762866
TCGA-A8-A06N 3 9.55582126981708 8.93961288816929 11.0163265766811 9.73871685662893 8.71400500286996 8.18137426776578 14.1128854879432 13.0224746036539 14.773477392963 21.0096051987539 18.3198972948018 14.4390544251456 17.7749342207052 14.1233599201206 19.3072430886127 19.4141333905362 19.0719882239001
TCGA-AO-A03M 12.8662305553522 12.4180737597851 3 10.5719764150789 11.6044146884931 9.98825983841585 6.94363824766405 12.566790613025 10.8050788479503 15.6385820228715 21.433223121482 18.650511600044 16.8114585342755 19.1130440333227 13.7573997117707 18.392423433119 19.4399308834644 18.9324316311215
TCGA-A8-A09X 10.1539624912748 10.4403716925683 3 3 9.63140729073622 10.5854236701442 7.51237360893045 11.5482982475612 12.5171018625723 14.7543872916907 19.0722293798011 18.2882042750425 16.6031603310736 19.4135864675386 14.7707869952035 18.1362171601763 18.3838861842351 18.563844560002
TCGA-E2-A1LS 3 3 3 12.2143558814741 10.9322444305802 3 8.78370581427052 11.6166557140444 11.3765112831296 14.7420071671529 22.0480273410493 17.0840680670304 18.3109321142507 17.0440489450125 13.2217254431567 19.1342883720271 19.5300592196883 18.5201675092918
TCGA-AC-A5XS 11.3220699747024 11.6094983066681 3 3 3 3 3 11.828290339781 9.01099638565634 13.8696055949696 21.1239415417695 17.0197482085637 15.5293381430033 18.4496118906675 13.1816568369385 17.3643344672354 18.668989731423 17.7441183258037
TCGA-AC-A23E 3 3 9.37659660274173 3 9.18827992266893 3 3 9.73114944103914 10.2824567263633 13.8324073599252 19.5774077637001 16.3091538218064 15.186107388357 18.328188243732 15.736916371467 18.639527668172 18.9952438586265 18.704458982049
TCGA-A8-A06Y 3 3 13.4347132306997 3 3 3 9.09511225537385 14.3614388397014 11.1827508230076 13.6116247441599 21.4554475737098 16.4031961336321 15.5240001962917 16.4592605454196 14.5265472860783 18.6501542475198 18.4111540090393 18.4533838898966
TCGA-BH-A0H3 3 3 11.3917326197338 3 3 9.17783919157059 9.367125006358 11.8863632376153 12.805575850246 12.6917390594355 20.3038051346462 15.8194063367222 14.5843566624283 17.0260124255289 16.2015562383348 18.8249732364864 19.272991204971 18.8116123423289
TCGA-AR-A2LJ 11.7884598194217 3 9.87631748610917 10.6441172013977 3 10.6415697712702 9.1101669110555 11.8105413191866 10.6855063121341 16.6585124139624 18.9940667725508 16.6575350538828 14.4329316869784 17.706042323237 14.9922831589766 17.1633930082757 18.5337864594312 17.9652341801297
TCGA-A8-A06U 3 12.3711057646057 9.75782765317989 3 3 3 3 14.1738255954901 10.7582547355115 15.2952119422338 21.1278486722737 17.8329074826185 16.3888376572181 18.5633908543765 13.9596122366072 19.3432575460845 19.0315711931853 19.3429170990911
TCGA-D8-A1X6 10.5358669866481 3 10.7833519895114 8.98764494152613 9.02340823289447 9.97369203503299 10.1640309499284 10.9346234783237 11.2481140982075 14.0186462143613 18.7647099358103 16.8429782308044 15.1497595766932 18.7257534466597 16.924613767489 18.3234667583977 19.4691886420936 18.8171803111308
TCGA-A7-A6VY 11.469799637369 10.1789975599315 9.55988942521846 3 10.3625403195305 3 8.79586569061601 12.4898637458621 10.8060458219468 15.2049366596728 19.4308816383043 16.819845018253 17.2756340207131 18.9753842450999 14.449908115868 19.1619137905985 18.2184577038405 18.7007420939474
TCGA-E2-A15O 11.1182357762022 11.9890837548214 3 3 9.60095862309792 3 9.02427098564836 12.5700242106402 12.6925647148101 15.033891590455 19.5488470228819 17.7926701113028 15.4859459699239 19.0999514541853 15.3042656526234 18.3721258306162 19.1864204855304 19.5110828839302
TCGA-A2-A0CY 10.7336114471703 3 11.9783968179984 3 11.2047003080524 10.1709593685019 3 13.5572609729414 10.8633527037304 15.7808018365595 19.343092389313 17.3594070730532 17.2924265825592 18.3781871335793 12.9511305619417 18.7697404174783 20.569460600735 18.6683098015408
TCGA-OL-A6VO 11.4256579420393 10.1350392673583 10.5081943321891 10.2824466600736 9.32755479489431 10.8617676021578 7.21999976901183 10.8648272399511 9.97830796203979 14.6612370641984 20.8207992598532 17.3979418980435 15.8644630110226 19.9908723942013 14.1559058283632 17.8265490515387 19.6449857808822 17.6535985187072
TCGA-A2-A0CL 11.5023333008188 3 3 9.36762103058202 3 9.36509182274898 3 10.6209375618107 10.179233349972 15.3718290167764 18.1538574195973 17.2035086780258 16.9854310818312 18.7435939843848 13.9130944882363 18.8558998677689 18.7083647988045 18.7984536024889
TCGA-AR-A0TQ 13.4495515294678 11.419057405536 9.22480265817636 9.98968181001659 11.3409979213059 10.9814445189006 6.94258453171686 14.2311169349593 10.6790127921568 16.3409748172364 20.389018592122 18.388648245275 16.8738493649534 19.3891737993089 13.9136241232488 18.5618482491391 18.8436176726624 18.9196278135582
TCGA-E2-A573 3 12.0204068967014 9.8209894712922 3 10.6247317254413 3 7.5129683465404 12.1690580954394 9.41725643943798 16.1983517731241 20.073855080775 17.3849243985009 17.2014881786827 19.1643525524438 13.741996671157 17.8620592957804 19.4869281154572 18.0687567822285
TCGA-A2-A0CW 10.6456319977337 9.93846472499147 3 9.09630747324492 3 3 3 14.0258050676272 9.64571350530053 15.1596304334482 18.5783033929725 18.3020531608787 17.5269117013794 19.8661655355327 14.4081756347061 17.2669364186009 18.9172228281013 18.6710934209878
TCGA-AC-A3EH 3 11.2330492307772 10.611153269567 3 3 10.3827677141256 3 11.1048859636433 8.64011932572858 15.8837890670319 20.1820756448128 16.0519420032805 14.4614532052049 17.7821511387696 13.6704794789388 17.8674487013585 18.790731834736 18.3014646110776
TCGA-A2-A3XX 9.9068949105241 10.1929609453899 9.57380105991973 9.34928258007519 3 9.34675376921392 9.21826663095213 10.602467768199 9.58086741753658 15.2537518529403 20.019014739604 18.204397892497 17.0823378105969 19.2988599961337 13.5155534536541 17.9771894920857 19.0589269115392 18.2088756955973
TCGA-AO-A1KQ 10.3905481554759 13.6710545089896 3 3 9.86731927892634 3 7.74085088149436 12.6075399818058 11.580156112009 15.9631318221288 19.0049067266445 18.6985123962596 16.5789559020838 20.0687664923649 13.7861691886517 18.7161593994423 18.8025777780668 18.6978196993148
TCGA-BH-A0HN 3 3 12.1549293494625 3 9.97315570315939 3 7.84371638215075 13.5821040967119 10.3384045259868 16.4550875203662 22.163023477071 16.9202791823243 15.1865115048426 16.8629744278317 15.651888414334 18.3299917488345 18.8140726473373 18.0120878820725
TCGA-AR-A1AR 9.40066159959074 3 10.0581049053377 3 3 8.84293601530071 6.79526900981836 11.2583312413291 10.4549427100661 14.4795890382113 19.6110687557664 17.8983456554336 17.231785271788 19.3136834072351 14.1533527306567 19.172729951884 19.400843970563 19.441467569429
TCGA-AO-A0JD 10.0283112814752 3 9.69496326789154 9.47023716752765 3 3 11.1336537533594 11.5286864636125 11.2165321848201 15.9837116963234 20.0537616708338 19.1684990166897 16.9102955737602 19.5534668836568 14.3224295622405 19.0881199073918 18.6655547710085 19.2364376843211
TCGA-A7-A0CG 3 3 9.71484642364398 3 3 3 3 11.0648214758492 10.9619129741995 12.3277840939798 20.348951257853 17.0343445446594 15.215484432045 18.0929429194545 13.135899514084 18.8972461625404 18.8880210981485 18.6821343942542
TCGA-A2-A0T4 3 10.6838191055288 3 9.83786380466292 3 3 7.74722017960601 11.5520242219079 10.2389433199359 16.4424499343901 19.8191071769664 18.3605524500173 15.4047279723162 18.8404671199902 14.6907837399783 18.4664293464733 18.4061412959062 18.6144653052102
