X4852 X5473 X5196 X6366 X8484 X6363 X114 X6360 X846 X111 X2587 X3576 X5733 X64805 X53829 X187 X9934 X1902 X196883 X54331 X2791 X351 X10287
TCGA-A2-A25E 3 3 3 18.076366759513 3 18.3727646188214 8.37214773696432 8.55607330949705 3 13.339042320323 3 15.3904426994944 17.0216508318232 12.6826360596905 13.8727179671765 17.9196142934222 13.8463548573871 17.0001009240565 14.3874474467297 15.4439410231683 17.1300147257891 21.3914393169293 17.5205866586579
TCGA-LL-A73Y 15.5926473706893 9.98045726157454 9.23170802500014 18.9522069844384 8.31140988056828 19.7841934890562 9.51032375515347 8.71042146449718 7.13699972564604 13.8441598421685 3 13.7924366752316 14.85826960279 14.0505873371525 15.4065275825198 18.5474675734514 14.3674528199623 16.4470948399775 15.4969738596611 16.5208784390719 17.8273483679995 22.3919876451743 17.2899752719348
TCGA-AR-A1AK 3 3 3 18.6358664639843 3 19.8269983109599 11.1455136812917 11.4152959060047 6.34548556333416 17.0149279162968 3 13.7295212727369 15.0617650488335 13.6656003924887 16.2279833058269 18.6815488831697 14.8568546349515 17.1488284436695 16.4699058142121 16.2973890571548 18.006767297466 21.4330186340164 18.4334350462938
TCGA-LL-A740 12.5635906689341 10.8178715952564 11.060273338309 19.1174912762487 9.54763236675096 17.1234188287873 7.24512045384381 9.54065922254016 3 12.1348217046752 6.51057167426321 16.528949566831 15.9053123381642 13.019305263171 15.5427869318468 18.6684138245663 14.0314304230705 16.0873247346319 15.2699349083869 15.9148628073892 17.9037054683041 21.6150119338875 17.7979883501237
TCGA-A7-A425 10.259917956964 10.6230689606361 10.2834547509991 18.753603317273 3 18.9428669456493 8.58653319522621 13.0311664295478 3 15.5837121266708 6.86955481703946 12.4510780630581 15.6726332076659 15.3598916654858 15.8115469333537 17.7233895336794 12.8625553587203 16.8282692257212 16.3113275299364 15.8176343087685 18.2331393986663 20.5871907577256 18.7806002816281
TCGA-AN-A0XO 3 3 8.98858103240754 15.3526105430369 8.07146679219746 14.029268136423 5.87427915478252 9.77109735874478 5.99870466972823 14.5426317839924 3 14.1622212886599 16.5867422697773 10.1612421465355 12.3884059586257 16.4275991872249 12.9560710424259 17.1150969390102 13.1223798136542 15.1389362534704 16.9902553312611 22.6692886561504 17.242070582631
TCGA-AC-A3W7 8.37300812776226 10.2971909914762 3 18.0863350320131 9.60847660771531 17.5344005786427 6.75454584410486 11.9431375072808 3 16.558081497796 5.20681128382618 13.8290184757027 16.0704128222855 14.3363001285202 15.3186204421183 18.2464403973784 13.0847877307078 16.1963815914933 15.6656379865368 15.2585327552056 17.4201123052934 21.7792399467003 17.7631852890115
TCGA-BH-A0H5 9.72968040833726 3 3 19.9728490525032 3 22.5083257157331 9.73578090976983 10.6096556608989 6.31737966776956 17.3000841642953 7.61490376207265 11.6635527682103 15.4113911510849 14.8116943550894 17.4837474649309 16.5041170690735 16.3780914761584 17.5593185352815 15.2455560457781 17.4929337314492 17.320466706491 21.428136163544 18.2452733119374
TCGA-C8-A1HL 3 11.2045150134562 3 15.6372478092327 9.93214229968757 14.7804945452247 3 10.3372181161923 6.80531586638851 13.9819601820578 3 14.0753881626266 14.2001546094653 12.0462283107018 14.1563963576548 19.6609579235722 15.9908578132519 15.6708430011338 15.6599559655402 16.6778268103793 18.6894485921464 21.4372204087651 17.9419640963721
TCGA-A2-A0YF 3 10.2203836030155 3 15.1387275579592 3 16.2406014835384 6.68310606124205 10.6683668016519 5.9145763965263 12.437333244637 3 14.731708376323 17.4394855485521 16.3161222719675 16.8784154891578 18.091643378495 13.8490490771426 17.3995760743705 16.9242057193111 15.9321080034935 17.5913112994758 21.0291357183451 17.0495346963185
TCGA-E2-A15J 3 3 3 12.1229764199224 3 14.3377554699079 7.61637788924084 7.79735865270892 6.27213767506812 12.8828423933526 6.33323911893376 16.4439659607769 16.5054860780264 13.2082018543531 13.2106630936146 16.3382794028086 12.226120792339 17.4963699940666 13.7977929534277 14.2877945183734 15.6536476640317 21.8078922747815 17.4034455771448
TCGA-BH-A0BW 3 9.99450071557706 9.24567558241126 16.8031179006803 8.32521011981196 17.0381821011611 3 7.75134146864372 7.15035389927712 12.5995235539737 3 15.5089293067925 11.9725215813802 14.2199451969155 15.4505098361791 16.6110263752398 13.4333307221092 17.3040787084512 13.0430818405631 17.0517217834194 15.5990237731636 23.3324932068115 17.6097277805466
