X5473 X5196 X6403 X22915 X5265 X7042 X7043 X2 X7450 X5175 X5154 X351 X5155 X27154 X801
TCGA-A8-A09G 3 3 15.1435793787048 13.8493737141697 17.494813935225 12.8076772415114 17.2946599236395 20.8914356480007 18.7685343827355 18.6357863221716 15.2657772360087 22.4247612577892 17.8097518709602 18.4728959475399 20.2627500592258
TCGA-A2-A25E 3 3 14.7630715555839 15.5935802776998 16.8710438750726 14.3725613237604 18.4218573049018 21.0443005521454 17.4686870198479 18.505583907706 16.2428354045154 21.3914393169293 18.8006318000626 18.0880445365752 19.7726044896768
TCGA-LL-A73Y 9.98045726157454 9.23170802500014 16.7995194112294 12.931318769775 17.3216290699848 16.4229199129533 18.1707805491656 21.1211593504983 18.4426038878143 18.9234833557069 17.3279457848076 22.3919876451743 19.5134804895979 17.9719345237238 19.8654380842994
TCGA-AR-A1AK 3 3 17.2240933998303 16.9867168714329 19.1317990046442 15.3327067995217 18.6974062842729 22.0651993858 19.8430655331175 19.971849871553 16.4760358515997 21.4330186340164 18.0085995149941 17.5326139478662 19.5713693449748
TCGA-LL-A740 10.8178715952564 11.060273338309 14.9283440612912 13.2124177299624 17.8859049167003 17.095422511914 18.4125173286 20.9222479670784 18.1898532397195 18.7989461317586 17.3230310765196 21.6150119338875 18.6347521760891 17.5913901842053 20.1788145643735
TCGA-A7-A425 10.6230689606361 10.2834547509991 16.1969820588991 15.7696877285987 17.9263279464492 13.4309052745147 18.2339867675433 20.9981870609062 19.7915867596486 19.289202685981 16.3420877675697 20.5871907577256 18.1724404706472 18.1287209968098 19.2354793129539
TCGA-AN-A0XO 3 8.98858103240754 10.7636544850103 11.5081355254321 19.8410843916697 17.3877351003373 18.0348621101605 21.0135732389332 18.2803749454052 17.7516140204269 16.7481416212631 22.6692886561504 17.9008774671938 18.1783693497758 19.8554745057299
TCGA-AC-A3W7 10.2971909914762 3 16.1557532386269 14.6431367610348 19.6329365516723 16.8904576459349 19.1718693097366 20.8762736583386 18.6909180862379 18.558108627192 16.8635157903711 21.7792399467003 17.9189966308667 18.661496243884 19.4184787970421
TCGA-BH-A0H5 3 3 17.0830174553046 14.5951409848856 20.0966237289123 15.6185345753671 18.2498964314268 21.3483499251545 19.2247109151839 19.6598125626349 15.8084800782531 21.428136163544 17.4335980057387 17.8475290755922 19.6417070595003
TCGA-C8-A1HL 11.2045150134562 3 14.9860088124701 14.8538815092041 16.3111458868833 14.2582583266553 17.7799973338119 22.093684544061 18.9435622868291 19.9687172632981 17.6076738622403 21.4372204087651 18.7382319122991 18.2231846072871 21.2947088535627
TCGA-A2-A0YF 10.2203836030155 3 14.6243615314444 14.1065961537076 18.9752469786474 14.0443465801683 16.9008859980268 21.4997488081487 18.0048547313143 19.2110171555992 15.7214791950331 21.0291357183451 18.0698587297607 18.2479666598169 20.0673688514616
TCGA-E2-A15J 3 3 12.2055699147747 10.4852590533366 20.0922710663769 15.589569015529 18.4181000688201 19.6807331366887 17.3031918238416 17.4373879200651 15.9324371935282 21.8078922747815 17.5404985646571 18.4909741379981 18.7874192862667
TCGA-BH-A0BW 9.99450071557706 9.24567558241126 13.9634393707935 12.0621740959143 21.1239561797125 17.0487748871207 16.5254364248447 23.3364502564876 17.5979394377711 18.2767618640362 16.4902177334695 23.3324932068115 17.7160887833753 19.0034441230549 19.2659075167557
TCGA-A1-A0SJ 12.2505058398203 3 16.0834862363017 17.852466130565 18.1623689546246 15.115394437216 16.9804114096519 21.8786149691591 19.477163117279 19.8551127238786 16.806482235425 23.1089707287237 18.6550398220397 17.3186556647454 20.883440922299
TCGA-A2-A0EY 10.0243328290737 10.8478406931963 16.2259920746742 14.5872755259157 17.8203948188003 16.3356864560304 17.3960413772345 20.3270808269961 18.8914479729071 18.789668539495 14.8025971198061 21.0958759574007 17.7442180194982 18.0261521148868 19.4569839589758
TCGA-A8-A07R 3 3 9.85144685002429 10.0390823225958 17.3975816681546 16.7310617427795 15.0924087239671 20.5307738766758 17.2944985094626 17.4335064371556 15.2810493409471 21.6478544850968 17.8416726280216 17.0296074938224 19.9357023957624
TCGA-BH-A18G 3 10.2401622810275 3 3 15.8284217794898 14.9069159254996 17.3433710574906 19.405248714692 16.4275729409004 16.8625840907559 17.2013701094684 22.7258147608319 17.7532762132952 16.7351113425298 20.618538615852
TCGA-BH-A0BR 10.8904275036533 3 15.2651186020184 14.5874233439675 20.0366181134989 16.3378945025934 18.5251965340129 21.5178017866004 19.0536603913639 19.4413215978625 16.6043943350741 22.5154581837953 18.0213078367865 17.75280281405 20.1182711064636
