X5473 X5196 X6403 X7066 X22915 X2151 X5265 X64805 X7042 X10125 X7043 X11069 X2149 X2 X7450 X54331 X408 X2791 X5175 X8503 X5154 X351 X5155 X5770 X6915 X5590 X27154 X207 X5908 X801 X998
TCGA-C8-A130 3 3 15.1122117359643 14.1981638511438 13.8154165339195 17.2162440465305 16.4792198637885 12.2427506610016 14.7743684963872 15.6917009716578 18.1732314128646 15.0019858561833 18.693657639278 21.4638636681875 18.9260542633647 15.6931072196799 17.4231972613926 17.7659120162051 19.2057462928834 17.3047774983855 16.7601010048874 20.7535811378894 18.4476019312204 18.6248997513282 15.1241931917937 15.9478243079557 17.3123628916481 18.7746904024251 15.8848922227625 20.3660937969976 20.6866352665589
TCGA-A8-A0AD 10.9477030992986 3 13.2606743114364 15.4115541860421 12.787520795682 15.1010653920054 18.1517959786106 16.8050228367673 16.0685485610832 16.9705230359067 20.1964610189202 16.768074863299 18.1393489251781 20.7049399671488 17.841923540453 16.2536436464815 17.9437346853448 16.6691064624656 18.7596023738164 18.4944693814345 15.7767490275024 22.1329411809543 17.9723569984787 18.9286675131753 13.784220489445 15.9500941539799 18.4607938835626 18.4882995219545 16.567742166187 19.6650003230071 21.3547348980437
TCGA-A2-A0YL 3 3 16.9112284399663 12.3957352251513 17.0015752564257 19.8600306519615 17.3307736369229 14.9337930775013 18.224421458387 14.7605780910513 19.1288598560336 15.8100276579352 20.2480514558465 22.2803445963573 19.0866293637698 16.104452905235 17.5446058541681 17.8662781911967 19.4447263437439 18.2985765182075 17.1594101969269 22.4019726525306 17.772875965803 18.5447624682879 14.2792092528791 15.9822900536383 18.0013131059506 18.0181170059042 15.8737158093823 19.5861731652433 20.6929653694686
TCGA-A8-A09G 3 3 15.1435793787048 10.81677618148 13.8493737141697 17.3809204809935 17.494813935225 13.4822210489543 12.8076772415114 15.0898984129483 17.2946599236395 16.2523857006476 18.3338148224468 20.8914356480007 18.7685343827355 15.6207993839265 17.2215905910747 16.4700211057517 18.6357863221716 18.1869477228992 15.2657772360087 22.4247612577892 17.8097518709602 18.8008215903398 13.588757273851 15.7808798539666 18.4728959475399 19.6438168403384 15.9670595915188 20.2627500592258 21.0351775169529
TCGA-A2-A25E 3 3 14.7630715555839 12.8511288102303 15.5935802776998 18.861747090269 16.8710438750726 12.6826360596905 14.3725613237604 15.7391809136728 18.4218573049018 14.2290897423505 19.2227505943406 21.0443005521454 17.4686870198479 15.4439410231683 17.5406776634051 17.1300147257891 18.505583907706 16.9523170916353 16.2428354045154 21.3914393169293 18.8006318000626 20.4690944421502 13.8798519580879 15.431096482491 18.0880445365752 17.1616170311389 16.6861844960012 19.7726044896768 21.5523779972326
TCGA-LL-A73Y 9.98045726157454 9.23170802500014 16.7995194112294 11.0126864181779 12.931318769775 18.6216280035682 17.3216290699848 14.0505873371525 16.4229199129533 15.3549363096478 18.1707805491656 14.8756880805872 19.5254763191692 21.1211593504983 18.4426038878143 16.5208784390719 16.3366034465189 17.8273483679995 18.9234833557069 15.8155023179107 17.3279457848076 22.3919876451743 19.5134804895979 18.4839929026689 15.3610128624352 16.2123329658008 17.9719345237238 17.7983356389775 15.6357170114912 19.8654380842994 20.1407730405734
TCGA-AR-A1AK 3 3 17.2240933998303 15.215022400787 16.9867168714329 18.6848167937797 19.1317990046442 13.6656003924887 15.3327067995217 16.7381838133693 18.6974062842729 14.8258662312052 19.6768699833971 22.0651993858 19.8430655331175 16.2973890571548 17.1258708995356 18.006767297466 19.971849871553 16.8977320278779 16.4760358515997 21.4330186340164 18.0085995149941 21.0586150713882 14.8195103394119 15.1717304109047 17.5326139478662 17.8797688545459 15.936859439566 19.5713693449748 20.370380582035
TCGA-LL-A740 10.8178715952564 11.060273338309 14.9283440612912 12.935928446218 13.2124177299624 17.9808847565625 17.8859049167003 13.019305263171 17.095422511914 12.7210895410706 18.4125173286 15.1594303092179 19.306701306271 20.9222479670784 18.1898532397195 15.9148628073892 18.309055083663 17.9037054683041 18.7989461317586 17.9359030307546 17.3230310765196 21.6150119338875 18.6347521760891 18.298169763976 15.2035210495728 16.7353593319956 17.5913901842053 18.9771189358539 16.0916468021749 20.1788145643735 21.2429470396243
TCGA-A7-A425 10.6230689606361 10.2834547509991 16.1969820588991 14.8952214486639 15.7696877285987 17.2877222066947 17.9263279464492 15.3598916654858 13.4309052745147 12.4485461958889 18.2339867675433 14.3966149017444 18.374957596749 20.9981870609062 19.7915867596486 15.8176343087685 17.6226854330842 18.2331393986663 19.289202685981 17.2821791463227 16.3420877675697 20.5871907577256 18.1724404706472 18.9340416354541 15.194560079488 15.5241057516493 18.1287209968098 18.9202761873885 15.531930516819 19.2354793129539 19.9852919436949
TCGA-AN-A0XO 3 8.98858103240754 10.7636544850103 17.0642516231085 11.5081355254321 17.1558188560961 19.8410843916697 10.1612421465355 17.3877351003373 12.465132540771 18.0348621101605 14.4711971450199 18.6081085535375 21.0135732389332 18.2803749454052 15.1389362534704 16.8765467309796 16.9902553312611 17.7516140204269 18.6805400990956 16.7481416212631 22.6692886561504 17.9008774671938 18.9026508119691 14.0880636103992 16.476785675626 18.1783693497758 19.2170342049203 16.1353526802543 19.8554745057299 21.0451301777587
TCGA-AC-A3W7 10.2971909914762 3 16.1557532386269 13.7254930024504 14.6431367610348 18.4760842801038 19.6329365516723 14.3363001285202 16.8904576459349 13.3933747827454 19.1718693097366 15.5974629491124 18.9051848995798 20.8762736583386 18.6909180862379 15.2585327552056 18.015377553083 17.4201123052934 18.558108627192 17.6553510052166 16.8635157903711 21.7792399467003 17.9189966308667 18.4546597617531 14.7874827231964 16.6861458842385 18.661496243884 19.3527273644559 15.8714114403334 19.4184787970421 20.4735017596683
TCGA-BH-A0H5 3 3 17.0830174553046 14.3884096195015 14.5951409848856 17.9857149287427 20.0966237289123 14.8116943550894 15.6185345753671 17.1069206068921 18.2498964314268 14.3971257904547 19.1513697418374 21.3483499251545 19.2247109151839 17.4929337314492 17.2915763109733 17.320466706491 19.6598125626349 18.0713140081785 15.8084800782531 21.428136163544 17.4335980057387 19.2957725501381 13.84418516138 15.7428394779626 17.8475290755922 18.1341421608442 16.1050459208743 19.6417070595003 20.9732023944122
TCGA-C8-A1HL 11.2045150134562 3 14.9860088124701 14.3231704717604 14.8538815092041 18.8808703151759 16.3111458868833 12.0462283107018 14.2582583266553 15.6469153963834 17.7799973338119 15.5616502071975 19.7850110463093 22.093684544061 18.9435622868291 16.6778268103793 16.6739144078006 18.6894485921464 19.9687172632981 18.0463770265701 17.6076738622403 21.4372204087651 18.7382319122991 18.1827570398491 15.4435279851495 16.2175937575281 18.2231846072871 18.9895996922305 15.9671797909576 21.2947088535627 21.1516257761699
