X9074 X29119 X9076 X5010 X7122 X29895 X58494 X11069 X83700 X5175 X8503 X6494 X5829 X5908 X998
TCGA-BH-A0HW 8.51956263800493 10.9844961929396 14.5324252095355 12.4234093634256 14.5366265134068 10.4539924166747 14.0033661176896 14.8124737182569 15.4247267125866 17.7924494599273 15.8308541278585 16.4439664494613 17.4612397394276 15.3433194299674 20.6445514637321
TCGA-BH-A18S 8.67450069700642 8.98995187900818 15.8074207186693 11.5279336767305 14.2594886858103 10.6113458147192 14.8898698523008 16.2919135021116 14.9049768790168 17.7715001653311 16.2760020529295 16.8838942670481 17.5508469075672 15.9159944985183 20.823002516576
TCGA-D8-A27E 8.48637671988491 9.04487567117146 15.7907773660469 11.5939279618282 15.7057377189655 12.5512342783189 15.2324484328565 17.1791864687828 15.6002157786825 18.2319727916782 16.9767240317885 16.5406596853305 17.263003935121 16.2808368165409 20.6415872725747
TCGA-E2-A1IH 8.62620792192038 10.9679655898469 17.2877040062764 14.6261443776032 15.8268211290901 12.4048019888865 17.2707655759369 15.8258986740274 17.5050042671785 19.7186377720182 17.9096075515413 17.1320606830904 17.9522544616157 16.6546113389728 21.1578112018232
TCGA-A8-A091 10.6950160923182 10.1071014099365 15.1732774467463 15.0284302940634 15.3012500191441 10.9150372756501 15.6285675052352 16.1019080469192 16.3429325842377 18.8236333948595 15.2118354678718 17.1316657728266 17.2316730706297 15.5367194654282 20.5138327914091
TCGA-A2-A04W 10.4164144211478 7.38477317863279 17.3402734329516 16.1075847963741 15.6718095030088 13.8521278825205 15.2743564011784 13.9506605518829 17.3512727650837 18.3741636465338 18.9201465665699 16.9112579922554 19.0633762381683 15.7632182669649 20.9733775013518
TCGA-D8-A1X5 9.09256217661959 8.23844932379836 16.4457746800957 12.9648309017022 14.1147530667364 11.7107598084553 14.8247203811464 13.8820774031688 16.4811194087497 18.6349928992174 16.1835519711617 17.9590368354668 18.1137515088792 15.366579294569 20.7080683125066
TCGA-BH-A5J0 9.1890604702107 8.3338260284152 16.4889707136466 14.6326140849592 17.5819965741485 13.3912353340031 16.2489814877336 13.7119976798728 17.0386424284907 19.2885522667023 18.1206605555517 19.4272195598789 18.3581081585575 15.3889706855079 20.8522805440737
TCGA-A2-A1G1 10.1727252321523 7.89565841244511 16.4009397031402 13.1915485692124 13.2099148681146 11.8019749857708 15.199848892741 14.462512795612 16.3654214140983 18.8793152064472 19.1266812649443 16.3039948501711 18.3666810951605 16.6040206331694 21.0779968015772
TCGA-A8-A097 9.27942540156041 8.31887463382344 17.7863927785424 14.7051903243577 14.3532158981639 10.7110365145111 15.5511644204256 14.2426939308324 16.9191934442469 18.7269129508589 16.4665599907942 16.7647921921435 18.1689517296548 15.8225387922266 20.5599770190111
