X4161 X2558 X5617 X2925 X2688 X4160 X8484 X185 X5024 X6869 X5026 X2587 X2151 X2903 X2561 X5733 X10888 X2892 X147 X554 X146 X3357 X53829 X1910 X187 X9934 X1902 X2149 X6915 X10161
TCGA-BH-A0HW 8.90968501144265 6.37748194493352 3 13.830814971288 3 3 3 20.0098667792918 8.51659024076572 7.52680016004766 8.8296283707489 5.25954500755587 13.9683866527629 8.4897697353694 9.92988357477101 19.0166512156466 10.6543485699866 9.07020306866711 15.4944692139661 9.94742411366225 14.9710239267558 11.5818664133226 11.3472638057743 15.9686693248812 17.6168339904544 11.1200109295382 17.6639485316984 18.0487246896689 14.3669958854551 16.5581078112473
TCGA-BH-A18S 14.7023375044975 6.52119947162975 3 16.1367829360445 3 3 3 18.1222533787497 7.14208827517019 11.1286892583834 9.97376698775517 5.38611617638632 13.9056000613898 8.38736122471999 10.652763253815 17.8560774013705 7.9774458065859 16.6468162701021 13.4551858214906 11.291153433544 8.98689488899264 12.8633851747672 15.866409796726 14.6422823189192 16.5093143765197 11.812289906481 16.8597665308816 16.5344844975517 13.1134654093011 17.0069612313603
TCGA-D8-A27E 12.1021056772143 3 3 12.2135580320877 3 3 3 21.0643416324564 3 12.9115080729759 14.1630474485206 3 13.7879997006912 8.67429091884486 9.46980316284427 17.6164331853257 9.9726910052533 18.387534714303 11.3659306142212 12.3061321516285 7.8236893270196 11.4810911174262 15.7073875170234 14.8690267233027 16.5397676077113 13.2358838474363 16.4391556671009 17.1578155963936 13.94093196569 17.3527883354323
TCGA-E2-A1IH 10.0056897540558 9.67655697248847 10.9529475749454 12.3073638162927 8.17717506733338 10.8348266844694 3 17.9299007207495 8.05282925594228 14.4871372625307 13.8523493603107 8.07400327881887 18.4006100735263 9.76716848023457 12.9870520979552 16.0534078323317 10.3058193110142 12.4682954862619 11.601248636527 13.5601505285143 13.1058263491562 13.9287791524226 16.1833831340478 15.6728423856341 18.5788562151449 15.2987133171822 18.0649806461632 19.5921932140536 14.3894128388783 18.3680568207945
TCGA-A8-A091 3 8.68255353074868 3 12.3819081600999 7.69972716138475 3 10.0239996582587 14.1805119028497 8.54628139663227 12.3156089893861 10.6993214292759 3 17.1130205310031 11.0374702111352 12.0816270176261 13.5620470799637 7.85382252888086 10.6041994724216 15.0815172633243 12.9929859561364 10.8197843390077 13.0928482609218 15.4599705469102 15.4959731474505 18.9186974726507 13.1776281240467 17.2797965890644 19.4541046102691 14.7993001546048 17.0814163587982
TCGA-A2-A04W 3 9.97060517880775 3 11.9616853914251 3 3 3 14.1634609996685 7.87013698936901 13.2749322673952 10.8459759271189 7.89122286699457 17.5958908145824 9.47182922494314 11.3801753385828 13.6503683530116 8.14915727886024 10.763898605705 12.6584880195536 12.6352895490526 11.5371808809313 14.8972036613692 10.5544945140452 14.6880325498959 17.7878025242965 13.4420252953066 16.6054086060433 18.6041599671038 15.2869178888701 16.6114864527833
TCGA-D8-A1X5 13.0553035368601 9.15730571926337 8.45495003976332 14.314553263144 3 8.17366918147837 8.68740471264732 14.0492253936775 7.54636561322411 9.47763428697316 9.98393967372269 3 14.8335968497931 7.52012485723658 11.6383936379851 13.0345494794485 9.11414485650536 10.6393243377244 9.67128203380522 11.0392547194007 10.3978374493387 13.6338101123893 14.3221916130295 14.0520347217915 16.4712086449905 13.1849823008262 16.5666214096517 19.014919444864 15.2521887648794 16.8407042157481
TCGA-BH-A5J0 3 7.96001904191844 8.55067664733594 16.5780937720635 9.72291354606009 9.25009971190528 3 13.2364358989064 3 13.0841315000508 12.5747763890021 5.82280868408317 17.4529538560277 14.3765718642391 12.2768758376892 14.702488352446 10.4622901239696 11.1336512067795 12.6312321327924 13.6435099136858 11.8122840955539 14.1226255817353 15.425725357514 14.4428644648876 17.8547239988661 13.541330917798 16.8434844460603 18.3637924079502 15.5356841992754 17.189208191921
TCGA-A2-A1G1 7.80558907457842 11.8835105967048 7.76000193337432 11.4577776243179 9.90744492640899 3 3 12.9567015878938 3 11.0727223379213 12.6430382695536 8.81501803818998 16.8424907909152 13.9598028495114 10.9247897375945 15.5240103270788 11.0150933389662 12.0140919781188 12.9425953762846 9.81611889195997 9.27701642548807 13.0100038514518 15.4150211723522 14.4970163616299 17.8231299862784 14.1767823920937 15.9414619218968 18.7170849863317 14.0123271868182 16.6672565113772
TCGA-A8-A097 8.68673631803932 6.17391560676132 10.4269096191494 16.4841277004994 3 3 12.3103068602175 13.5470987123373 3 14.4683143903307 10.6994369527537 5.90179407234979 17.9237514142514 11.3128146868766 12.8205187169657 16.5825459678093 9.8798974904422 12.9560160464383 12.4335746437478 12.1517655090777 10.9066775239713 14.8692975395909 14.7873973132715 14.4817252783184 17.3552371822492 13.1063231391979 16.7239590026698 19.289245156385 13.8633511512102 16.8914741163863
TCGA-C8-A130 9.2301416498412 6.67449167651459 9.76180698442163 17.2065871101979 3 7.92329110109482 10.9915854186547 12.7216744725238 9.24423115471363 11.3369155128941 12.7555052830726 3 17.2162440465305 10.5033019479613 9.11740191251417 15.2063933182465 12.9239241978022 9.83403951212436 13.8590750953224 12.2109656006839 13.3021351315409 14.1725198308528 13.12314862154 14.7975281275054 18.321047740798 14.3761279203 16.281458501956 18.693657639278 15.1241931917937 17.1643678347109
