X3381 X1287 X10125 X3908 X58494 X11069 X7450 X3384 X83700 X5175 X5770 X207 X5908
TCGA-AR-A2LJ 11.3538948306279 15.5909176144102 15.2850917054713 16.525358099473 16.5726057601882 14.0140108409649 19.0355217007129 16.6344401563933 17.0912762533405 19.2732541161768 18.5136565170553 18.6888558777186 15.381362634014
TCGA-A8-A06U 15.9610508159289 16.9471940219323 14.1034674912176 14.713296580049 14.6240644836733 14.0891257336487 17.6931485490211 14.4095973016414 15.8346770098545 18.2662823491878 21.3020531788702 18.5108323408477 16.0240368224776
TCGA-D8-A1X6 18.8100584410626 17.4125087095378 12.8780972499233 14.0538528606103 14.6682786235636 13.0517876990248 17.1152053976554 14.2909306495182 14.9820921011727 18.3142048106411 19.6039187872934 18.4056278844953 16.1353790584849
TCGA-A7-A6VY 12.6168109217877 17.8792852313973 15.3361317905988 13.5762090334118 15.2009405192519 12.3985315644287 17.5975014760736 15.3307349495027 15.4623200016859 18.2818219447831 18.9590099340372 17.9597956854576 15.9594232047201
TCGA-E2-A15O 11.5556278216215 15.6064500194153 17.2220508785553 14.4574466187623 15.1354497096609 13.6362970602879 17.6209792861903 14.4997999027998 15.8818977652003 17.8538634599462 20.4256888468355 18.444365638932 15.6158747137315
TCGA-A2-A0CY 16.3429031649184 15.5114047622531 10.640718406147 12.6010256645273 13.5217873535999 13.1887174707204 17.7069218170791 14.2961362936311 15.8967768889105 17.7539009249683 18.8841409955301 17.8535004770008 16.0434814930998
TCGA-OL-A6VO 16.0205610396916 14.0524425545743 17.8655925943893 14.3739168083562 14.1616269413684 15.3456436942998 17.2989867431399 16.4750747213509 15.0122054316133 17.5029172421616 17.9857156936465 18.2666512392227 15.0221670806966
TCGA-A2-A0CL 11.4817133153701 16.7366826107612 16.8110960144294 16.9762616559896 16.5719093785151 14.2117203801077 19.811277570605 16.682011471371 16.951336832215 19.7983371619185 19.6326106908093 18.0467440617715 16.2070543355124
TCGA-AR-A0TQ 15.4460225449068 13.8010746231407 15.4856237270771 16.1214284107595 15.940663078805 13.5928509048622 19.103446556312 15.3472574235816 16.3406404956193 19.0407977046174 21.0741343043471 19.0392682921445 15.8688607359559
TCGA-E2-A573 13.4467033321611 15.1644514791855 16.2940726802126 13.6174463578387 15.1292855837725 13.0696719478412 17.2661162827257 15.7133787554144 15.5562985078406 18.4432268124847 18.8787422557992 18.4749845327262 15.6818948134316
TCGA-A2-A0CW 15.0189590304642 15.5796607374074 14.0008206893811 14.4368874551129 14.6292506831475 13.9051781171684 17.6802385764661 14.7192961635731 15.2898874227211 18.0255776620082 20.8959575397968 18.427225448273 15.1513211552153
TCGA-AC-A3EH 14.3628153628272 16.9612640335477 12.2819341729711 15.6146143692863 15.2990609216098 13.8129987938429 18.7993003439605 14.3023177433659 16.8268089043891 17.9451861094823 18.7404977039681 18.6432625518494 15.9131188994475
TCGA-A2-A3XX 14.6819387840327 15.6470698764902 17.3989747019004 15.4083156862789 14.2832303785203 13.8694290178015 17.540168212438 15.481565308866 15.5542558189595 18.0281523732144 19.1511057991122 18.4555181050168 15.1728458598459
TCGA-AO-A1KQ 14.0058049803877 16.4447555984589 18.2416479919596 14.2361600181498 15.3490800556828 13.5664302537464 17.0383509024703 14.958156851678 16.1283900312357 17.9265057468517 20.318408338812 18.1454749273546 16.0100618232622
TCGA-BH-A0HN 15.5767253923199 18.1438554685389 16.079159298423 14.1583151390554 13.8231605666431 15.4553550788885 17.5958176917911 13.7923072222103 14.9311244181186 17.1919203811109 18.4612030739716 19.0626981393672 14.4698087466589
TCGA-AR-A1AR 13.0080643293499 15.5577699026515 15.5546638183998 15.5195783432546 15.8342935138659 13.8863298736518 18.3472400364939 15.5492870082885 16.4450672598612 19.1098887963999 18.36441669904 17.6052886195826 16.229765198965
TCGA-AO-A0JD 14.2066032311603 17.1051886782658 14.3075682079366 13.7292954562577 14.0626170489487 13.8200841042523 17.3639044269053 14.0369618234238 15.2899824686506 17.7163863836841 19.0447561962392 19.3483035963282 16.3803105552111
TCGA-A7-A0CG 11.480092455546 16.7127164098128 15.8004702665538 18.008477550357 17.0559033232902 15.4929441910197 19.3943718498311 16.1839953995053 17.4560863125352 19.9928622602904 18.5073744132625 18.5175333646902 16.1875730137696
TCGA-A2-A0T4 12.457379702152 16.9019291946304 16.0466859690407 17.0836509640391 17.23668064578 15.8441384259607 19.4092004817116 16.1849258007575 17.0958947633173 19.7104278354546 18.8236734431493 18.4394255371682 16.1350144668912
TCGA-B6-A400 16.2729937461869 15.0238472863413 15.2080081698233 15.4918398726697 14.152688115844 14.5880247683709 16.7248664782023 15.6765125789427 15.5173977602187 17.8079317505468 18.8563266277647 17.6583881961427 15.7074568619303
TCGA-E2-A576 8.37267224034015 15.0089366163675 14.6251084389352 15.2101589900456 15.3252619654717 13.5761537243459 18.0144860488407 15.8462603640733 16.2217674228291 17.744432700069 19.0731304527655 18.5502138187414 15.0091958387907
TCGA-BH-A0WA 15.9814073785421 17.3222803002831 14.6041692513015 15.8508878755606 15.1312146480772 14.8590632667881 17.3048063100252 14.8279482580389 15.9810500792159 18.1716632766312 18.5432874929039 18.0982003744661 15.9919890263884
TCGA-A1-A0SN 15.2402991474185 18.5151574221194 16.9406532002453 16.4092065297818 15.812092032185 13.4893032464239 18.6678195539163 14.9695282407711 16.7432336970987 18.7665730075031 21.0013284399282 18.979392278666 16.1737908265974
TCGA-A2-A0T3 17.3221524442235 18.3336074719183 17.0003497221104 15.5506805139079 15.6675786511232 15.7275685248866 18.3483992692607 14.844753458443 16.0682782388994 18.5381581634268 19.7723507116645 18.2071024168977 15.6417109170986
TCGA-BH-A0AZ 14.4457474599382 16.6559671041393 16.1248839329601 18.1847366811738 17.2662420177759 15.0777542032278 19.3602924080079 16.3792264465156 18.5541859488225 19.8420245849004 18.7797807076473 18.1043427624873 16.1654397001108
TCGA-A7-A4SE 16.6547352277556 15.4802090243531 15.0505743762396 15.5844335947631 16.3103131857632 16.9010792678395 19.0112997961327 15.0854730685796 16.5346986467615 18.5181880343626 19.0257689602006 17.9381542033465 15.4742774413507
TCGA-AQ-A1H2 16.8945638126963 17.4807844978676 14.5237319823189 14.2551933662373 14.3169212847744 14.0520973404697 17.2980813421934 14.2639922314311 15.1278669673975 17.6247584146649 23.1499388412282 18.0597054445208 15.9240836106128
TCGA-A2-A1G6 3 17.597244610981 14.9848582122521 17.012972277074 17.6727736076396 15.2725332499332 18.6884096047571 16.2672757645199 18.2964541915186 19.3670397087544 18.8603408097735 17.5090301610388 16.0196900458277
TCGA-A7-A13H 13.3915654847087 17.0327694298929 15.126846418507 16.7199397421487 15.7638936620456 14.8904969234557 18.7137837272093 15.7527738976171 16.6433492969872 18.958357635498 18.7153548343716 18.5286700629913 15.6926518925397
TCGA-B6-A0IP 14.88103829831 18.3748997861769 16.2090328025528 15.332197623864 15.5460195484069 15.810999741539 17.8617270086046 14.9743098896112 16.3714832872728 18.4142182564707 18.5079224711585 18.3425856368765 15.6055904922355
TCGA-A2-A0CZ 16.5316827664618 16.1447058203945 15.0610913013779 17.3803613587873 17.0605057036407 14.7406498606791 19.6627852478136 16.354877096312 17.8942711514538 19.5838271072514 18.5418802635213 18.4137292088179 16.2652834668796
