X8342 X8359 X8354 X8290 X3018 X8337 X723790 X8468 X8370 X50511 X8338 X8334 X5932 X4001 X472 X10735
TCGA-A2-A0CW 10.6456319977337 9.93846472499147 10.5368517815088 3 9.09630747324492 3 3 3 14.0258050676272 9.64571350530053 15.1596304334482 18.5783033929725 16.7376325931358 19.8661655355327 14.7316880837444 17.2669364186009
TCGA-AC-A3EH 3 11.2330492307772 10.8369775236494 10.611153269567 3 3 10.3827677141256 3 11.1048859636433 8.64011932572858 15.8837890670319 20.1820756448128 15.7566297523162 17.7821511387696 15.0695369582074 17.8674487013585
TCGA-A2-A3XX 9.9068949105241 10.1929609453899 11.3747899971989 9.57380105991973 9.34928258007519 3 9.34675376921392 9.21826663095213 10.602467768199 9.58086741753658 15.2537518529403 20.019014739604 17.1992067716996 19.2988599961337 14.6776903067308 17.9771894920857
TCGA-AO-A1KQ 10.3905481554759 13.6710545089896 10.2818776090104 3 3 9.86731927892634 3 7.74085088149436 12.6075399818058 11.580156112009 15.9631318221288 19.0049067266445 20.469089664091 20.0687664923649 15.1127407743023 18.7161593994423
TCGA-BH-A0HN 3 3 10.3879341956257 12.1549293494625 3 9.97315570315939 3 7.84371638215075 13.5821040967119 10.3384045259868 16.4550875203662 22.163023477071 17.257414841313 16.8629744278317 14.7892690608829 18.3299917488345
TCGA-AR-A1AR 9.40066159959074 3 9.29265813568662 10.0581049053377 3 3 8.84293601530071 6.79526900981836 11.2583312413291 10.4549427100661 14.4795890382113 19.6110687557664 17.7820406874284 19.3136834072351 16.8449482779726 19.172729951884
TCGA-AO-A0JD 10.0283112814752 3 9.91983386145085 9.69496326789154 9.47023716752765 3 3 11.1336537533594 11.5286864636125 11.2165321848201 15.9837116963234 20.0537616708338 19.0683144233804 19.5534668836568 15.1704609709962 19.0881199073918
TCGA-A7-A0CG 3 3 3 9.71484642364398 3 3 3 3 11.0648214758492 10.9619129741995 12.3277840939798 20.348951257853 17.2471070408802 18.0929429194545 16.2106545914023 18.8972461625404
TCGA-A2-A0T4 3 10.6838191055288 3 3 9.83786380466292 3 3 7.74722017960601 11.5520242219079 10.2389433199359 16.4424499343901 19.8191071769664 17.120210686187 18.8404671199902 14.9720187048498 18.4664293464733
TCGA-B6-A400 3 3 10.5196362671915 10.294076189562 10.6499198035872 10.6860699420034 10.0660033002414 8.54131544011055 13.5701798931681 11.6176010617239 17.3948388341995 20.0471208752513 17.3188365708744 20.1084358559083 14.4704994525087 18.1180672125998
TCGA-E2-A576 12.3602984491255 14.2319091606812 13.2499395938666 10.0329149311492 12.7963811632887 9.84370230702077 3 8.69025263994437 9.65762843037378 11.8395046694089 18.1573480967005 19.7776428530932 16.8813803718038 17.8960134745309 13.5394311811263 17.5326034539936
TCGA-BH-A0WA 11.875697953269 12.1633865937049 10.769901161646 9.55183713366766 10.9002934030199 11.933524379816 9.32482986044512 3 10.1678570842277 10.7203010891248 13.4249525530968 21.0098906941762 18.5731764692259 19.1993670499445 15.4503374185907 18.6273998633093
TCGA-A1-A0SN 3 3 12.279185705485 9.48124019501534 3 10.2835215386593 9.25436574397008 3 12.0890638175926 10.0678976447022 17.2270704610158 18.776269835746 17.1467125745605 19.82015310218 15.5540738107485 18.7318404944698
TCGA-A2-A0T3 3 3 3 10.9788207620227 10.7526973467876 10.2071554375214 3 7.11412282708838 10.2414973740672 11.6084236909029 15.3633899588474 19.9778330074178 18.9916876352383 19.0511196759363 14.8038539150854 18.3099899459888
TCGA-BH-A0AZ 3 11.6702354501537 3 3 10.8214927493777 10.8576629184576 3 7.73750148486721 11.9883817570679 10.6415456717372 14.0458838817002 20.7241817069994 18.3125862958226 17.5825859566946 15.523985816453 18.2027170602299
TCGA-A7-A4SE 3 3 10.5185604404888 11.2883942821993 3 3 10.0649296524404 7.97071281479426 8.35588697558881 7.36279500980063 14.0464491161375 18.0520468469428 17.0561900208292 19.995632069943 15.2013870425672 18.1553118774326
TCGA-AQ-A1H2 10.4844335186052 9.77780762786046 3 3 8.93675733855472 3 3 6.88164654416641 12.426583232799 9.62140959738319 16.1152594547306 20.5663328466466 17.0367068851021 16.7661915501756 14.5077705476158 18.5695654721354
TCGA-A2-A1G6 3 11.0860101919348 3 3 3 3 3 3 11.0829421437636 11.8587696347955 14.1517146199165 19.4179283054361 18.8135205989565 16.1668383681562 16.2749082172114 18.7901154392753
TCGA-A7-A13H 10.7454817098023 10.0380081092648 11.6330342480344 11.7278321745309 11.5013141311827 9.23106303405608 3 7.12766617819337 10.447236729683 11.2218337645604 14.2905985799157 19.9031193001734 17.5614360998347 16.8735581121972 15.3267595802217 17.8824625152917
TCGA-B6-A0IP 3 9.84463368417381 3 3 3 10.0278640458429 3 3 11.0567674466864 12.1479590947352 13.9031690023061 19.359351523645 17.8460873666847 18.4812648907215 15.5313513794963 18.4118139157723
TCGA-A2-A0CZ 3 10.6286233259987 11.2285403844798 10.0080758401858 3 10.812486732574 3 7.69385350323285 12.123324974293 11.3303822279004 14.2999590208314 21.395418681351 17.4886217118488 16.3791148080948 15.7796095392446 18.0475115060673
TCGA-AR-A2LK 11.2414598186984 9.95166972754784 9.55777086173016 10.3245054425537 3 3 9.10690369336887 3 11.8785559150821 12.7672176592766 14.975949458624 17.8501897818121 18.481997856096 19.9242010109986 15.9166918020235 19.2306652145117
TCGA-A8-A06R 3 14.1729524900088 9.88014424290297 3 13.1155887191467 3 3 3 3 10.6552616583744 15.9209747685281 18.0268878526429 17.1312460171354 19.0475325341618 15.7784980630972 18.3009966170859
TCGA-AC-A3YJ 3 3 10.3308049365422 3 9.88011884844836 3 3 7.78827776502955 13.2200388581295 10.1125213327032 14.9214136663522 22.0038394127426 18.9619785842314 16.7015346403465 14.8756200712121 18.2041741167811
TCGA-5T-A9QA 3 3 3 3 13.5248921312356 10.1112820296357 3 9.53239404298981 13.9137385313178 10.476767202785 16.1178660495067 22.1044389272203 16.3328934275225 18.741421374795 14.2895228224243 17.1287294591989
