X4852 X7200 X5473 X4161 X5196 X6366 X2925 X4160 X8484 X2532 X6363 X2864 X6360 X185 X7476 X89780 X6019 X51384 X6869 X846 X50846 X2867 X2587 X2151 X3576 X5733 X64805 X5744 X147 X1524 X554 X146 X3357 X53829 X1910 X187 X9934 X1902 X2149 X54331 X2791 X351 X6915 X10161
TCGA-C8-A130 3 14.797620019432 3 9.2301416498412 3 15.9829334269568 17.2065871101979 7.92329110109482 10.9915854186547 15.8544341215183 16.9061769328931 9.01033400500861 10.1411173348322 12.7216744725238 8.04561795113089 7.14347997041116 12.7185892541777 7.95335156449409 11.3369155128941 3 12.9816089293873 12.2649011516301 3 17.2162440465305 12.9194435240108 15.2063933182465 12.2427506610016 14.3952844695211 13.8590750953224 14.018280861964 12.2109656006839 13.3021351315409 14.1725198308528 13.12314862154 14.7975281275054 18.321047740798 14.3761279203 16.281458501956 18.693657639278 15.6931072196799 17.7659120162051 20.7535811378894 15.1241931917937 17.1643678347109
TCGA-A8-A0AD 9.01412425072591 13.2475970844437 10.9477030992986 9.48851955408794 3 12.9883565602439 11.8351001964681 9.73508132768494 3 13.6572694943784 13.4079011088791 8.69255251817151 3 14.4060909796246 3 8.92983942808178 14.1046302927641 3 10.641898363981 3 10.251250255943 14.6765662344826 7.57050058508774 15.1010653920054 14.5336448307076 19.4290834815211 16.8050228367673 14.0485767547292 11.2501434605188 18.8116160273897 11.3047419853859 8.4265751395488 14.4203144067437 17.2765801181865 14.9902364744758 16.2445780048448 12.5110270586443 18.7665162259405 18.1393489251781 16.2536436464815 16.6691064624656 22.1329411809543 13.784220489445 17.5623761382458
TCGA-A2-A0YL 9.51136874772423 10.7214774666373 3 8.998938923588 3 20.4734202325996 19.4763673810912 3 8.20597613705272 18.7010052669861 19.1638889842726 8.77968834962297 11.386013805331 15.992286989425 8.53508919973812 9.16700201242959 14.3088231177892 9.49486625424835 14.6625036357203 6.12053438731714 12.5954520834853 12.2754044146297 5.33178253608893 19.8600306519615 14.7465164621492 17.6599274336081 14.9337930775013 16.01134144654 15.293844707166 16.9363672920447 14.0399137584287 11.3603031982046 14.8751020404514 15.7897693133715 16.1224020882186 18.1758187973491 14.5494223431178 17.553583664837 20.2480514558465 16.104452905235 17.8662781911967 22.4019726525306 14.2792092528791 17.8371669280906
TCGA-A8-A09G 3 3 3 8.91190088861803 3 17.0641736099851 9.93720615934584 3 3 16.4184735247732 18.872691911182 3 8.5177150624981 11.8506984950314 8.13489881307506 9.74985853714123 10.2657219596327 10.4978560499936 11.9274678876072 3 12.5850042819734 15.6524402109496 6.10243175796887 17.3809204809935 12.3531788964509 13.2424917349741 13.4822210489543 16.794730230904 12.6219630838949 15.7132402375187 12.5248626990087 9.15039388044851 13.3699362565451 14.7761261417684 15.6972409149885 18.1546469083075 14.0437521937042 15.0525579796547 18.3338148224468 15.6207993839265 16.4700211057517 22.4247612577892 13.588757273851 16.8865522401887
TCGA-A2-A25E 3 13.7871964121792 3 9.52762599857527 3 18.076366759513 15.5696874558952 3 3 16.4698462941924 18.3727646188214 8.15989114216679 8.55607330949705 19.139804259911 7.21244568893575 6.87726859195845 13.9966649287069 9.44616056436022 11.9222871152341 3 11.2859201345587 14.4911010498364 3 18.861747090269 15.3904426994944 17.0216508318232 12.6826360596905 15.0956281529278 13.0232907081875 13.5353953120295 12.2596066797072 10.7607715224424 13.6845596028831 13.8727179671765 15.4217398544538 17.9196142934222 13.8463548573871 17.0001009240565 19.2227505943406 15.4439410231683 17.1300147257891 21.3914393169293 13.8798519580879 17.0416833673812
TCGA-LL-A73Y 15.5926473706893 9.83557514090845 9.98045726157454 3 9.23170802500014 18.9522069844384 10.3533535842425 10.0812353288041 8.31140988056828 17.777962828891 19.7841934890562 3 8.71042146449718 13.7643894753778 8.89930849640921 9.75390171078685 13.1767554063581 9.79275894366208 12.5217412804079 7.13699972564604 13.2335617235455 9.97779073131969 3 18.6216280035682 13.7924366752316 14.85826960279 14.0505873371525 14.2455541317111 14.8578878140881 14.9818097020036 12.8834287540713 11.7629493307862 12.0752088516184 15.4065275825198 16.5706697327234 18.5474675734514 14.3674528199623 16.4470948399775 19.5254763191692 16.5208784390719 17.8273483679995 22.3919876451743 15.3610128624352 17.5036240475342
TCGA-AR-A1AK 3 14.7323458531324 3 8.26595349717547 3 18.6358664639843 18.3477943507567 11.218891382543 3 19.6038589535233 19.8269983109599 7.48585215907191 11.4152959060047 19.8335979955249 7.49873771544108 8.68980248804337 14.7828176600698 3 15.5334593083337 6.34548556333416 13.0690834584881 13.8294097004422 3 18.6848167937797 13.7295212727369 15.0617650488335 13.6656003924887 13.5602155247454 12.2928069027744 18.1001898468934 14.0564509110276 12.105054796637 14.5060336684842 16.2279833058269 16.5949775914389 18.6815488831697 14.8568546349515 17.1488284436695 19.6768699833971 16.2973890571548 18.006767297466 21.4330186340164 14.8195103394119 18.0040483468548
TCGA-LL-A740 12.5635906689341 9.36109460203522 10.8178715952564 11.154405641715 11.060273338309 19.1174912762487 10.6094246695939 8.05033661658474 9.54763236675096 16.5659751939074 17.1234188287873 3 9.54065922254016 13.4047545056384 10.2573837166614 8.80169198150135 10.7174276426977 8.08048254033584 10.9839140259793 3 13.0002998972809 11.7297159250988 6.51057167426321 17.9808847565625 16.528949566831 15.9053123381642 13.019305263171 14.6019480771335 14.2124827620652 16.4350174971188 12.2310846011843 12.0199203915704 13.8047837068752 15.5427869318468 15.6262357858093 18.6684138245663 14.0314304230705 16.0873247346319 19.306701306271 15.9148628073892 17.9037054683041 21.6150119338875 15.2035210495728 17.1290482274508
TCGA-A7-A425 10.259917956964 12.5646487985517 10.6230689606361 3 10.2834547509991 18.753603317273 16.3539569794196 3 3 19.9545945240469 18.9428669456493 9.93506842047774 13.0311664295478 14.5172035057842 7.42073527776113 7.08266307337489 14.5509299050213 6.93875661547467 14.565357334529 3 13.5488655502506 15.9550536848784 6.86955481703946 17.2877222066947 12.4510780630581 15.6726332076659 15.3598916654858 14.868244190568 13.6571410289221 17.0563764631495 15.8891303830058 12.0234909290761 13.755301217951 15.8115469333537 15.5429926832069 17.7233895336794 12.8625553587203 16.8282692257212 18.374957596749 15.8176343087685 18.2331393986663 20.5871907577256 15.194560079488 17.2968692785858
TCGA-AN-A0XO 3 8.86420158786354 3 7.88734966610768 8.98858103240754 15.3526105430369 19.3477784592086 3 8.07146679219746 12.0245478725438 14.029268136423 3 9.77109735874478 15.7070438117396 9.75710637428725 8.71416095547558 15.7238286594319 7.5939941301377 11.2272706748953 5.99870466972823 10.6145290264028 12.8910416541541 3 17.1558188560961 14.1622212886599 16.5867422697773 10.1612421465355 13.8583739902278 11.7661169292533 14.3289908619475 10.2599772235193 11.0115632169578 14.0603019472036 12.3884059586257 14.5674489002004 16.4275991872249 12.9560710424259 17.1150969390102 18.6081085535375 15.1389362534704 16.9902553312611 22.6692886561504 14.0880636103992 16.038471827702
TCGA-AC-A3W7 8.37300812776226 11.0478161986794 10.2971909914762 7.86874670460301 3 18.0863350320131 16.5097168629565 7.54578160727748 9.60847660771531 18.5261096578556 17.5344005786427 10.1903610799378 11.9431375072808 13.976088879333 8.06768141755486 10.4826005637038 11.7753406517526 7.57553879831702 13.7717005859933 3 13.4568140426428 14.022960167035 5.20681128382618 18.4760842801038 13.8290184757027 16.0704128222855 14.3363001285202 14.5722976922252 11.5952735813183 16.9370396649631 14.6691244517013 11.0660977683578 14.4185330038488 15.3186204421183 14.4327603583372 18.2464403973784 13.0847877307078 16.1963815914933 18.9051848995798 15.2585327552056 17.4201123052934 21.7792399467003 14.7874827231964 17.0191293818101
TCGA-BH-A0H5 9.72968040833726 17.5410913372258 3 8.23556704320507 3 19.9728490525032 14.7159602583339 12.1114450498042 3 19.0537050383738 22.5083257157331 7.45605329034205 10.6096556608989 14.6449779644507 10.6573542899331 8.08844902849777 13.972046304433 12.5086725660911 14.6242122362715 6.31737966776956 12.9675860407295 13.7039483244934 7.61490376207265 17.9857149287427 11.6635527682103 15.4113911510849 14.8116943550894 18.8019423669393 13.6081467014614 15.0586789775719 13.7258591028472 9.93621400906952 14.9301529832343 17.4837474649309 16.7102327868012 16.5041170690735 16.3780914761584 17.5593185352815 19.1513697418374 17.4929337314492 17.320466706491 21.428136163544 13.84418516138 17.7040115920839
TCGA-C8-A1HL 3 22.3426157113743 11.2045150134562 3 3 15.6372478092327 13.1840561919949 3 9.93214229968757 15.7002362207361 14.7804945452247 8.94574927134275 10.3372181161923 12.9188643940812 7.0269655971329 10.3947371411824 12.7784245341279 7.49098304999214 10.4313227299427 6.80531586638851 13.2662245089057 18.9717376971361 3 18.8808703151759 14.0753881626266 14.2001546094653 12.0462283107018 13.8351480391572 14.2645644558943 13.7694186662062 12.0631406232274 9.98377543471711 12.4888819701809 14.1563963576548 16.3517391465454 19.6609579235722 15.9908578132519 15.6708430011338 19.7850110463093 16.6778268103793 18.6894485921464 21.4372204087651 15.4435279851495 18.3362191849006
TCGA-A2-A0YF 3 17.8195148684228 10.2203836030155 12.2030728555795 3 15.1387275579592 12.0040436965313 3 3 17.1940053151495 16.2406014835384 3 10.6683668016519 20.8758332917423 6.12264251252565 6.70494648569908 14.569675886192 3 13.5483058686804 5.9145763965263 11.3629640095729 15.0156921939367 3 16.4315063468731 14.731708376323 17.4394855485521 16.3161222719675 12.5777009051791 14.6115488853523 19.1480109623032 12.1564941117942 9.0060170437418 11.6783369540521 16.8784154891578 16.0411459104129 18.091643378495 13.8490490771426 17.3995760743705 18.4316016708606 15.9321080034935 17.5913112994758 21.0291357183451 14.7424838811556 18.021068487084
TCGA-E2-A15J 3 9.16804417190836 3 3 3 12.1229764199224 14.9657495056804 7.86104796548015 3 14.1595456268917 14.3377554699079 7.40801153354745 7.79735865270892 18.4603607479733 3 9.01747893712096 12.282812738284 7.8910637295894 10.7305227810064 6.27213767506812 9.19858156125919 11.7684943408291 6.33323911893376 14.6399486583809 16.4439659607769 16.5054860780264 13.2082018543531 18.8912064905782 12.2113590668035 15.9968969222737 7.45648390710685 9.6658957426337 10.9702885716685 13.2106630936146 14.3763186242159 16.3382794028086 12.226120792339 17.4963699940666 16.9049464984517 14.2877945183734 15.6536476640317 21.8078922747815 14.15320058484 17.3432631008005
TCGA-BH-A0BW 3 8.54632187811261 9.99450071557706 3 9.24567558241126 16.8031179006803 12.507483845449 3 8.32521011981196 16.0901530969426 17.0381821011611 8.3270350701744 7.75134146864372 10.5161568415123 6.44325573217942 7.99329263734391 12.7907552224005 7.84493684735517 13.231740459023 7.15035389927712 10.7228485592282 12.0420872202784 3 16.0546941792952 15.5089293067925 11.9725215813802 14.2199451969155 14.5252642498353 12.3478011177865 14.1137527135534 10.3503348898162 8.06271729568183 12.9770875731762 15.4505098361791 16.9942602699178 16.6110263752398 13.4333307221092 17.3040787084512 17.7805198818299 17.0517217834194 15.5990237731636 23.3324932068115 12.8262865486457 17.7175951550453
