X63928 X1852 X8823 X2253 X2264 X8913 X7042 X2353 X2247 X55799 X10125 X2252 X10912 X3315 X7043 X22800 X3725 X5924 X2122 X4214 X782 X408 X23162 X6196 X5154 X784 X5155 X57551 X6416 X6195 X5871 X207 X4790 X6885 X10746 X5908 X1386 X1399 X998 X5566
TCGA-C8-A130 7.42779677010587 12.947141677576 11.0641914720799 9.14337248822027 17.0085801804727 9.73790699566124 14.7743684963872 18.197618045485 13.012380034779 10.3964977092444 15.6917009716578 13.9540029985247 16.7709555808862 22.1176252445726 18.1732314128646 16.5917829724819 18.9743384619235 14.5692089871628 15.616279047707 16.9221379555939 15.6614724428605 17.4231972613926 17.3839976603124 17.0184298164119 16.7601010048874 17.4108332219264 18.4476019312204 16.7806986548648 17.3706947913299 17.6334360339515 17.0008920900551 18.7746904024251 16.9820620178179 16.6330301414192 16.6347388386281 15.8848922227625 18.5224387449315 18.488888868222 20.6866352665589 19.3135360539366
TCGA-A8-A0AD 3 7.46666347537611 15.15075160293 3 14.7205444944655 12.1959524485002 16.0685485610832 19.1672114379652 13.389879428016 12.3521266939178 16.9705230359067 13.7970507074832 19.0025560424054 21.3290894331739 20.1964610189202 14.5853654444274 20.5519902703284 15.4784841741442 15.0684371308859 18.8994853677983 12.1780767244029 17.9437346853448 17.2362974555153 16.2350219309654 15.7767490275024 16.0060708127933 17.9723569984787 17.243821229732 18.4708705570054 18.2786739304065 15.1763456386822 18.4882995219545 18.8138249563071 17.7073704163312 18.1649580768061 16.567742166187 18.1069350362039 18.8543378563545 21.3547348980437 18.4846746560628
TCGA-A2-A0YL 8.16533972156289 12.1916040141672 12.7434208376443 3 13.183072573942 12.8868444174208 18.224421458387 21.683444370661 15.6542897494858 13.3042059852081 14.7605780910513 15.4003578660453 16.6251836255671 21.3041678657186 19.1288598560336 15.769005389208 20.9110294271666 14.6227248830252 15.4818207842645 19.5752315696901 14.2820390967988 17.5446058541681 15.6383778256275 17.3205495708879 17.1594101969269 17.3496352856458 17.772875965803 17.3588144990311 17.2979807774868 17.2992892715499 15.8846030639387 18.0181170059042 18.1688000006503 17.4415257259516 17.4334404944832 15.8737158093823 17.8331160953578 18.8917600937598 20.6929653694686 18.4920909571929
TCGA-A8-A09G 3 9.41721163983058 3 3 20.6698514428989 10.2662828368821 12.8076772415114 16.3212344741462 13.250339216307 10.0755890562677 15.0898984129483 14.4181173191927 17.3973733757758 19.0975580215728 17.2946599236395 15.7100943952819 18.9369866789159 14.3345926537533 14.3385053755211 19.024206783843 12.0493647648623 17.2215905910747 15.5708008955973 16.7911380922117 15.2657772360087 16.6427496214345 17.8097518709602 17.9076507828958 16.713461626152 18.553681252668 15.836010175343 19.6438168403384 17.6382753653896 17.3339282149958 17.4148285649149 15.9670595915188 17.4200597411681 18.6157256385659 21.0351775169529 18.1983227049013
TCGA-A2-A25E 3 8.47230254278853 8.63435361239757 7.88851126462642 14.1753192848064 10.5477401976122 14.3725613237604 20.4706027460041 13.4386623545965 11.2786344207878 15.7391809136728 15.298525339888 16.9388688706978 22.9011470663963 18.4218573049018 16.402398982225 19.9302677480166 13.5085736882191 14.5657789081586 17.3462002868822 14.956569628355 17.5406776634051 15.9474720757193 15.3452824230263 16.2428354045154 17.2613183087214 18.8006318000626 17.4822704136027 17.7573757975446 17.4858483500098 16.5170981626293 17.1616170311389 17.1125416049885 16.8739898681279 17.6541328563497 16.6861844960012 18.4017516968355 18.6853884537188 21.5523779972326 18.6980769058058
TCGA-LL-A73Y 9.83052326158177 10.4795326557131 12.2884071394037 3 14.0843070244994 13.1494647420205 16.4229199129533 22.6916398683163 18.6110781921136 11.0742971373884 15.3549363096478 18.0791270322042 16.5540751503338 20.1502849282293 18.1707805491656 16.980329445785 22.3692071539327 15.5125237834728 15.0115365375014 16.5302093064741 15.2266599483471 16.3366034465189 17.1812781816247 16.9412720147284 17.3279457848076 15.7446960199324 19.5134804895979 17.1757485969318 16.9797192179824 17.6502146349997 15.9475882826589 17.7983356389775 17.7498513762639 17.8902188092132 18.0510881099009 15.6357170114912 18.2893392445439 19.0892236761799 20.1407730405734 18.4368980162612
TCGA-AR-A1AK 3 10.1655778977283 9.91801504305697 3 14.5019326687089 11.2366127149702 15.3327067995217 22.7064104451266 15.5793225953724 12.5567428132326 16.7381838133693 15.762659358803 16.3396605185019 21.901574409776 18.6974062842729 16.0502744758571 21.7150233036603 14.8565403508313 15.6518368354166 18.3020490175868 14.9771855867617 17.1258708995356 16.7679720747334 17.0722506385063 16.4760358515997 15.6834737765619 18.0085995149941 17.8946896055369 17.7379346077825 17.3071912135981 15.7568337457937 17.8797688545459 17.7819582313028 17.2549585182806 17.3376254946238 15.936859439566 17.6482599185166 18.6104792969908 20.370380582035 19.1321712210009
TCGA-LL-A740 9.82505149842845 8.87919275443701 10.6124040478496 8.29132048707614 16.3474471148353 12.4986122560818 17.095422511914 19.6436170688608 12.4273356641578 11.2243653089821 12.7210895410706 14.8153993158743 18.9266569802757 24.381159102114 18.4125173286 16.2812402855107 20.0136801626311 14.9830599952388 16.03713597264 17.4560600078968 13.4088315802303 18.309055083663 16.1971835622718 16.6753049646952 17.3230310765196 16.4315753548136 18.6347521760891 16.6015797813311 16.7516817244827 18.9324662735135 15.948257382669 18.9771189358539 17.8457062779056 16.839773611532 16.9574003903026 16.0916468021749 17.5932578831176 19.0493586831507 21.2429470396243 18.279773402801
TCGA-A7-A425 3 12.16375769692 12.4114015083611 10.6504309169377 14.615370264417 12.7038213239684 13.4309052745147 21.078851698945 15.0536898068904 13.4942877998107 12.4485461958889 14.6949909084487 19.6152441472041 24.5051283655594 18.2339867675433 15.1429578049392 22.021136547449 14.3539397742957 14.9306679547813 17.9559791604948 14.770447066011 17.6226854330842 19.5148971396287 17.20413148176 16.3420877675697 18.2690833830162 18.1724404706472 15.6103629902428 17.016077057546 18.2358747310269 16.8648669559679 18.9202761873885 17.845342639962 16.9620203320637 16.04198139605 15.531930516819 16.4587703870188 18.2078482618517 19.9852919436949 18.4199934561384
TCGA-AN-A0XO 12.9648502888325 11.8558718703173 12.4248245608515 7.80243440155259 14.1766517201506 11.3210469654611 17.3877351003373 18.1111932784631 12.3750705675448 11.1492505251644 12.465132540771 14.9936290413152 17.7349870790534 22.4828166223875 18.0348621101605 16.9423938337409 20.2289416468542 15.3046054144867 15.7121682503031 19.7563445264446 14.2546410197841 16.8765467309796 15.8661267488865 17.1945022697501 16.7481416212631 17.7293201668868 17.9008774671938 17.416456870155 17.0167821849382 17.9927270906387 16.5498891781245 19.2170342049203 18.1808790157158 16.9075779471668 17.394819920148 16.1353526802543 18.0925517320147 18.2806244538438 21.0451301777587 18.5581792941473
