X8823 X2253 X2247 X2252 X80310 X8503 X5154 X5155 X207 X369
TCGA-BH-A0HW 8.59374407326902 7.84847445582232 11.8864055910653 10.645835016372 16.0896366601176 15.8308541278585 15.8730010441 20.0838928703009 18.4167874344729 18.331240019648
TCGA-BH-A18S 9.32483798067032 3 19.988728916443 14.5042713800932 18.887375107081 16.2760020529295 15.9721521579235 17.7858311546198 18.1862390560455 18.6463032225399
TCGA-D8-A27E 10.1249580521655 7.81573156675942 18.4305609007611 14.2491281743146 16.6032999753586 16.9767240317885 16.2715779717999 17.3654876380546 18.5321073220957 18.6679147148628
TCGA-E2-A1IH 15.7333988608696 3 15.1289137340186 16.2629305560199 17.8528686578203 17.9096075515413 16.6803444331749 18.138964206621 17.3602928694928 18.7109053641984
TCGA-A8-A091 10.8854205018966 3 13.1921938005879 13.4154446083606 16.6135013310786 15.2118354678718 16.7160316493222 20.1624191244623 19.3178210873771 18.0722485195471
TCGA-A2-A04W 12.2933922852138 3 12.5771543229141 15.1651312617743 15.288532432121 18.9201465665699 16.4612103376547 18.1398317305305 19.5896859301675 18.9061160302836
TCGA-D8-A1X5 10.1571994580143 3 12.433317804552 14.6935066327776 17.669236656154 16.1835519711617 16.2466644922092 17.0967602707767 19.0189462649585 19.4853199520721
TCGA-BH-A5J0 13.9461133596158 3 13.5744559281355 15.2043853434049 16.7919980589572 18.1206605555517 16.4705824525854 18.4815393606005 19.0236391298485 19.5904687249062
TCGA-A2-A1G1 7.49650065650349 7.72085214031306 12.7525986064819 14.5329510879324 15.7101816612438 19.1266812649443 16.242391147592 17.7660915687337 17.1106440614316 18.6617080955551
TCGA-A8-A097 11.7991976676671 7.62995085948226 13.4596651017157 15.1269566546945 16.906513456466 16.4665599907942 16.7250263090982 18.7314530139285 17.4784527432378 18.9314429462857
TCGA-C8-A130 11.0641914720799 9.14337248822027 13.012380034779 13.9540029985247 16.5478558561414 17.3047774983855 16.7601010048874 18.4476019312204 18.7746904024251 18.8807505783202
TCGA-A8-A0AD 15.15075160293 3 13.389879428016 13.7970507074832 16.2127102297981 18.4944693814345 15.7767490275024 17.9723569984787 18.4882995219545 18.4753880609603
TCGA-A2-A0YL 12.7434208376443 3 15.6542897494858 15.4003578660453 18.0750606468338 18.2985765182075 17.1594101969269 17.772875965803 18.0181170059042 18.6083057196699
TCGA-A8-A09G 3 3 13.250339216307 14.4181173191927 16.6853495563714 18.1869477228992 15.2657772360087 17.8097518709602 19.6438168403384 19.0197368177958
TCGA-A2-A25E 8.63435361239757 7.88851126462642 13.4386623545965 15.298525339888 17.7007253816238 16.9523170916353 16.2428354045154 18.8006318000626 17.1616170311389 18.202339673516
TCGA-LL-A73Y 12.2884071394037 3 18.6110781921136 18.0791270322042 17.674103408633 15.8155023179107 17.3279457848076 19.5134804895979 17.7983356389775 18.1893406652554
TCGA-AR-A1AK 9.91801504305697 3 15.5793225953724 15.762659358803 17.6317304610336 16.8977320278779 16.4760358515997 18.0085995149941 17.8797688545459 18.856323710693
TCGA-LL-A740 10.6124040478496 8.29132048707614 12.4273356641578 14.8153993158743 17.005071086696 17.9359030307546 17.3230310765196 18.6347521760891 18.9771189358539 18.6794731198981
TCGA-A7-A425 12.4114015083611 10.6504309169377 15.0536898068904 14.6949909084487 16.1836766628069 17.2821791463227 16.3420877675697 18.1724404706472 18.9202761873885 19.1286394184036
TCGA-AN-A0XO 12.4248245608515 7.80243440155259 12.3750705675448 14.9936290413152 17.1994180316847 18.6805400990956 16.7481416212631 17.9008774671938 19.2170342049203 18.759800928779
TCGA-AC-A3W7 12.2538281526616 7.78387113385947 14.4816929997106 14.3704108057857 17.0694889159228 17.6553510052166 16.8635157903711 17.9189966308667 19.3527273644559 19.2778896451879
TCGA-BH-A0H5 9.47608952655981 3 15.0098517120757 15.3364078547957 16.7724715037753 18.0713140081785 15.8084800782531 17.4335980057387 18.1341421608442 18.9177154323129
TCGA-C8-A1HL 10.9988163524618 8.67075621489069 13.8141927100315 14.740514096925 17.1133452573653 18.0463770265701 17.6076738622403 18.7382319122991 18.9895996922305 18.7362977275138
TCGA-A2-A0YF 10.2362188312497 8.68160053427282 13.3712826520105 13.6651337326612 16.7811152461209 16.8894284879694 15.7214791950331 18.0698587297607 18.0185261957053 18.9791453839167
TCGA-E2-A15J 12.9957923735342 3 11.1493410770767 13.0422351132601 15.8593713591385 18.1480861108403 15.9324371935282 17.5404985646571 18.5312275084215 18.8179916071712
TCGA-BH-A0BW 10.3703990271831 3 17.735109483243 12.6487264574101 17.86728923201 17.3229257035192 16.4902177334695 17.7160887833753 17.329316385854 18.3401501054929
TCGA-A1-A0SJ 10.2035090348691 3 15.8186226512217 15.2368627054418 17.5921739229065 16.9069696267214 16.806482235425 18.6550398220397 18.5311892274098 18.2268521225554
TCGA-A2-A0EY 12.3325579722855 3 13.2937134735027 14.9746180790667 15.2114299727398 16.9441919508511 14.8025971198061 17.7442180194982 19.2309569015164 19.3579082384159
TCGA-A8-A07R 9.93152754065144 8.85679469180239 16.9710480621781 13.9303611062304 14.8460913618902 16.9366279223237 15.2810493409471 17.8416726280216 18.0658274149146 19.193082477587
TCGA-BH-A18G 11.3700719309095 3 14.7264068569745 14.2283692825638 15.4873912935789 16.7711849824727 17.2013701094684 17.7532762132952 18.5717770303022 18.0158150151057
TCGA-BH-A0BR 14.2020580224695 3 13.4485163518738 15.652491651383 16.4488503053329 19.0014146822174 16.6043943350741 18.0213078367865 19.7099842218528 18.6532548596773
