X112714 X114 X113457 X111 X3357 X80310 X1902 X196883 X7846 X5154 X5155 X10746 X5566
TCGA-C8-A130 15.586676754882 3 16.2206180799925 13.1566615729758 14.1725198308528 16.5478558561414 16.281458501956 15.5317582755369 20.8761818109635 16.7601010048874 18.4476019312204 16.6347388386281 19.3135360539366
TCGA-A8-A0AD 14.2930667279276 3 12.6578515948421 16.2953745064563 14.4203144067437 16.2127102297981 18.7665162259405 13.7134765652971 20.3100752461341 15.7767490275024 17.9723569984787 18.1649580768061 18.4846746560628
TCGA-A2-A0YL 13.0752032002716 7.45354325003665 15.3518002391719 14.941930210531 14.8751020404514 18.0750606468338 17.553583664837 15.1414600632413 21.0802749785285 17.1594101969269 17.772875965803 17.4334404944832 18.4920909571929
TCGA-A8-A09G 11.1280709470632 6.8187630498853 12.8230556022253 16.5275317578839 13.3699362565451 16.6853495563714 15.0525579796547 14.1867559101127 18.1405195326673 15.2657772360087 17.8097518709602 17.4148285649149 18.1983227049013
TCGA-A2-A25E 13.9128777941558 8.37214773696432 15.1672248433607 13.339042320323 13.6845596028831 17.7007253816238 17.0001009240565 14.3874474467297 20.0499250136772 16.2428354045154 18.8006318000626 17.6541328563497 18.6980769058058
TCGA-LL-A73Y 11.4492952745107 9.51032375515347 12.5111529423939 13.8441598421685 12.0752088516184 17.674103408633 16.4470948399775 15.4969738596611 20.4194606262804 17.3279457848076 19.5134804895979 18.0510881099009 18.4368980162612
TCGA-AR-A1AK 11.913583994448 11.1455136812917 15.5671815365091 17.0149279162968 14.5060336684842 17.6317304610336 17.1488284436695 16.4699058142121 20.9507217525926 16.4760358515997 18.0085995149941 17.3376254946238 19.1321712210009
TCGA-LL-A740 15.3753728390573 7.24512045384381 15.5742800172484 12.1348217046752 13.8047837068752 17.005071086696 16.0873247346319 15.2699349083869 19.8890210560091 17.3230310765196 18.6347521760891 16.9574003903026 18.279773402801
TCGA-A7-A425 13.3824948448494 8.58653319522621 15.0606797226839 15.5837121266708 13.755301217951 16.1836766628069 16.8282692257212 16.3113275299364 19.5191063205355 16.3420877675697 18.1724404706472 16.04198139605 18.4199934561384
TCGA-AN-A0XO 12.0086177888297 5.87427915478252 12.955802883884 14.5426317839924 14.0603019472036 17.1994180316847 17.1150969390102 13.1223798136542 20.8199267984003 16.7481416212631 17.9008774671938 17.394819920148 18.5581792941473
TCGA-AC-A3W7 14.8892399292583 6.75454584410486 14.5319461359196 16.558081497796 14.4185330038488 17.0694889159228 16.1963815914933 15.6656379865368 20.0180448404087 16.8635157903711 17.9189966308667 16.712783982807 18.6360652958727
TCGA-BH-A0H5 13.9732103413446 9.73578090976983 15.5211861655797 17.3000841642953 14.9301529832343 16.7724715037753 17.5593185352815 15.2455560457781 19.6632756311366 15.8084800782531 17.4335980057387 17.0840403929941 18.4987669076571
TCGA-C8-A1HL 15.2066108784696 3 15.8296388900112 13.9819601820578 12.4888819701809 17.1133452573653 15.6708430011338 15.6599559655402 20.837046927931 17.6076738622403 18.7382319122991 17.3830152058966 18.8167222083532
TCGA-A2-A0YF 16.6385731815562 6.68310606124205 17.3000044672474 12.437333244637 11.6783369540521 16.7811152461209 17.3995760743705 16.9242057193111 19.6145113813267 15.7214791950331 18.0698587297607 17.775667419987 19.0131731118139
TCGA-E2-A15J 12.5678752756372 7.61637788924084 13.2294065605051 12.8828423933526 10.9702885716685 15.8593713591385 17.4963699940666 13.7977929534277 20.1118050894798 15.9324371935282 17.5404985646571 16.9744572818687 18.9639376749251
TCGA-BH-A0BW 10.2060864461965 3 12.3486662286029 12.5995235539737 12.9770875731762 17.86728923201 17.3040787084512 13.0430818405631 19.6953978372121 16.4902177334695 17.7160887833753 18.5460192380229 17.44037667576
TCGA-A1-A0SJ 14.2368071249963 7.10504225651548 15.352862066682 15.9665841414674 13.2094462211652 17.5921739229065 17.0369237762199 14.9179564001314 20.6917193701546 16.806482235425 18.6550398220397 17.4203889876627 18.4729307651209
TCGA-A2-A0EY 15.9269729545174 9.55406642718453 16.7387571446399 17.0380979177538 13.9017777925214 15.2114299727398 15.7116057910179 14.2659691945051 18.8812102704212 14.8025971198061 17.7442180194982 17.0354104785793 19.3405143620118
TCGA-A8-A07R 3 3 10.4595054971894 14.7296215277156 12.3644836875304 14.8460913618902 16.3568558794686 12.3438106321253 20.9599421323228 15.2810493409471 17.8416726280216 16.7119928916124 18.5114213698996
TCGA-BH-A18G 3 11.8377013413036 11.6379220671582 10.6091221824642 11.7985258010412 15.4873912935789 17.5633752625034 12.1085019738147 21.5510661128622 17.2013701094684 17.7532762132952 16.8421533739422 18.7224729398465
