X84618 X114 X8382 X7498 X111 X5169 X956 X9060 X93034 X4881 X5136 X196883 X5153 X2987 X3251 X9583 X5437 X87178 X56985
TCGA-BH-A0HW 3 3 16.4914549688275 11.6956746031365 12.6852486311008 13.3065276875337 9.86973346867276 20.5013593124724 8.32711229819526 14.5673310840429 12.3826920375119 14.4766206207418 11.9141928186665 19.0957476507232 18.6772726659967 16.4963293557907 18.5125009839763 17.4027522268234 16.0780357789339
TCGA-BH-A18S 3 11.2656892744342 17.2562082382289 14.0846832645516 13.8347579408801 12.845437417031 17.7104865496854 13.7192381690167 10.9143516182968 13.4444013404484 13.0705943635003 14.1776554936116 13.5872191202752 19.3914401352441 18.9967754275967 17.1542310777142 18.3841371421004 17.3719280838712 16.6187165569478
TCGA-D8-A27E 8.14674307746068 10.892073566505 16.5466607484077 14.4628988712967 15.1541919947944 12.6358384336254 16.5114341333256 14.5716611115584 12.506696974639 13.2613877837043 12.4641162407888 14.3621378980192 12.2439208363557 18.9377223905092 18.733715570517 17.5744075392613 17.7610130884831 17.2501809191932 16.3954323408514
TCGA-E2-A1IH 3 3 15.4901373064037 12.3111927586613 13.4849468839542 13.2961713443723 16.2592075778137 18.8886682074785 9.41664090068994 14.9085892939627 14.944395520319 15.6604350895837 14.9355549698791 18.5512775799502 19.8846242081139 17.0793740711203 18.5924357632759 17.4938555252306 16.9493528916459
TCGA-A8-A091 9.76797604213936 7.70414187409255 14.9102765339314 14.2910701378931 18.6532768621625 13.9157084866677 11.9609788557174 17.9724101627401 11.5537294561033 15.1953955431178 14.3342674801033 14.9664763999006 13.8213406943921 18.6839335113434 18.8826037952147 16.6030541872328 18.151358795682 16.8666512574602 15.786743461187
TCGA-A2-A04W 3 6.74266179726588 15.6555676698912 14.646243678768 14.5410803327678 15.0430454862058 17.7753193754774 19.5203290107086 11.3029369566241 14.1969065131451 13.868521233337 13.7185884315695 14.2199095022757 21.3807756034758 18.8729969329028 17.4329061104509 17.9789930693984 16.6822791231201 15.2786832028233
TCGA-D8-A1X5 3 3 10.4270675107748 15.7271145382239 18.5542064010153 12.5573800638468 15.791544769719 16.874787868726 11.9215911615356 13.3292105592945 12.5685945960354 13.5449566906913 13.4168992595068 19.5759464209488 18.7938776840475 16.8938376352556 18.8621366237579 16.6245970156397 15.591614885708
TCGA-BH-A5J0 3 6.52313870618241 12.1041321952792 11.9614359364157 16.3524270918135 13.2005447516062 16.6722394647066 18.0411092624141 7.06122338654586 15.7611665708843 13.7996898825348 15.1180918774359 14.1261044088835 20.8366858962885 19.1047164301395 16.0251468774927 19.34767397395 16.7571762537637 16.3268372690393
TCGA-A2-A1G1 9.02920023167608 3 13.2003841973267 17.8003061282476 11.0320622067339 10.7871881371244 14.3044249884747 17.0570021119223 10.6888614123378 15.4457691536772 13.6285510149581 13.8147883873154 13.893825276103 17.8525404608293 20.1999364601093 18.0986432244667 18.1060588174421 17.9556328187314 16.4856321050534
TCGA-A8-A097 7.95946507021204 7.54653045189876 15.1094380399129 16.1906786435635 13.8674423848339 13.0331901079231 16.5240388430147 19.0741168419788 8.89548286576852 14.508181272373 13.730375164369 14.3984313437531 14.0431507655099 18.9862727189944 18.4535480763269 16.7299627867046 17.761975097418 17.5627652945809 15.9778847446678
TCGA-C8-A130 3 3 14.9233418326928 10.1972894451454 13.1566615729758 17.2561901205567 13.7563776547787 18.8305443734552 9.63066198079091 15.3522097030667 14.0177362808171 15.5317582755369 14.4605089948037 19.7680367902233 19.0666196211236 16.8617355055112 19.0735283256139 18.2888318219826 16.6902345195717
TCGA-A8-A0AD 8.7532431872946 3 14.7443865037341 13.187197080148 16.2953745064563 12.9388241913225 16.4711490181041 18.3983725474506 9.88981390740305 14.4872474307262 12.623740069911 13.7134765652971 13.9329108795839 19.0648879326208 19.8668477151263 17.6809154432651 18.0812856043972 17.2492930378142 15.7545441219419
TCGA-A2-A0YL 8.2680196865084 7.45354325003665 16.081584980788 15.9417011991452 14.941930210531 13.3506679647639 15.1810329917244 16.9293448198637 10.9721556447246 15.5757832470725 15.1429426781282 15.1414600632413 13.677027788388 18.7041710805629 18.0706206777098 17.362872681467 17.9622682098431 17.2053218538916 16.9592861513354
TCGA-A8-A09G 9.74014235515048 6.8187630498853 14.1804275342117 12.7621957377193 16.5275317578839 19.5085749022795 17.7293987957973 21.6373512809263 11.1560201908253 15.0664813262537 14.071509034436 14.1867559101127 13.9595012745323 19.6509065241825 17.4729583728309 18.4996953136271 17.6792064832358 16.864191178913 15.6957875052251
TCGA-A2-A25E 3 8.37214773696432 17.3077371998276 13.1443131768182 13.339042320323 11.1818955699097 14.4539035288179 16.2434417495323 10.0435920627637 14.7159206282516 13.1997064075238 14.3874474467297 13.2757476038088 18.7778428566531 19.294612863771 17.1491244678746 18.6157700112365 18.0909115495438 16.4031075498173
TCGA-LL-A73Y 10.6673893094135 9.51032375515347 14.5218962150606 11.0259988994534 13.8441598421685 10.855259403176 15.4995164086528 17.4276999071506 9.31528510848202 15.5111840175374 14.3210401618411 15.4969738596611 14.1964497020509 20.2063279336506 18.0274768750439 17.3920789885636 18.1596368005684 16.7286514900838 16.6061076736169
TCGA-AR-A1AK 10.0775297127838 11.1455136812917 16.2033269479409 14.2640749749796 17.0149279162968 12.7597147668566 16.109279303774 18.1106652188642 11.097904777165 15.9169192621497 14.3437149645977 16.4699058142121 14.3614156067075 19.245603485775 18.5054650845647 16.7499019814625 18.1241350736611 17.9771156274486 16.629588903814
TCGA-LL-A740 8.62538673133515 7.24512045384381 12.3445007370574 13.4625901242735 12.1348217046752 14.9797157148154 12.8514532217271 19.8481271759859 9.09046951911515 15.3625112465835 14.6217518586414 15.2699349083869 13.9986845180526 19.9278227613511 17.4049748534589 17.7804517292343 18.3767438252056 16.8296152344095 15.1129373207349
TCGA-A7-A425 3 8.58653319522621 15.1406360124319 14.964541303311 15.5837121266708 12.6991313039683 12.7286171248722 18.3724470892781 8.58191967371466 17.3908492771054 13.4031694055608 16.3113275299364 15.6385787351894 20.7427331417825 18.0395688382356 17.4141786209892 18.3195661833704 16.1769612763914 15.9905196407266
TCGA-AN-A0XO 10.102182968983 5.87427915478252 16.7350753476193 11.7139964940831 14.5426317839924 12.0380194206985 16.7904336706759 19.8608547337938 10.0611943642957 14.9326833536515 13.3538083444669 13.1223798136542 13.1367176948574 19.5494680912007 19.2361684911672 16.8021592067258 19.2047905189894 17.0350172208668 16.1497946778244
TCGA-AC-A3W7 8.11463947309081 6.75454584410486 14.8067170022216 15.2711600981973 16.558081497796 12.6028335503241 15.2369182985668 16.4398402563939 9.6971408381086 15.534927151315 14.3405766694867 15.6656379865368 14.0284124094067 20.1517896050252 17.3713070531896 17.4667264202548 18.2286737810325 16.4829657762821 15.8675367222561
TCGA-BH-A0H5 3 9.73578090976983 16.2551048482493 15.8126282062365 17.3000841642953 12.9806592918151 15.0069106958734 17.1290341852876 11.0668138427212 16.1122926965798 14.5521046188574 15.2455560457781 14.7636949843663 19.5955495404047 18.6128764502724 17.6313456224134 17.8295225374251 16.7018660109349 17.3086403328097
