X60482 X2558 X496 X359 X57818 X89872 X114 X26154 X153201 X477 X6521 X111 X2561 X51761 X554 X10350 X368 X57030 X11136 X23460 X55630 X9429 X64116 X6578 X10057 X196883 X3162 X3099 X126969 X54331 X5575 X2791 X5825 X65010 X84679 X2512 X6560 X54407 X23446 X8480 X9818 X6548 X5576 X5903 X374868 X7355 X148867 X55746 X5566
TCGA-C8-A130 7.31603734238472 6.67449167651459 10.3686417699499 8.13202110936168 8.0128664806073 10.0109172582522 3 13.8608095812362 3 13.745181699628 7.28486091600006 13.1566615729758 9.11740191251417 13.3916868295865 12.2109656006839 13.955297980963 13.2565589912371 11.2374886382379 14.2684940469472 12.9548613414533 16.7394506330227 14.8341834876725 15.6903436603011 16.4110057776177 17.2570263035556 15.5317582755369 18.541927597368 16.7925237619778 16.7615442900292 15.6931072196799 16.5239026735287 17.7659120162051 18.1202653801199 15.5301904336237 15.420623428416 25.9707440282978 16.516519143954 19.2393868151784 17.4573706362365 17.6253929954434 17.2006733933716 18.2611897211941 17.4141353464249 17.2166980225712 14.4699217771145 18.5321229310403 16.8102000639166 17.867620114761 19.3135360539366
TCGA-A8-A0AD 10.0988201980194 10.4118585148702 3 3 9.82677193991341 7.73164261586913 3 14.2271025981505 3 12.1032751034196 3 16.2953745064563 14.4730322539063 12.094863086865 11.3047419853859 12.7049614380605 12.7637204010757 9.30320131984421 9.51194974812631 12.0414933816824 15.8568257807177 14.1659942432788 16.8127248902279 15.348336547585 16.9816437090587 13.7134765652971 19.9550496477992 19.1581560234854 19.0497756257531 16.2536436464815 16.0189203783188 16.6691064624656 19.5786933543984 15.9609967891138 18.0396171258186 25.3303006086029 16.5859544803191 19.8036386256329 18.0754063734378 17.338715831456 16.4794409100797 18.4920653835665 18.5009033782872 19.1125077645901 15.2138531182773 18.0653347118817 17.4374260646684 18.2974615972921 18.4846746560628
TCGA-A2-A0YL 3 6.45971400033131 8.82897058030638 3 3 3 7.45354325003665 15.0946967359931 3 13.4910332846599 7.06327850909567 14.941930210531 11.4509693241088 15.8480937132235 14.0399137584287 15.5281335991971 11.9372240554061 12.8346299503153 10.4675000633444 14.4598071096211 15.9342489129324 15.9481557350305 16.2142276634212 17.3203037271282 16.6063886813763 15.1414600632413 17.9116497426402 17.7715822228009 16.7929315479375 16.104452905235 16.7605539474322 17.8662781911967 18.4222450610665 13.8348403830727 16.8763059334951 24.8493619113758 17.1306063286371 19.8561258535897 18.8157501104994 17.2654160733818 16.521312488043 18.6921297871705 17.6959511531517 18.6162587289987 15.2242530426743 17.5319802455867 16.8531242431667 18.5782404576696 18.4920909571929
TCGA-A8-A09G 11.5948315535359 8.84407349969827 3 10.8324624054436 3 3 6.8187630498853 18.7040161232118 3 12.2207647666323 6.06889308666053 16.5275317578839 11.5548632726485 11.6925361107872 12.5248626990087 12.9864059003297 16.1581410475837 9.71399925153545 11.7222050902458 12.9263589858177 15.6099332203973 12.9072073672057 15.5438085728154 17.1613755243298 16.9755723557127 14.1867559101127 18.2908171389929 19.5166540513837 17.8372271286245 15.6207993839265 15.7508052702237 16.4700211057517 18.2780723368832 17.5705589856807 17.5749830585772 24.5243002499999 15.1382075793797 20.0519043334038 18.0829021806705 17.1261664214094 16.5484364257592 19.3683652059381 19.0645350061441 18.5139557091935 14.2482617663585 19.2228478661585 17.685849125073 18.5684049286536 18.1983227049013
TCGA-A2-A25E 3 3 3 3 3 7.21095618434968 8.37214773696432 12.4431665490319 6.38117723312692 12.8440804860325 7.57196040200259 13.339042320323 10.8939831890132 10.9527228209925 12.2596066797072 13.9338416067068 11.2965221991219 12.008983283992 12.996439867843 13.0644153090644 15.9387583740212 14.0337708906562 16.9929689159284 16.752774303638 19.0081151398383 14.3874474467297 18.4151730408535 18.526925872535 17.4776502267122 15.4439410231683 16.1662234880544 17.1300147257891 19.6137080855721 15.3921763880776 15.5556260664846 24.791310665753 16.3287811595204 19.0911798940492 17.9733636873417 18.4083373733953 16.6836979609322 18.1027962922272 17.6598883300102 18.3656843357088 16.0990419493903 19.0058663526705 16.9051674961353 18.0332109551747 18.6980769058058
TCGA-LL-A73Y 3 11.7913129383938 9.92356119007481 13.0242311942567 3 3 9.51032375515347 10.7161965155283 9.00080294068851 12.5868731487498 6.24353513627691 13.8441598421685 12.4128311799608 12.2257639016499 12.8834287540713 12.4848053686175 10.7030300463164 11.5731354697249 11.2827212250154 13.7019554018802 16.6792143574776 14.3271151736681 16.3834679621981 17.416306792925 16.4683358396549 15.4969738596611 17.2998543258428 17.3272277875804 16.2683811633729 16.5208784390719 16.4538033107946 17.8273483679995 17.1988766223565 16.5316842043976 15.631239268278 25.2166627652105 17.2472956255446 19.2939857524289 18.1326568023623 17.4818082404964 16.6657953435062 17.1772620942023 17.6793010703685 18.3888789476993 15.034352518965 18.0022719513929 17.1463153518682 18.122060671805 18.4368980162612
TCGA-AR-A1AK 9.85636280949586 3 8.09788101998447 3 3 9.44850846962411 11.1455136812917 17.1825906706801 7.59749060479066 14.1240012849024 7.86151456360881 17.0149279162968 9.23249110761553 12.133125150613 14.0564509110276 15.5334235717233 15.4418843156745 11.7442243904292 12.0617125657427 14.8046630294805 16.367340231062 15.1458459123588 16.2421328041231 17.8687923816584 17.4955868213946 16.4699058142121 19.4362875776853 17.1805941408824 15.941026871468 16.2973890571548 16.2897451911184 18.006767297466 18.4457006581673 16.1266150183077 16.3388199068045 25.2116592654327 16.9841564692484 19.3144763552759 17.999973118531 17.982382064376 16.220789594362 17.7786262975167 17.8564998471057 17.993922180851 15.1167012678944 18.2787604036661 17.0047528747126 18.2046882183564 19.1321712210009
TCGA-LL-A740 10.3815877578498 8.30981529354759 3 3 8.14016147682185 7.60638545257462 7.24512045384381 17.5711932745398 3 17.1524444419474 9.67617178957779 12.1348217046752 12.0080668795523 12.5829761181423 12.2310846011843 12.6397523761867 13.2849093010083 10.8047541338028 10.8314496868629 12.9267916360822 16.3899424749579 13.9415936706446 15.8066119638159 17.9048787861016 15.0064450041912 15.2699349083869 19.4786068883396 16.1225478088607 17.4081488375272 15.9148628073892 15.7875718417597 17.9037054683041 17.1278249313504 18.582325605853 16.8774103718095 25.4597456742034 17.8468325841388 19.7144196399396 17.7504032718519 16.8439968415873 16.5862806936736 18.5550925249699 18.4054958885003 18.6256736980887 14.8214830758713 18.7419617219781 16.6443141498622 17.3357313515837 18.279773402801
TCGA-A7-A425 3 3 8.01861740277291 6.56786671826378 10.3711013650613 9.94688170151242 8.58653319522621 14.8059289401268 3 15.6369514195955 9.61852483575636 15.5837121266708 8.26264662492213 11.5276604411512 15.8891303830058 14.9716566038476 14.4808433330601 11.2115026537286 11.4220785297018 13.9462711945945 16.8218710644708 12.7305259609086 15.8830277295932 16.7463745068067 17.5225579640449 16.3113275299364 18.8853249895157 17.9542886259634 15.9689313116173 15.8176343087685 17.1774874870685 18.2331393986663 17.3319772714327 16.5579263748964 16.1903639081144 25.5632733161203 17.1338943081535 18.5310555521663 17.2599068354679 17.3508829035792 16.0388401194247 18.4100274220467 17.6932213560824 16.7510272288476 15.3421487317051 18.4891268182584 16.1082206537115 18.2482423558995 18.4199934561384
TCGA-AN-A0XO 9.4700226942587 6.33441997076513 8.69308388376961 6.28809766065027 8.62399771710892 3 5.87427915478252 15.8598047307717 3 10.911338967819 6.0249639079359 14.5426317839924 11.9957273113427 14.4839211207013 10.2599772235193 11.4765836907663 14.3704975857629 11.2096847566419 11.6723488800475 11.9419656898886 16.6178020313767 13.3457231144151 15.341865170812 15.8897001825119 17.7101865234372 13.1223798136542 16.8178524916582 17.6239287501515 16.0079454588838 15.1389362534704 15.8995880050486 16.9902553312611 17.6842653949867 15.5438483110846 17.165544272513 24.6626005323598 16.9641139061651 19.8292837115076 18.8866025417516 17.6385135319319 17.1787450628037 19.3210639123937 18.5289924392934 17.918592472807 15.5708152403226 18.4617668888378 16.6655041418646 18.9886374330487 18.5581792941473
