X7042 X7043 X2122 X8503 X861 X4088 X867 X207 X4790 X1399 X369
TCGA-A2-A0EY 16.3356864560304 17.3960413772345 14.3932655734892 16.9441919508511 18.121704785085 16.2625404775747 16.4655129582573 19.2309569015164 17.5411305018323 19.030100102825 19.3579082384159
TCGA-A8-A07R 16.7310617427795 15.0924087239671 12.5195271241377 16.9366279223237 16.8813169497841 15.4476796721325 17.6258504120614 18.0658274149146 16.3726991753877 19.7870123810117 19.193082477587
TCGA-BH-A18G 14.9069159254996 17.3433710574906 12.4686511023976 16.7711849824727 17.268432036775 15.517652202628 15.6044954468012 18.5717770303022 17.4286071548676 18.3560763163167 18.0158150151057
TCGA-BH-A0BR 16.3378945025934 18.5251965340129 15.626452658064 19.0014146822174 18.6284142933157 17.4847274152936 16.1927091348388 19.7099842218528 17.8074968435161 18.1571150380174 18.6532548596773
TCGA-A8-A06N 12.9145180424185 17.1321110584505 12.9697405398314 16.3238364013209 13.1925098303801 17.9348245473138 16.1104457417375 18.0875463279419 17.425592544642 19.8059733484683 19.3968427616226
TCGA-AO-A03M 15.4899206293711 18.1295946685227 14.1423346290599 17.4533482123208 17.8663278862211 16.8767999398671 16.0992242852535 19.4720719041049 17.6600215040103 19.4875129084207 18.6070964920907
TCGA-A8-A09X 13.7363810131562 17.6514198098155 15.3648725584728 17.3103732544935 16.8831141582077 15.9658598744986 16.3956495449716 19.5280231809819 17.987346752036 18.8397444338072 18.7668144998564
TCGA-E2-A1LS 16.8023608051697 15.458049378214 13.4608482688233 16.1513140861844 19.2804520430006 17.111764015001 15.4964853968881 17.3852820255023 18.1971308642573 19.2647597443856 17.8551719493162
TCGA-AC-A5XS 13.4684744951557 17.9822627653876 14.0435401693047 17.7545293694007 17.3067739146753 16.3477322339568 15.4316541174752 18.6955158887244 17.8715172129265 17.811894494204 19.1613806502543
TCGA-AC-A23E 15.3544017139024 19.1217281674643 14.8738356569723 17.0623786655485 18.600028152614 16.7794162559466 16.8158737529937 18.2925182446935 18.492465703834 18.951174132728 18.9791514607783
TCGA-A8-A06Y 16.2143856913547 16.1930405350467 15.2524288688069 17.7557298448163 17.6611311992109 16.6904723267645 16.6035645998347 18.0838241701246 17.6665459649843 18.0089801857735 19.125944871732
TCGA-BH-A0H3 17.5470058324399 19.4416600341459 15.5611779596498 17.9444463297509 18.9132853483627 17.9362464543537 16.7454330293719 17.9201764837384 18.484774192993 18.8046702074184 18.4878560846383
TCGA-AR-A2LJ 14.2186337993247 20.1826361056805 13.4619786752237 18.2930164563181 17.9493755626677 17.1781878166835 15.1126223687011 18.6888558777186 17.9271259400312 18.107880102157 19.397646418546
TCGA-A8-A06U 15.2487998077611 16.8593481542125 13.9867282093518 17.6916671797441 17.5728289797645 15.9815859034186 16.4409716998036 18.5108323408477 17.8005128489524 18.8633292037503 19.6097885475039
TCGA-D8-A1X6 13.2069315532572 18.2235885356425 13.5013350814402 18.7680261357404 16.8287070366411 16.8227054224905 15.8270313143556 18.4056278844953 18.1723999166241 18.8582454320748 18.5547477068819
TCGA-A7-A6VY 16.2232712114139 16.7377625965102 14.4950757119311 17.2435328723051 17.762127453489 16.0389626934875 15.8944626158514 17.9597956854576 18.4574357618538 18.4443823658102 18.8715100672283
TCGA-E2-A15O 13.9640973715169 16.9259292498284 14.0390666671989 18.4338071834729 17.5607891957363 17.2567058062006 16.5594042905886 18.444365638932 17.7121044944462 18.2407368310638 18.5922675096579
TCGA-A2-A0CY 11.7281210915561 14.70355069498 13.6249851981989 17.5625845080791 18.6742785199576 17.4872232452692 16.7396912086334 17.8535004770008 16.6022142503859 18.609303021335 19.4613530076489
TCGA-OL-A6VO 19.3865793537501 16.0872037328342 12.5173723038709 16.9014910574795 15.8110423729609 16.0615369568978 15.9400936548206 18.2666512392227 17.2640149811808 18.5199480433202 18.6342514403919
TCGA-A2-A0CL 14.3857551421239 18.8494001624853 15.2585295969079 16.8624939817736 18.0353251507397 17.1371312591703 16.8358646946057 18.0467440617715 18.5838141273621 18.7771573159487 18.7975969246184
TCGA-AR-A0TQ 14.533318919603 18.6380746865976 14.8522832011417 17.3938696707535 17.4915540039688 18.1455509923063 16.4341852089466 19.0392682921445 17.6230189300335 18.8769249373176 18.3449726207499
TCGA-E2-A573 14.1628453715147 16.4597321324743 13.8051506550819 17.4539269825157 17.1414041179363 15.6480595073198 16.3893345543646 18.4749845327262 17.1587778970305 18.1994612552401 18.6370955779744
TCGA-A2-A0CW 13.0626784135747 17.1722474420803 14.4824992172946 17.1398768366084 17.6615213702802 17.4046493934972 16.04412579871 18.427225448273 17.4254277443154 18.4785051792098 18.3247092520588
TCGA-AC-A3EH 17.176028015869 18.9433868696014 15.0307520137465 17.4152215581469 17.7167771626772 17.716443770549 16.0281679295228 18.6432625518494 17.5046901377718 18.9849010193107 19.4606679999026
TCGA-A2-A3XX 16.8944835395799 16.4238761393995 12.8098043484047 17.3849275402235 16.2356894536116 15.523238406874 15.3203092476354 18.4555181050168 17.6291729268697 18.4104551427059 18.8380305061803
TCGA-AO-A1KQ 13.8545328621574 17.4962758150486 14.9201615173481 16.5634463738192 17.4699119005409 17.3372063398789 15.5872013070674 18.1454749273546 16.6332958402435 18.3534732948246 18.766620801932
TCGA-BH-A0HN 12.7776911938291 19.629146001975 12.9228772646248 17.4362158358674 16.9864944880722 16.7565236125614 15.340831129593 19.0626981393672 18.0491290275703 18.3450909662527 19.3161294601715
TCGA-AR-A1AR 14.5187696729387 16.4242008878154 15.0461371761245 18.425875509565 17.237673232321 16.8625239393385 17.9344750080936 17.6052886195826 18.9529974826194 18.8542776183458 18.510073941296
TCGA-AO-A0JD 16.9702623365654 17.8808986616933 15.8525605261632 17.2274771150798 17.510151793598 17.8961200594955 15.8408214421168 19.3483035963282 17.5328186414026 18.5761885870435 18.7594084766572
TCGA-A7-A0CG 15.526099979149 18.8260404437689 16.5081048280798 17.8303744196356 18.1914252550245 17.3850745233992 16.716217125027 18.5175333646902 18.4529868936862 18.7076274118424 18.8139285944399
TCGA-A2-A0T4 14.811861407742 19.6520789318921 15.5768265085724 17.2301564826369 17.9512608133754 17.3004020533811 15.548942202685 18.4394255371682 18.072073487084 18.4826327085717 18.6665741386838
TCGA-B6-A400 17.3635265035756 17.3271338160849 12.7789735819868 15.2489289033795 18.3707252886833 17.6126101404917 15.4782357075541 17.6583881961427 17.7320214607677 18.7532134893263 18.9320623784376
TCGA-E2-A576 12.461141396772 18.0667834446193 13.5879151130983 17.9607068532711 16.6963130267972 17.0698687408818 14.2675644578649 18.5502138187414 16.6459115383444 18.0694175452248 19.6401235700539
TCGA-BH-A0WA 15.8572951556804 16.7228539374382 13.6349017812339 17.1304389578441 17.9050584858058 17.9427602317081 17.0003288525188 18.0982003744661 17.5506083541065 19.5820636667652 18.111572840831
TCGA-A1-A0SN 15.2685511986067 18.9777741068357 15.8060517896386 17.451730637664 18.0599159548826 18.0255595517861 16.3561592408303 18.979392278666 17.7587510432211 18.2281868784814 18.3757438594841
TCGA-A2-A0T3 15.2060943911258 18.0371419061755 15.1768734961543 15.0439470916533 18.5659557957866 18.2504199155682 16.1625109629375 18.2071024168977 18.4963641156716 19.4359103089128 18.6920167453883
TCGA-BH-A0AZ 15.4193800232277 19.9494586047653 15.8649017375749 16.6672751004678 19.2147747144919 17.513547267477 16.2263496773368 18.1043427624873 17.7240541075947 18.8152364260033 18.680817369998
TCGA-A7-A4SE 18.5114171724187 17.7456183696649 14.350430826782 15.8912667071757 18.8951689048851 16.2458969451457 16.578428581373 17.9381542033465 17.5132091750838 18.5417738834855 18.748827527465
TCGA-AQ-A1H2 13.2283627723799 18.6642480606216 13.2998998017772 18.9573044391273 16.3924107745174 18.6700765199137 15.5202219988215 18.0597054445208 17.9258791304949 19.1511098164935 19.7186183921578
TCGA-A2-A1G6 17.0106752886538 17.6411713147601 14.8761288300742 16.7007683344618 18.8653991935874 17.75981146316 16.5088021744529 17.5090301610388 18.2374310977614 18.8659857442831 18.7432177674176
TCGA-A7-A13H 17.1517577952461 18.8532583187331 14.5183079101798 16.8043010344313 18.3665154280091 17.5855275773226 15.7883715627403 18.5286700629913 17.9825300441728 18.2105686121231 19.2105397180343
TCGA-B6-A0IP 18.5092030970143 18.0193823670353 14.1458479247659 18.3564475833331 19.1135063379156 17.811804204642 16.4666830146314 18.3425856368765 18.3630217491647 18.9943558697251 18.7778176365068
TCGA-A2-A0CZ 17.0139194808417 19.5773714527069 15.526324700038 16.496081353742 18.8811330470795 17.5696497076497 16.2984284420558 18.4137292088179 17.8648909426146 18.1639086310034 18.8899101737704
TCGA-AR-A2LK 14.8288200595004 17.7733105938947 15.4818251942773 17.3947989953272 17.8270214185321 17.5967488018178 16.1446573007665 18.4825642079802 17.7762421786071 18.3588377741049 19.0063281929612
TCGA-A8-A06R 16.3547663404413 17.4065156456056 15.275520719064 17.4663089234874 17.7439535740833 16.6855276165455 16.1927489527847 19.5428183568634 17.2462893316731 18.7271285497689 18.3117203813801
TCGA-AC-A3YJ 13.8843899947906 16.6202933787666 13.3295387142016 16.8830867842482 17.1581883487474 16.632572998689 15.491655380788 18.5309739440887 18.4379812680449 18.0969442682483 19.6991285286295
TCGA-5T-A9QA 16.3846977710386 19.8893577426982 13.0950595037022 16.0700429950049 16.8211320693361 16.6110733294377 15.1514687476069 18.5179921818441 18.0502030858633 19.6067375091299 18.9857524799624
TCGA-A2-A0CM 15.1369350197257 16.7039350563472 14.2287223635216 16.390347302827 18.0186079869245 16.6545450164748 16.2436492466031 18.2183794365929 18.3759163201986 18.5508146821049 18.1666644846874
TCGA-A2-A0D2 16.5510362495247 16.8354612425334 14.6666765121612 17.2687407746326 17.0023715743697 17.4893931551131 17.1520796814548 18.5216604015254 18.078348238205 19.6530706755194 19.1764127820113
TCGA-A2-A4RW 14.9922722188059 19.5875792059293 14.9329087990476 18.5518337518287 18.1665906070321 16.2856852400166 15.9870098762197 19.1586847576853 17.7632524811412 18.7243181339885 18.7849590983581
TCGA-A8-A095 17.7326524040826 17.857672112074 14.5452140746357 18.2090314886235 18.5773070254211 16.9217518500664 16.7969727441192 18.6280825978378 18.4542675468299 18.8623705776816 18.5721127801677
TCGA-A8-A09R 14.7312163696965 17.5656802207812 13.9460281521938 17.3343952454038 17.731439536225 17.4222054453041 16.8924156859741 17.8123411177576 17.5260373671254 18.4752020453201 18.9586575775328
TCGA-A2-A1FX 15.3592168657699 19.1826579851298 15.213830617889 16.5636660603019 16.993360499882 18.2360727949949 15.5909997790203 18.5744269935315 17.8108073112992 18.6028458720521 18.3790277607637
TCGA-A2-A0T6 17.5934398550706 19.7237025790664 15.2662761502355 17.6814848272878 18.4798150874749 17.1527534034533 16.9840499369052 18.203212192664 18.3297931121513 18.2320293228048 18.6658361066946
TCGA-E2-A15F 15.8874851477576 18.0839997706628 13.7336308093297 17.2189278033138 18.385415308155 17.763475765579 15.8746915203989 17.6043600455079 18.1453993923183 18.3808467613012 19.0009490573344
TCGA-A7-A3IZ 16.2600930072999 18.8350036088764 14.0296359443785 15.4963660340847 17.4797033777494 18.2294020197741 16.0656348877415 18.370757344294 17.9146918452539 18.6980640889644 18.7066795925696
TCGA-BH-A1EU 15.5662257762167 18.6415256950668 16.0249849831624 17.3355971287002 18.3074410740637 17.9505853621776 17.2254185253942 17.4245142918122 18.3356484707346 18.786111442433 18.8129973503075
TCGA-AN-A04A 15.8635242645388 18.5549582883428 14.2885102587177 17.0464541578975 18.2819943541398 16.446904610673 16.2251358393577 19.0385234830831 18.3647394659789 19.2320904870885 19.0391560214857
TCGA-A7-A0CD 18.1451396961396 18.2848330185244 14.6844355644728 16.8282006831042 17.9486111402786 18.264975329276 16.6358472461015 17.8197780126961 17.4572044291914 19.2259283942569 18.7605680727213
TCGA-E2-A156 12.9648193822884 17.5133460092025 13.6997012921623 17.279483443164 17.9553433442714 17.9742094585081 16.8039525383958 18.108392906216 18.5205363416575 18.9992541815667 18.9533052691742
TCGA-A2-A0D4 13.0001569473212 16.3611597468753 15.3358910048472 17.2240165889262 17.5656907084706 17.9642615561851 16.0805694538309 18.1325321830238 17.7753758140036 18.9422706744881 18.7943024046153
TCGA-A2-A04R 14.5795485720802 18.0203006560579 14.0020200713473 16.4515310586494 18.2165489888737 17.383907027298 15.9542697442679 18.1851729821703 17.4010081839502 19.2690720799909 18.2578475187934
TCGA-AO-A0J4 17.6346455490829 16.6438520125748 13.8369661586107 16.6545127094066 18.0142365207682 18.6460964150956 17.0240601360883 18.2519780101698 17.9230244102227 19.0896650108529 18.1852662699004
TCGA-A7-A6VW 16.0116507776725 15.6419960770597 14.9220086543396 17.5935735341127 17.0009915205499 16.7165893742305 14.9974301684409 18.1573475990571 17.4308915669906 17.6723374824239 19.408458455458
TCGA-E2-A14Z 15.4323202580547 18.1591390820636 15.1088866150139 16.757990738993 18.0578581752048 16.9090537363461 16.3842715855597 17.6164198080693 17.9440443403954 18.895115822767 18.9507272358838
TCGA-A7-A5ZX 17.9617527974275 19.6311675846501 14.4647923957952 17.0506450496883 19.1357542861191 17.3117929419639 15.4979104446512 18.3243244383164 17.8897231698585 18.3631704033434 18.9922059374999
TCGA-3C-AALI 12.986429404729 19.1404440018657 14.0684777082732 17.2576825074076 17.3138352168226 18.1531113458868 14.9276732963984 19.3275655538066 17.5550148672055 18.6912700397696 19.8395719502806
TCGA-AC-A2B8 19.4219919395099 18.9265715579174 15.9737011818624 17.5019488258547 18.4021729025914 17.6948121323126 16.7465556214061 18.1848412979654 18.8654323918901 18.8121595404076 18.786334680452
TCGA-A1-A0SB 17.1043232711871 16.4189677356656 16.7636172330142 17.4713398226859 18.1859670599096 18.3914442434439 17.215226693564 18.1182301747135 18.2260770431705 18.9582056596077 18.7003147827458
TCGA-E9-A229 18.3496262406493 19.6797890899461 14.6179849894523 17.5106192002783 18.6963876694534 17.2638791384302 16.5038801654961 17.8896376032127 18.1386244207958 18.4959772343459 18.455705849934
TCGA-D8-A1JC 15.3424561582211 19.0218626252251 15.2326874187379 17.3432200555317 17.9897986566314 16.8564109948369 16.5627031726046 18.5033519906135 17.9262508349939 19.4309720401621 19.0271655779908
TCGA-A2-A0D1 13.1044119526159 20.8437227102892 13.8458247407438 18.0264328127913 16.9974014762129 16.2385037440157 15.9914158861143 19.7509134062311 19.6167680747826 19.0202082021445 18.7552582646547
TCGA-AC-A2QJ 14.4237698075359 20.608122526769 13.7326636721611 15.8597303170067 17.6531142419666 16.8050582731335 14.8782739208853 18.6365448009472 17.3464972557327 17.4233453766766 20.1310193079265
TCGA-A2-A0CK 16.4799709740662 19.4127138392609 14.2555896559781 16.6719236977714 17.9481880124413 17.694960695335 15.4497498448858 18.3717282019168 17.5116332978301 18.7957324328513 19.2469231862255
TCGA-AQ-A7U7 16.8515075396921 20.2455308899146 15.7075173358392 16.7851576813123 18.539092095994 17.4061352409848 16.4965323796793 18.3721337326473 18.1858593034758 18.2867720760844 18.9330706973119
TCGA-D8-A1XU 15.4308750055074 19.1101882472397 15.3575582182892 17.6227099572119 18.35436558638 16.4238028702155 16.6541583254176 19.034516297725 19.2174011355489 18.5554562610638 19.2976943277165
TCGA-D8-A1X8 14.9215390572837 18.9747057189662 15.3275262891703 18.5245629197115 18.0307760046202 18.0064387549602 16.2758916836107 18.0645657597482 18.2172074213354 19.0537314929768 18.8691270000389
TCGA-A2-A0SY 17.8483099951152 19.436728167488 14.9046968839325 17.9427372851723 18.6905618618767 17.2793532927266 15.3829048950914 18.6999658292804 18.2999402865756 18.6460846850016 18.7734818037209
TCGA-BH-A42V 15.384064570243 19.8111449203957 15.5977389003039 16.8736441265797 18.2080023920224 16.9889100163139 15.9679760892473 18.3972748787424 17.820897778835 18.555051221796 18.734318359393
TCGA-A8-A08R 17.1597763043295 17.3957162916984 14.2133391432721 16.3614973640895 17.557851098379 17.6314500543875 17.3929504659624 18.2151181980944 17.5350703011953 18.5932901891083 18.5031191151843
TCGA-A1-A0SH 16.7387364955922 20.5630631987694 15.0219868592702 17.3415147695558 19.2507426644513 16.556228611316 16.285591433633 18.6100048521646 18.17166241537 18.948820788401 18.7697803780213
TCGA-AC-A2QI 14.8042752575561 19.087638225459 14.8459233666473 18.2670979786934 18.0735367766162 16.7863889504199 16.5747324029877 18.7797155795081 18.1878879894634 18.8376587377137 18.5374948608892
TCGA-AC-A2FM 13.0485655144873 17.3936737956404 15.283994121702 15.6585140702378 18.2634021102436 17.7047209108253 15.4611026791017 19.4480479497711 17.287765840491 17.9840926180931 19.1893472292657
TCGA-AQ-A0Y5 14.4861351133833 19.1683162168207 15.6382097223295 17.9430522168747 17.9253621677118 16.4328573604026 15.9299298380475 19.0215725912847 17.3699886009328 19.0159088559152 18.7275056829366
