X60482 X2558 X114 X131096 X3785 X3752 X111 X2903 X2561 X4128 X2892 X55799 X610 X3772 X10089 X57030 X9495 X3786 X9424 X5924 X196883 X782 X54331 X2791 X6196 X784 X6195 X1175 X54407 X4905 X8675 X1741 X10228 X801
TCGA-BH-A0HW 7.56371081231636 6.37748194493352 3 11.798432486632 3 16.2601870684419 12.6852486311008 8.4897697353694 9.92988357477101 15.7308693260532 9.07020306866711 11.1122175168595 10.2271981460507 9.54299663404317 11.4531820968347 8.72546573611344 13.0992406620699 11.9962638958594 18.2611680188303 13.2028291565759 14.4766206207418 15.5550601549367 14.6327375627311 16.4774931884556 16.6125657489716 17.3480329370207 16.6104547803203 19.8916053870569 21.118522624395 18.9262944273767 18.7832828592979 18.3234221411601 16.6822421087561 19.8079095558819
TCGA-BH-A18S 8.1168134483642 6.52119947162975 11.2656892744342 6.01467462417566 5.27331646969238 17.7356977365328 13.8347579408801 8.38736122471999 10.652763253815 16.3263419572653 16.6468162701021 11.8962647614613 10.1449669627482 11.3163677901218 9.81280324093157 9.4576174844767 15.9656668056311 13.2676113423326 16.9664893599939 13.746361699916 14.1776554936116 14.2835464039579 14.762837733813 16.5266677847611 15.096619192701 16.3105927584576 18.0346816148888 19.6500927145582 18.4015008656616 18.8929929359603 17.2084858798935 18.303390353527 18.3025702022295 19.0632019991675
TCGA-D8-A27E 7.5312277583221 3 10.892073566505 5.84774123709829 9.28896410267604 17.7766567971841 15.1541919947944 8.67429091884486 9.46980316284427 21.084436715703 18.387534714303 17.8096659561813 16.0263678856081 11.7013357291178 11.0725713458151 8.85900159487299 17.2770234747368 13.7537165306362 18.1464821421788 13.975103879001 14.3621378980192 14.0372006090106 14.7110455430559 16.4675919404428 17.0824462539527 15.8389528536021 18.0779569620419 19.4937068743676 19.4306342718854 18.4811788906204 17.8741840209404 18.2654879897717 17.4019273324563 20.1215868467701
TCGA-E2-A1IH 10.3561117980046 9.67655697248847 3 10.6400715255359 5.23437406153312 13.7957284775612 13.4849468839542 9.76716848023457 12.9870520979552 15.7581304716779 12.4682954862619 12.4403990659812 11.7169272779294 13.9369172081529 7.80325866120245 12.438309750475 14.7341110969892 14.002273290012 16.8614527567344 16.1712922544094 15.6604350895837 14.0768204594008 17.1949021176884 18.9770243926935 16.8876441558395 16.2819197562719 16.8955693824062 19.9001304486435 19.8559340624015 18.9035115364518 17.9617870038286 17.666597005637 18.3260599645336 19.9525023579274
TCGA-A8-A091 5.76184534706041 8.68255353074868 7.70414187409255 9.00430688291047 5.64701465062979 17.7158399169516 18.6532768621625 11.0374702111352 12.0816270176261 13.6546386658853 10.6041994724216 11.1747643008023 13.6251739997177 10.7755357052506 10.435299308282 10.1309325603164 15.293918973921 13.5896291560727 16.7480759404217 14.2066483982195 14.9664763999006 14.2626725567829 15.6162493142996 16.8515456800278 16.0889495408212 16.6963421340194 17.4732375107948 19.0942392073962 20.071788784284 17.6041979678649 20.013950832849 18.7823956135293 17.3921881056115 20.491519337285
TCGA-A2-A04W 3 9.97060517880775 6.74266179726588 6.70147603746871 8.0665808572622 12.7246816767259 14.5410803327678 9.47182922494314 11.3801753385828 12.8284951389111 10.763898605705 12.2705198582497 12.1402756481539 13.3927381528453 12.9556555473254 12.2928446454042 12.0810312863797 12.3484620453952 17.3336161890988 15.5398528237193 13.7185884315695 15.3311677008251 15.1405219132566 17.378095896124 17.9668053961406 16.7908715744395 17.861949899509 20.8136799890991 19.6340126469574 16.6692126211514 17.6126018866058 18.1172964154377 17.7677266728458 20.3249905147091
TCGA-D8-A1X5 10.0954669819417 9.15730571926337 3 8.28684209978905 7.0397284688333 17.9629301674497 18.5542064010153 7.52012485723658 11.6383936379851 18.2337135390337 10.6393243377244 11.6040087095094 10.5676535587829 12.2191585020057 12.9815199066 10.4595821213507 18.5082148304208 13.1661017705536 17.9626356818848 15.1028868893189 13.5449566906913 13.7580019521878 14.861915720857 16.2669250443413 16.8229259830108 16.3731846350265 16.3504102795872 19.9628582908694 19.5799586466779 18.0395503216447 19.1611537529473 18.1588918663227 18.2477059235069 20.2365488836515
TCGA-BH-A5J0 3 7.96001904191844 6.52313870618241 6.48250720138922 8.30643274082048 15.6237340368653 16.3524270918135 14.3765718642391 12.2768758376892 15.1839552863522 11.1336512067795 11.5551810896639 11.9019417121488 12.5074275551324 13.3685762286948 12.4258165095009 13.636546544558 13.0485555065091 19.0876464422763 14.9594729898229 15.1180918774359 13.8489504391547 15.8217542415279 18.399980081025 16.7651202866986 18.2881364963345 18.6890877500244 21.4898014300276 18.8134362991588 17.7322168615852 17.6711750730185 17.2708521513899 17.6455477367068 20.4457220175046
TCGA-A2-A1G1 3 11.8835105967048 3 12.3039455926993 6.37909017303945 13.4227396882941 11.0320622067339 13.9598028495114 10.9247897375945 13.4225976672557 12.0140919781188 10.7442707290109 14.2556237029956 13.2563352198451 12.1556643323935 10.0996286473193 14.598009377979 13.2379883083063 15.6683304933854 15.3733982471416 13.8147883873154 13.561569412035 15.8951384980923 16.6523644673666 17.4053990126372 15.5513002683278 18.3194262769601 19.3776240857837 19.7864677877767 18.0548711385544 18.0844819986981 17.5858742047563 18.5591248502159 20.1011583830785
TCGA-A8-A097 3 6.17391560676132 7.54653045189876 10.8028997430515 4.9766422779589 13.0739338253289 13.8674423848339 11.3128146868766 12.8205187169657 16.7164607506998 12.9560160464383 11.394449950069 12.2696836942502 14.238923141413 10.0108646826909 12.2148019120377 13.128362251516 13.3845389880012 16.9173584300947 14.8563163594421 14.3984313437531 16.3873432996396 15.9940912592225 16.8887817744787 16.3197422339559 16.7278468945797 17.229762787531 20.1646715483951 20.3526860365052 19.0335606330415 18.0784145792531 17.8452560219644 17.957334027332 19.6746756643904
