X282617 X5473 X6346 X1437 X282618 X3456 X5196 X6366 X5617 X2688 X64806 X6363 X6360 X6358 X2322 X8600 X27190 X3576 X1524 X7042 X7173 X4982 X55504 X1489 X7043 X9180 X3791 X5154 X5155 X90 X23765
TCGA-BH-A0H5 8.99528752076879 3 9.37116099222824 8.96612399933861 11.6309269004154 3 3 19.9728490525032 3 10.3479607839534 8.1864545250697 22.5083257157331 10.6096556608989 14.1274956491144 16.6871001312427 12.7031304922305 13.4514101583285 11.6635527682103 15.0586789775719 15.6185345753671 12.95382650735 16.1453065583746 16.0015244076935 16.037737106621 18.2498964314268 18.0932951924078 16.9330226320616 15.8084800782531 17.4335980057387 17.8267661237847 17.0727464320021
TCGA-C8-A1HL 3 11.2045150134562 3 3 3 3 3 15.6372478092327 8.71064011264192 3 3 14.7804945452247 10.3372181161923 13.4228706150746 11.2491066259642 12.96702760125 11.1813762327457 14.0753881626266 13.7694186662062 14.2582583266553 13.1391011047046 13.9359141607064 16.701419453008 17.4017044411603 17.7799973338119 17.1224428665088 19.0246439269724 17.6076738622403 18.7382319122991 18.3117349331678 15.7381937754944
TCGA-A2-A0YF 8.548094928744 10.2203836030155 3 3 3 10.3697486064615 3 15.1387275579592 3 9.89567932622692 3 16.2406014835384 10.6683668016519 13.5213247120237 13.120212445042 12.0515173303232 11.6764159244416 14.731708376323 19.1480109623032 14.0443465801683 12.6639223766514 14.1744632165282 17.7638172248843 16.6879539593284 16.9008859980268 18.4715670791914 18.3371997581894 15.7214791950331 18.0698587297607 18.5986402636001 16.4044501480713
TCGA-E2-A15J 8.94571536296193 3 9.32140460073988 3 8.79575949730363 8.79245717648906 3 12.1229764199224 3 3 9.69486241044621 14.3377554699079 7.79735865270892 10.0191607778126 10.8890991367895 11.6236584348651 10.6001037529351 16.4439659607769 15.9968969222737 15.589569015529 13.0594673189303 16.351566602213 17.4342022165671 15.5267542935335 18.4181000688201 17.9275866712716 16.5038106016114 15.9324371935282 17.5404985646571 18.1392855726038 16.3657255552369
TCGA-BH-A0BW 15.7074601285289 9.99450071557706 12.2578466058065 11.1716617457118 14.6995038273236 13.6735070508233 9.24567558241126 16.8031179006803 8.09417920333313 10.8322466375743 3 17.0381821011611 7.75134146864372 10.7041333231991 12.6345612062372 12.1386963055136 10.5525914748598 15.5089293067925 14.1137527135534 17.0487748871207 12.3121837103834 18.5820566742929 15.4806299393283 16.9370212268883 16.5254364248447 19.8739705383452 17.3851611883194 16.4902177334695 17.7160887833753 18.4164388352088 16.4222944165025
TCGA-A1-A0SJ 9.98088945575679 12.2505058398203 9.3681282551214 8.9631032950449 8.84222721691492 3 3 19.1059557533549 9.16660645428371 8.37129015897822 3 19.2813117926319 12.1866207918225 15.0656217326598 16.9601440277252 13.0519902124129 14.1000436670422 14.5793896911744 13.7364271639058 15.115394437216 13.2558268508844 13.1406262570464 15.3926085675869 14.7303593750678 16.9804114096519 17.9345087506244 17.5767978236869 16.806482235425 18.6550398220397 17.9848214148316 15.8564877665327
TCGA-A2-A0EY 8.92830715514963 10.0243328290737 10.87666764347 8.89916592975907 3 3 10.8478406931963 17.0821329210765 10.0919927387638 3 8.12029478287316 18.9714093992576 10.7336169224507 13.6157088722772 13.2815004799498 15.2981921803899 11.7158905544194 14.2753099018801 14.4736398148822 16.3356864560304 14.2594297714216 15.7883779204667 17.4891320551345 17.1322694525142 17.3960413772345 17.9080789414976 16.9454280547684 14.8025971198061 17.7442180194982 17.6641033703103 18.4017179515197
TCGA-A8-A07R 13.6962649123977 3 3 3 14.4259982659227 13.6278427403067 3 14.1353143760772 3 11.2366962526301 3 11.2738426632317 7.5794390343769 3 10.0820038938341 10.6840995106932 12.5694610426092 13.3455282543329 11.811094043993 16.7310617427795 7.2110332890363 15.3408404019009 13.3334686458881 16.0245074721041 15.0924087239671 17.1100426207209 15.5617249840895 15.2810493409471 17.8416726280216 17.1725102259337 16.8618585405639
TCGA-BH-A18G 9.8906160057714 3 3 3 11.729244759308 3 10.2401622810275 10.6245727645329 3 3 3 11.4562977301163 8.72828213835821 7.84543518142981 3 10.6449117045664 12.0371132720033 16.7692905828396 16.3749397884578 14.9069159254996 9.91096481193137 14.3264265160411 17.0916355143533 17.6512520807058 17.3433710574906 19.3847481852656 15.9789884426357 17.2013701094684 17.7532762132952 17.7571701673324 16.3842967745846
TCGA-BH-A0BR 3 10.8904275036533 10.5792814771339 11.7492705436925 9.05981038837343 3 3 17.8453507151278 10.3762533019579 3 3 17.6265408422129 10.0241140717463 13.1522002030037 11.407262344365 13.9949653199245 12.1267338269915 15.0398884209689 14.1060416819141 16.3378945025934 13.212321439606 15.2352776868815 16.081603317353 14.4906240354031 18.5251965340129 18.2923174114262 17.9816768031191 16.6043943350741 18.0213078367865 18.9544097087436 16.3745482808649
