X63928 X2925 X89869 X114 X185 X5024 X6869 X5026 X2903 X5733 X8913 X147 X3706 X146 X3357 X1910 X5136 X2149 X196883 X5153 X4846 X6915 X818 X801 X5566
TCGA-BH-A0HW 7.11934283749634 13.830814971288 3 3 20.0098667792918 8.51659024076572 7.52680016004766 8.8296283707489 8.4897697353694 19.0166512156466 6.70662543808413 15.4944692139661 11.3131457968807 14.9710239267558 11.5818664133226 15.9686693248812 12.3826920375119 18.0487246896689 14.4766206207418 11.9141928186665 14.8523473996545 14.3669958854551 16.4600305200804 19.8079095558819 18.6187042554512
TCGA-BH-A18S 3 16.1367829360445 3 11.2656892744342 18.1222533787497 7.14208827517019 11.1286892583834 9.97376698775517 8.38736122471999 17.8560774013705 8.20457242623723 13.4551858214906 13.3346620465841 8.98689488899264 12.8633851747672 14.6422823189192 13.0705943635003 16.5344844975517 14.1776554936116 13.5872191202752 13.9428095353912 13.1134654093011 16.8039324005034 19.0632019991675 18.4718681754503
TCGA-D8-A27E 3 12.2135580320877 10.8900666125726 10.892073566505 21.0643416324564 3 12.9115080729759 14.1630474485206 8.67429091884486 17.6164331853257 6.14574230090176 11.3659306142212 11.890688102967 7.8236893270196 11.4810911174262 14.8690267233027 12.4641162407888 17.1578155963936 14.3621378980192 12.2439208363557 15.5398007822398 13.94093196569 17.3666208447764 20.1215868467701 18.7199024879425
TCGA-E2-A1IH 8.18305233681117 12.3073638162927 6.74624792672314 3 17.9299007207495 8.05282925594228 14.4871372625307 13.8523493603107 9.76716848023457 16.0534078323317 12.7611540701274 11.601248636527 11.1425435480397 13.1058263491562 13.9287791524226 15.6728423856341 14.944395520319 19.5921932140536 15.6604350895837 14.9355549698791 16.0670610158045 14.3894128388783 16.6958266737697 19.9525023579274 19.3662660399495
TCGA-A8-A091 3 12.3819081600999 7.77937533369996 7.70414187409255 14.1805119028497 8.54628139663227 12.3156089893861 10.6993214292759 11.0374702111352 13.5620470799637 11.3269492895312 15.0815172633243 11.0119744623874 10.8197843390077 13.0928482609218 15.4959731474505 14.3342674801033 19.4541046102691 14.9664763999006 13.8213406943921 15.2836549067885 14.7993001546048 17.1156182725393 20.491519337285 18.6931627950941
TCGA-A2-A04W 3 11.9616853914251 3 6.74266179726588 14.1634609996685 7.87013698936901 13.2749322673952 10.8459759271189 9.47182922494314 13.6503683530116 10.5783044042993 12.6584880195536 14.3706830792877 11.5371808809313 14.8972036613692 14.6880325498959 13.868521233337 18.6041599671038 13.7185884315695 14.2199095022757 15.4562094130584 15.2869178888701 17.3329690798559 20.3249905147091 19.33313595392
TCGA-D8-A1X5 3 14.314553263144 3 3 14.0492253936775 7.54636561322411 9.47763428697316 9.98393967372269 7.52012485723658 13.0345494794485 7.2528895648553 9.67128203380522 13.9139119862212 10.3978374493387 13.6338101123893 14.0520347217915 12.5685945960354 19.014919444864 13.5449566906913 13.4168992595068 14.1852684647195 15.2521887648794 15.9397280372309 20.2365488836515 18.4089870635851
TCGA-BH-A5J0 3 16.5780937720635 3 6.52313870618241 13.2364358989064 3 13.0841315000508 12.5747763890021 14.3765718642391 14.702488352446 11.7575120701011 12.6312321327924 15.9687945413121 11.8122840955539 14.1226255817353 14.4428644648876 13.7996898825348 18.3637924079502 15.1180918774359 14.1261044088835 15.6419445869469 15.5356841992754 16.6293527208443 20.4457220175046 18.9404763767419
TCGA-A2-A1G1 3 11.4577776243179 6.52433152839462 3 12.9567015878938 3 11.0727223379213 12.6430382695536 13.9598028495114 15.5240103270788 8.08727096929972 12.9425953762846 12.0456402040415 9.27701642548807 13.0100038514518 14.4970163616299 13.6285510149581 18.7170849863317 13.8147883873154 13.893825276103 14.7677431223675 14.0123271868182 16.4168879110686 20.1011583830785 18.871086021287
TCGA-A8-A097 3 16.4841277004994 7.37006691009399 7.54653045189876 13.5470987123373 3 14.4683143903307 10.6994369527537 11.3128146868766 16.5825459678093 9.70049639849222 12.4335746437478 11.0868857912526 10.9066775239713 14.8692975395909 14.4817252783184 13.730375164369 19.289245156385 14.3984313437531 14.0431507655099 14.7804039129296 13.8633511512102 16.4284060317111 19.6746756643904 19.1804551259893
TCGA-C8-A130 7.42779677010587 17.2065871101979 8.87568064032611 3 12.7216744725238 9.24423115471363 11.3369155128941 12.7555052830726 10.5033019479613 15.2063933182465 9.73790699566124 13.8590750953224 11.1365475064188 13.3021351315409 14.1725198308528 14.7975281275054 14.0177362808171 18.693657639278 15.5317582755369 14.4605089948037 16.3336239215395 15.1241931917937 17.4975676479563 20.3660937969976 19.3135360539366
TCGA-A8-A0AD 3 11.8351001964681 3 3 14.4060909796246 3 10.641898363981 10.3994829060151 9.41482438853422 19.4290834815211 12.1959524485002 11.2501434605188 16.1524718317381 8.4265751395488 14.4203144067437 14.9902364744758 12.623740069911 18.1393489251781 13.7134765652971 13.9329108795839 14.1640984100414 13.784220489445 16.0291597218525 19.6650003230071 18.4846746560628
TCGA-A2-A0YL 8.16533972156289 19.4763673810912 11.1449737809064 7.45354325003665 15.992286989425 9.01299552595813 14.6625036357203 11.1223312880752 12.3802596008123 17.6599274336081 12.8868444174208 15.293844707166 11.403586547246 11.3603031982046 14.8751020404514 16.1224020882186 15.1429426781282 20.2480514558465 15.1414600632413 13.677027788388 15.6171338783919 14.2792092528791 16.6253974383176 19.5861731652433 18.4920909571929
TCGA-A8-A09G 3 9.93720615934584 3 6.8187630498853 11.8506984950314 3 11.9274678876072 12.3320903817354 9.01259003931259 13.2424917349741 10.2662828368821 12.6219630838949 10.8147775143664 9.15039388044851 13.3699362565451 15.6972409149885 14.071509034436 18.3338148224468 14.1867559101127 13.9595012745323 14.9747608928315 13.588757273851 16.676212974767 20.2627500592258 18.1983227049013
TCGA-A2-A25E 3 15.5696874558952 8.59716007649431 8.37214773696432 19.139804259911 7.9874305513542 11.9222871152341 11.755723065235 9.25474066243059 17.0216508318232 10.5477401976122 13.0232907081875 14.5298703872256 10.7607715224424 13.6845596028831 15.4217398544538 13.1997064075238 19.2227505943406 14.3874474467297 13.2757476038088 14.3654335265725 13.8798519580879 17.0696062011059 19.7726044896768 18.6980769058058
TCGA-LL-A73Y 9.83052326158177 10.3533535842425 3 9.51032375515347 13.7643894753778 7.18058081124029 12.5217412804079 12.9273289853416 14.2926744046736 14.85826960279 13.1494647420205 14.8578878140881 12.6313928374946 11.7629493307862 12.0752088516184 16.5706697327234 14.3210401618411 19.5254763191692 15.4969738596611 14.1964497020509 15.9353238158693 15.3610128624352 16.6582565229561 19.8654380842994 18.4368980162612
TCGA-AR-A1AK 3 18.3477943507567 10.0489290371458 11.1455136812917 19.8335979955249 3 15.5334593083337 11.7348663334839 10.7028846662791 15.0617650488335 11.2366127149702 12.2928069027744 13.7738960696924 12.105054796637 14.5060336684842 16.5949775914389 14.3437149645977 19.6768699833971 16.4699058142121 14.3614156067075 16.0953390399412 14.8195103394119 16.5599510487661 19.5713693449748 19.1321712210009
TCGA-LL-A740 9.82505149842845 10.6094246695939 7.07060533671003 7.24512045384381 13.4047545056384 3 10.9839140259793 11.2652252476607 10.5842965424795 15.9053123381642 12.4986122560818 14.2124827620652 12.8886094958531 12.0199203915704 13.8047837068752 15.6262357858093 14.6217518586414 19.306701306271 15.2699349083869 13.9986845180526 16.0669129072501 15.2035210495728 17.6712842002402 20.1788145643735 18.279773402801
