X5473 X6346 X5196 X6366 X6363 X114 X6360 X6358 X111 X3576 X1524 X57580 X196883 X54331 X408 X2791 X8503 X3717 X5590 X207 X6774 X5829 X4790 X5908 X1399 X998 X5566
TCGA-BH-A0HW 8.79620627493218 3 3 16.258186209576 11.823149967201 3 3 3 12.6852486311008 14.1567049648157 13.5256547648671 20.9785359058089 14.4766206207418 14.6327375627311 18.451922361455 16.4774931884556 15.8308541278585 15.4796361011159 16.3162430651364 18.4167874344729 19.6535565507085 17.4612397394276 16.8850108061581 15.3433194299674 19.5466757606321 20.6445514637321 18.6187042554512
TCGA-BH-A18S 10.9341267094736 3 10.1815829706422 10.1533986011399 12.1327449037976 11.2656892744342 10.4574178581458 12.4922736302647 13.8347579408801 14.7751102327261 17.4073159593839 19.8740109388391 14.1776554936116 14.762837733813 16.8864557186536 16.5266677847611 16.2760020529295 16.0797629183916 15.454185473149 18.1862390560455 20.2776606024238 17.5508469075672 18.1574505269796 15.9159944985183 18.9179314270204 20.823002516576 18.4718681754503
TCGA-D8-A27E 3 10.600832928729 9.9908555623169 11.6915454980732 15.6716055452173 10.892073566505 9.78476074827182 11.5471011781797 15.1541919947944 11.6554011508767 18.0722569124338 17.888557651835 14.3621378980192 14.7110455430559 18.2346458207402 16.4675919404428 16.9767240317885 16.2732222900328 15.0861321213703 18.5321073220957 20.3029927473939 17.263003935121 19.2518439363393 16.2808368165409 18.7394453788671 20.6415872725747 18.7199024879425
TCGA-E2-A1IH 12.0515882877291 3 3 17.0129053375317 21.6836009653594 3 10.7691108679526 14.7199584471422 13.4849468839542 15.5091803457617 16.613988988067 18.9861982211189 15.6604350895837 17.1949021176884 16.3479496086238 18.9770243926935 17.9096075515413 16.8262810090384 14.8001664870675 17.3602928694928 19.8619049129524 17.9522544616157 17.7942723811789 16.6546113389728 18.4569275799096 21.1578112018232 19.3662660399495
TCGA-A8-A091 9.98173988139201 3 3 15.9164211903038 17.2960848645837 7.70414187409255 9.91826502273538 13.1937155193701 18.6532768621625 11.9285175614193 17.6286394895248 18.6563491319933 14.9664763999006 15.6162493142996 20.3139903972139 16.8515456800278 15.2118354678718 15.623210205233 16.2189651467189 19.3178210873771 19.1434934898034 17.2316730706297 18.3281965946207 15.5367194654282 19.385184065338 20.5138327914091 18.6931627950941
TCGA-A2-A04W 3 3 9.9453359209681 16.6953857459726 14.9281380689931 6.74266179726588 9.42074119891303 12.2546042695307 14.5410803327678 20.0244987909059 12.6600433510822 17.8490336983532 13.7185884315695 15.1405219132566 15.8003948024683 17.378095896124 18.9201465665699 15.9982484488949 17.1811046814628 19.5896859301675 18.5200341535785 19.0633762381683 17.1182760353805 15.7632182669649 18.8378395382324 20.9733775013518 19.33313595392
TCGA-D8-A1X5 3 9.64038799516889 3 9.00617987127115 13.141704166902 3 8.10952772036189 11.072931343732 18.5542064010153 15.0940111516177 13.0010595603224 18.0113121991835 13.5449566906913 14.861915720857 19.9706143808981 16.2669250443413 16.1835519711617 15.9331997152465 15.4187682677004 19.0189462649585 18.4261838744241 18.1137515088792 18.4086499475883 15.366579294569 18.2725608990126 20.7080683125066 18.4089870635851
TCGA-BH-A5J0 13.9115738647551 11.7271475783215 11.6982652112038 21.2394265852936 20.619141272172 6.52313870618241 9.76331269805077 14.3035238733677 16.3524270918135 15.5637739969433 15.3266364001669 19.7907757023452 15.1180918774359 15.8217542415279 17.4329012050124 18.399980081025 18.1206605555517 15.9914464272344 16.8388206153297 19.0236391298485 18.7903180015116 18.3581081585575 17.6948565851991 15.3889706855079 17.8504444767208 20.8522805440737 18.9404763767419
TCGA-A2-A1G1 9.65199657147196 8.93372210807553 3 19.0862322983906 18.4200156590224 3 3 11.0352173987714 11.0320622067339 17.2008594267406 14.5879722077117 17.085699911722 13.8147883873154 15.8951384980923 16.6365382200808 16.6523644673666 19.1266812649443 16.975575987909 14.6806482138957 17.1106440614316 20.4511369642476 18.3666810951605 18.4475508823095 16.6040206331694 19.2674524007347 21.0779968015772 18.871086021287
TCGA-A8-A097 8.573591291039 8.84071650936536 8.81227531918131 14.4403308980099 17.0741387061405 7.54653045189876 9.2753366941215 12.8435646872734 13.8674423848339 13.6428445416687 16.3351902173197 19.4201805882946 14.3984313437531 15.9940912592225 16.774657973304 16.8887817744787 16.4665599907942 15.7867292141156 15.0438865564343 17.4784527432378 19.9416395265126 18.1689517296548 18.04200707275 15.8225387922266 18.8053164767202 20.5599770190111 19.1804551259893
TCGA-C8-A130 3 9.3850290708844 3 15.9829334269568 16.9061769328931 3 10.1411173348322 13.0737470428997 13.1566615729758 12.9194435240108 14.018280861964 20.1006971141406 15.5317582755369 15.6931072196799 17.4231972613926 17.7659120162051 17.3047774983855 15.0601039018569 15.9478243079557 18.7746904024251 19.4388348678027 18.3386303483641 16.9820620178179 15.8848922227625 18.488888868222 20.6866352665589 19.3135360539366
TCGA-A8-A0AD 10.9477030992986 10.6364998685723 3 12.9883565602439 13.4079011088791 3 3 10.3428902048589 16.2953745064563 14.5336448307076 18.8116160273897 19.2871110072949 13.7134765652971 16.2536436464815 17.9437346853448 16.6691064624656 18.4944693814345 16.405907922419 15.9500941539799 18.4882995219545 20.0945624672889 17.9745249346143 18.8138249563071 16.567742166187 18.8543378563545 21.3547348980437 18.4846746560628
TCGA-A2-A0YL 3 3 3 20.4734202325996 19.1638889842726 7.45354325003665 11.386013805331 14.5752540221467 14.941930210531 14.7465164621492 16.9363672920447 19.3420536387513 15.1414600632413 16.104452905235 17.5446058541681 17.8662781911967 18.2985765182075 17.1420404471113 15.9822900536383 18.0181170059042 19.5665911250719 18.6971234659973 18.1688000006503 15.8737158093823 18.8917600937598 20.6929653694686 18.4920909571929
TCGA-A8-A09G 3 9.06629885601301 3 17.0641736099851 18.872691911182 6.8187630498853 8.5177150624981 11.7121537620914 16.5275317578839 12.3531788964509 15.7132402375187 17.4311234829288 14.1867559101127 15.6207993839265 17.2215905910747 16.4700211057517 18.1869477228992 16.9650865201504 15.7808798539666 19.6438168403384 21.1211856574017 18.0479830033582 17.6382753653896 15.9670595915188 18.6157256385659 21.0351775169529 18.1983227049013
