X7200 X2925 X2864 X185 X6869 X846 X2867 X2151 X147 X146 X10125 X3357 X1910 X1902 X2149 X54331 X2791 X6196 X8503 X351 X6915 X10161 X6195 X10287
TCGA-A2-A25E 13.7871964121792 15.5696874558952 8.15989114216679 19.139804259911 11.9222871152341 3 14.4911010498364 18.861747090269 13.0232907081875 10.7607715224424 15.7391809136728 13.6845596028831 15.4217398544538 17.0001009240565 19.2227505943406 15.4439410231683 17.1300147257891 15.3452824230263 16.9523170916353 21.3914393169293 13.8798519580879 17.0416833673812 17.4858483500098 17.5205866586579
TCGA-LL-A73Y 9.83557514090845 10.3533535842425 3 13.7643894753778 12.5217412804079 7.13699972564604 9.97779073131969 18.6216280035682 14.8578878140881 11.7629493307862 15.3549363096478 12.0752088516184 16.5706697327234 16.4470948399775 19.5254763191692 16.5208784390719 17.8273483679995 16.9412720147284 15.8155023179107 22.3919876451743 15.3610128624352 17.5036240475342 17.6502146349997 17.2899752719348
TCGA-AR-A1AK 14.7323458531324 18.3477943507567 7.48585215907191 19.8335979955249 15.5334593083337 6.34548556333416 13.8294097004422 18.6848167937797 12.2928069027744 12.105054796637 16.7381838133693 14.5060336684842 16.5949775914389 17.1488284436695 19.6768699833971 16.2973890571548 18.006767297466 17.0722506385063 16.8977320278779 21.4330186340164 14.8195103394119 18.0040483468548 17.3071912135981 18.4334350462938
TCGA-LL-A740 9.36109460203522 10.6094246695939 3 13.4047545056384 10.9839140259793 3 11.7297159250988 17.9808847565625 14.2124827620652 12.0199203915704 12.7210895410706 13.8047837068752 15.6262357858093 16.0873247346319 19.306701306271 15.9148628073892 17.9037054683041 16.6753049646952 17.9359030307546 21.6150119338875 15.2035210495728 17.1290482274508 18.9324662735135 17.7979883501237
TCGA-A7-A425 12.5646487985517 16.3539569794196 9.93506842047774 14.5172035057842 14.565357334529 3 15.9550536848784 17.2877222066947 13.6571410289221 12.0234909290761 12.4485461958889 13.755301217951 15.5429926832069 16.8282692257212 18.374957596749 15.8176343087685 18.2331393986663 17.20413148176 17.2821791463227 20.5871907577256 15.194560079488 17.2968692785858 18.2358747310269 18.7806002816281
TCGA-AN-A0XO 8.86420158786354 19.3477784592086 3 15.7070438117396 11.2272706748953 5.99870466972823 12.8910416541541 17.1558188560961 11.7661169292533 11.0115632169578 12.465132540771 14.0603019472036 14.5674489002004 17.1150969390102 18.6081085535375 15.1389362534704 16.9902553312611 17.1945022697501 18.6805400990956 22.6692886561504 14.0880636103992 16.038471827702 17.9927270906387 17.242070582631
TCGA-AC-A3W7 11.0478161986794 16.5097168629565 10.1903610799378 13.976088879333 13.7717005859933 3 14.022960167035 18.4760842801038 11.5952735813183 11.0660977683578 13.3933747827454 14.4185330038488 14.4327603583372 16.1963815914933 18.9051848995798 15.2585327552056 17.4201123052934 17.4636483081644 17.6553510052166 21.7792399467003 14.7874827231964 17.0191293818101 17.8521176619776 17.7631852890115
TCGA-BH-A0H5 17.5410913372258 14.7159602583339 7.45605329034205 14.6449779644507 14.6242122362715 6.31737966776956 13.7039483244934 17.9857149287427 13.6081467014614 9.93621400906952 17.1069206068921 14.9301529832343 16.7102327868012 17.5593185352815 19.1513697418374 17.4929337314492 17.320466706491 16.9123210722036 18.0713140081785 21.428136163544 13.84418516138 17.7040115920839 18.4320427942328 18.2452733119374
TCGA-C8-A1HL 22.3426157113743 13.1840561919949 8.94574927134275 12.9188643940812 10.4313227299427 6.80531586638851 18.9717376971361 18.8808703151759 14.2645644558943 9.98377543471711 15.6469153963834 12.4888819701809 16.3517391465454 15.6708430011338 19.7850110463093 16.6778268103793 18.6894485921464 16.7449227129027 18.0463770265701 21.4372204087651 15.4435279851495 18.3362191849006 18.179389821093 17.9419640963721
TCGA-A2-A0YF 17.8195148684228 12.0040436965313 3 20.8758332917423 13.5483058686804 5.9145763965263 15.0156921939367 16.4315063468731 14.6115488853523 9.0060170437418 18.9196502050708 11.6783369540521 16.0411459104129 17.3995760743705 18.4316016708606 15.9321080034935 17.5913112994758 16.5930321663377 16.8894284879694 21.0291357183451 14.7424838811556 18.021068487084 17.6951434614443 17.0495346963185
