X727897 X8858 X9245 X80031 X6480 X2159 X22901 X4124 X84752 X2683 X10905 X79001 X4249 X811 X1725 X3703 X9761 X4351 X85365 X23193 X22872
TCGA-BH-A0HW 6.76419864318772 11.1397212388001 8.93681625656296 13.0784900600159 14.649048651875 12.4779724613432 19.0607778703553 15.8031616395861 14.4969240915575 20.2983047979068 16.7886667003442 17.7205407039845 17.2622704122265 22.380271749111 20.3408022336636 18.5461213194457 19.8546249812116 17.2664083431519 18.7163127980329 21.4786039836015 18.9208024461874
TCGA-BH-A18S 16.1126333290401 7.76201683467119 8.58703526342347 15.2341402588906 20.2690759330719 12.3394032234327 17.6206205682096 17.5581409231951 17.3218807821763 19.8288868420173 18.0822217093753 18.1328605868339 16.6116619811493 22.3034497911466 18.7022950385608 19.7261703444507 19.5023956290245 17.5737431728794 19.2178726470423 21.3782835083505 19.3413775791081
TCGA-D8-A27E 8.31952787650881 10.5235621856337 6.67483949398012 18.8723923070062 20.1631361358925 11.3421296216741 17.4208954360885 19.5149124932032 17.5126024797917 19.463474887524 17.7345866854343 17.6577732013675 17.9227767226727 22.2226182603393 18.8178204692494 19.6769788337364 20.738031818914 17.0199081912607 19.0040213721451 21.3876106238649 19.1825994948678
TCGA-E2-A1IH 7.25546634423277 11.1231839127739 9.30342251326729 14.3422961648355 17.5511982144117 13.6513679206063 16.6747412471163 17.553995800822 16.6882089319914 20.6426819910693 17.2288540266239 19.1959706854932 17.4097508898536 22.6281232736838 18.476028711846 18.5605678242549 19.5888391752419 15.9121704270742 18.7232306368924 20.6286415613051 19.7044463243911
TCGA-A8-A091 9.48184911181998 11.417098423557 9.97287078863113 13.6406760287241 16.0193251989932 13.7638550149615 17.2535823486115 16.986781731385 15.9754117775565 18.6297853684729 17.2301101348049 18.0200848660602 18.6112916529144 22.3177285525046 18.8695385938809 18.497292052435 20.1519730802987 16.5115916223803 17.8033886113843 21.222438873079 18.7390428580023
TCGA-A2-A04W 19.333648174615 13.5151941599294 12.3464300867339 13.2696320365393 18.8160254396852 14.5249412845963 15.4175818228513 16.1565530588103 18.5520112323411 20.9461246219874 17.6126717571051 19.0879562124421 17.6520292285832 23.9830205775787 18.4192901259484 20.1624385351658 20.254565274215 15.6569564679237 18.2181908178062 21.4559424346076 19.5231331468939
TCGA-D8-A1X5 13.8181530723734 12.3832236064223 9.36221180750017 11.729510789229 16.3543309300286 13.1580081282133 17.590309488113 19.0442433995144 17.0816765787584 19.5801545925111 18.959516460641 18.5217803726325 17.7815568804726 23.3493160598693 18.9894900927821 19.2875422988148 20.2355515848219 16.8216921213632 17.8055492978404 21.3625492142451 19.5234161044795
TCGA-BH-A5J0 10.6402255370142 14.1385505033723 11.5617532649652 12.3638418562269 16.447800214739 15.3751964685167 15.1029830551473 15.676543921831 16.9367424448213 20.5828258777395 16.3137846366402 20.0673504616597 16.9262040545046 22.9645134400549 19.0878056650837 18.7924107989035 19.6485082943751 17.3310564433406 17.861351596189 20.6314521475332 18.8993777110098
TCGA-A2-A1G1 15.5900455137509 11.4214198776302 11.5710368596431 13.2859580582307 17.1427594967051 11.7280158996845 14.4060478758705 18.476297782244 16.0971134437208 20.1002759456545 17.7118869036421 18.3905447046051 17.8977058528637 23.4577455070458 17.3875904250652 19.8474704643356 19.8994188630379 16.284041735125 18.0652145231393 21.5975029447814 19.5358699310139
TCGA-A8-A097 9.73813534102712 11.9105650604829 10.5417977795743 13.6833558628741 15.8834515848043 13.7061572157227 17.171149627946 17.2365084052741 16.9523475730494 19.7738298736608 18.1019612768428 18.7962482956362 17.7797752376059 22.1799490346214 18.5169352932561 19.0703256422287 19.9768410774554 16.9455928291049 18.2425672338693 20.683268090962 19.9498713474209
TCGA-C8-A130 9.57934765851395 11.2017801201782 9.83602585821346 13.6074035224692 16.7034909742546 13.5458829539937 16.2427985947088 15.9285527127631 16.276445511404 19.3640327432968 16.5070599267227 18.7971805904 16.6297457036573 23.2043786176439 19.5293139218279 18.1115497071106 18.900826657743 16.7619876107906 17.6829805769763 21.2247491518735 19.072894036074
TCGA-A8-A0AD 9.37376740392554 8.17695358829836 7.25559770952082 14.570179930805 16.6903073115198 12.9599381554388 16.9719507329944 16.4959724012755 17.1470766331039 22.6175016035241 18.7389301114539 18.3338028056726 17.9271234215113 22.4979397566344 18.4072694103158 18.9680630809544 20.0513985905071 16.6165128583406 18.5482404928288 21.144398046443 19.9160925323113
TCGA-A2-A0YL 13.3895589283077 9.24446902015811 10.3909209497261 16.2166545126128 17.8069708887727 14.3208735538331 16.6056013531837 16.8749841644185 16.7317175196959 20.3111381822882 17.8592337630636 18.1972020115886 17.9224787640856 21.8894728100269 18.1596217420899 19.036853178667 19.4084986656111 16.4814518532482 18.1880318835828 20.8900368279383 19.4015039794087
TCGA-A8-A09G 22.8324026008696 11.2570508750174 8.78964016797343 13.3716636586542 19.1649903934384 12.4463233967798 15.9482154173098 16.0883857785614 17.112378576381 20.3401979350078 18.0358835090258 17.8905967746602 17.8678226968393 23.7185820838681 17.9927969145537 20.7157646098505 21.1512668221338 16.426054926663 18.8311264331355 21.915547237048 19.5349441886774
TCGA-A2-A25E 14.3204207462943 10.918991769775 8.66138925243711 12.9386978301346 15.3864842047961 12.0008486231356 16.9191309527241 17.4196328450009 17.0010390138856 20.1294799248134 17.9064016436121 18.0367100691484 17.3490874251604 22.8091096331144 18.2410105711682 19.2350630387354 20.0325550708917 16.6361663509769 18.8275551362409 21.2933392289307 19.4636070602902
TCGA-LL-A73Y 17.6846469660507 10.755306463758 8.62696991930135 14.1227481132404 17.7102967387188 14.1561855167622 15.2515058211309 16.2878275505109 17.5753869197393 19.8159342856974 17.4685011261987 17.5822901798768 19.7573749214407 22.407657376243 18.1415608993247 18.9013037423875 18.8785067071615 15.5030942349636 17.9465170084009 20.3802190187918 19.349012610052
TCGA-AR-A1AK 16.093268525892 11.3559546401542 9.64851348376019 15.5283142776089 17.4573506561034 15.0218654005979 17.3683796376886 16.2215554097332 16.4743116969445 20.4032039893655 17.019967245799 18.1973899874228 17.291974180586 22.4480097709884 18.6095913559011 17.9866007348773 19.0334446563222 16.5231615617022 17.9986877205639 20.682717275967 18.9669221705377
TCGA-LL-A740 8.64208596433927 10.0173076594331 13.9371152763476 13.8551378339673 19.4066815632192 13.6156209231534 14.0122779841806 17.4697628075535 16.8933539264127 20.9711074526666 17.1348640815904 18.1147931214736 18.0046845208102 23.5228148472663 17.9286808257971 19.4249081698475 20.8265050027145 16.1941079815382 18.6824646125969 21.1138592643604 19.1801608830419
TCGA-A7-A425 20.3757119569664 14.020544431929 9.32938939186594 13.4670019493233 16.9754544364024 15.9030906759764 16.7829155339644 16.4916614751716 17.0247538057756 20.1158718503617 16.1534581753105 18.5152313648888 16.8551013009777 22.5046421140895 19.175402042926 18.444635859825 19.5274218878667 16.4507590751779 17.7822493484649 20.5975554694576 18.5108636226044
