X27257 X29883 X87178 X246175 X11044 X51691 X3313 X64895 X9125 X80153
TCGA-A7-A6VY 17.7923486028702 17.0047231502714 17.7036623100099 16.3279402498106 17.4882836229233 17.0076714275347 20.1590806512919 15.8020739707357 18.318985475219 17.2399858835222
TCGA-E2-A15O 21.187126373429 17.6538005458793 17.4209000591519 17.9794356233476 17.0246835589003 16.7194061182979 21.5131736552104 16.0638857087816 18.2116210097713 17.7249559559358
TCGA-A2-A0CY 17.7451274375942 16.5149532660891 17.2635361361624 16.7237484235009 16.9738897689692 16.8738599740528 20.0594391442712 15.1662246025587 17.5436923769475 17.274577856212
TCGA-OL-A6VO 18.6151400460946 18.5404294258462 18.7976851331608 15.905207912491 17.6417391683394 17.196241599745 20.7856073615762 15.778994071374 18.2753171983707 17.6033385768802
TCGA-A2-A0CL 17.3265391258481 17.093842964234 17.8904097934148 18.3203942561572 17.391969171049 16.8647485400729 20.0885122406141 16.1298762958344 18.3540042944977 16.9877760142863
TCGA-AR-A0TQ 17.9219455686713 17.6614102748104 17.8457565000874 17.224904531014 16.7963668656132 16.3644404212314 20.9559977415064 15.6281411711493 18.0348291299068 17.529101812153
TCGA-E2-A573 18.0176695234733 17.6921801716108 18.5574491541338 16.1623823226346 17.3583033931528 17.4949612101869 20.0715415334964 15.6982889968757 18.2200742917355 16.6991068704493
TCGA-A2-A0CW 18.820190817057 17.1824307335835 17.9623816729731 16.3658895077874 17.2207286734752 16.7810801644576 21.0746113762171 15.9829811101701 17.7751742673949 17.622904243135
TCGA-AC-A3EH 18.6261304752293 17.8810194059153 16.0224254352635 16.2825950322124 16.7645899195665 16.0375639144152 20.4768269012697 14.9978029177031 17.8353532088297 17.7255143052733
TCGA-A2-A3XX 17.3732636384307 16.9369181968675 17.7120364358609 16.4937862600136 18.6462200560629 16.3215033194377 20.3906523107902 15.3162021898768 18.2608586703906 17.0710314413258
TCGA-AO-A1KQ 18.959004888336 17.2641424121712 17.9335308835338 16.9434440972278 16.7339339223713 16.9773353302156 20.8295223220639 15.3328869897964 18.4918345232843 17.253225411205
TCGA-BH-A0HN 18.4015612994777 17.4987201791728 16.8411188449051 16.3728797558445 16.8561283202466 16.6629216490595 20.0294369120527 14.6386816704127 17.8521685692392 17.068298182045
TCGA-AR-A1AR 20.1961445189012 17.8412414625988 18.134880870816 18.2723337341378 17.4394804036614 17.1817898539129 20.3386148537237 16.911185572111 19.1076398753641 16.9710078313423
TCGA-AO-A0JD 18.9462300157286 18.5315501449992 18.57563863266 16.3416114395132 16.8258178399026 16.4021305999572 21.812717089428 16.0234496344763 17.6240878871147 18.156798525164
TCGA-A7-A0CG 18.0829303765557 18.2798889139831 16.9549336445906 17.8895448539938 16.9880200454102 16.1322561413882 20.6860851881424 16.0841880160406 18.0227433316256 17.5641644417518
TCGA-A2-A0T4 18.1342381528287 17.8743114950567 17.1648528835859 17.2190723534195 16.8114280630945 16.873659022321 20.2648664230796 15.7466088324782 17.9371954500773 17.5308152011639
TCGA-B6-A400 18.5817997914055 17.8605543919167 18.423980879612 16.1913547035234 18.5183183780669 16.3807745898416 20.4336889370282 15.9030700009081 18.1625138893452 17.6627166646789
TCGA-E2-A576 19.0458020720865 16.3069608925801 17.0978167183355 16.4824964830121 17.4491097595907 17.2480714327618 20.6598883130345 14.8094714138575 17.7736925072037 17.4412323328941
TCGA-BH-A0WA 18.8365786665543 16.8924438538776 17.7185089938572 16.3398380524555 18.8189973771463 16.1847843361125 20.3299667886818 16.4462301044656 18.0310033543002 17.610997719929
TCGA-A1-A0SN 17.8542589238101 17.0865391868438 17.0975955138289 16.9057040404722 17.2185404433262 16.2544442761372 21.3723147412278 15.6300437156924 17.477853105998 17.6903594415918
TCGA-A2-A0T3 20.0202392793228 16.7270725064223 17.0254871721305 18.4670364307464 17.287765307534 16.706880244292 20.3682598966935 15.9056795574976 18.0926183335482 17.781842300408
TCGA-BH-A0AZ 18.0221180481476 16.9326727692413 16.8587423895166 16.9167923128042 16.5671760479571 15.993942928484 20.655269000491 15.9622509535927 17.7645167580911 17.7111633157628
TCGA-A7-A4SE 17.4624437508626 17.4243680434604 17.718819601208 16.4982706986336 17.5560791544039 16.6157707187369 20.1785651647086 15.9036493357917 17.8869800218383 17.3614270391177
TCGA-AQ-A1H2 17.3771106499009 16.5158113089151 17.4673493340478 16.9645916398095 17.0273813997981 15.9879908017077 20.8612617545469 15.9133979246052 18.1143270084048 17.3907041046394
TCGA-A2-A1G6 17.6573620182508 17.8955088746953 17.2325934277239 17.7354942130407 17.3719903698416 16.5643066006656 20.2073697252082 16.3996095976238 17.7443006902824 17.5232375294765
TCGA-A7-A13H 17.7046805019855 17.1688349077429 16.8446018406838 16.7941954839561 16.9533639317369 16.1363393273332 20.0565756291948 15.0730895593919 17.8327841884429 17.6017236660915
TCGA-B6-A0IP 17.6789215737752 17.7288754449804 16.8098614134853 17.3480299507373 16.6602621244418 16.3067268314414 20.0139886323262 16.1681116849798 18.1420794482749 17.5265777140801
TCGA-A2-A0CZ 19.4612128802996 16.9377208475599 16.6631097024088 17.3350095201097 16.5232569507573 15.996513986384 19.6050440153206 15.8633224169708 17.5131309194154 17.6099302928066
TCGA-AR-A2LK 18.2790313686816 17.4062331559787 16.6858811078349 17.7272797135206 17.8924604777599 16.0398485872346 21.573689662498 15.7571236528862 17.4662945338681 17.1715870390941
TCGA-A8-A06R 18.8758611357312 16.9676795400229 17.6439346248163 16.4842981408116 16.1126924675219 18.2519947346313 20.6377551946659 16.410444122261 18.2210166244807 17.0110518954153
